calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.7,12.2,0.4,,6.6,,,,1.6,7.1,1021.2,85,1031.8,
2016-01-02,8.2,14.6,3.0,0.0,1.5,,,,1.1,9.1,1015.4,84,1025.9,
2016-01-03,10.7,16.1,6.7,0.0,0.2,,,,1.1,11.3,1009.8,89,1020.0,
2016-01-04,8.8,15.6,5.0,,5.0,,,,1.4,10.4,1011.0,92,1021.3,
2016-01-05,8.1,11.2,6.6,4.0,0.0,,,,1.3,9.6,1012.8,89,1023.2,
2016-01-06,7.6,10.8,5.4,,0.0,,,,1.0,9.5,1010.9,92,1021.3,
2016-01-07,7.5,11.0,5.5,0.0,3.2,,,,2.4,7.4,1010.9,73,1021.3,
2016-01-08,5.9,7.6,3.1,0.0,0.2,,,,2.5,6.5,1010.4,71,1020.9,
2016-01-09,4.5,8.0,0.6,0.0,0.7,,,,1.4,6.5,1013.8,78,1024.4,
2016-01-10,4.6,11.5,-0.3,,7.8,,,,1.6,6.5,1014.6,80,1025.1,
2016-01-11,6.0,12.4,1.3,,2.1,,,,1.2,7.0,1011.5,76,1022.0,
2016-01-12,5.1,9.7,1.3,0.0,1.5,,,,1.6,7.5,1008.6,85,1019.1,
2016-01-13,3.4,7.0,0.4,0.0,1.0,,,,2.1,6.1,1009.1,79,1019.6,
2016-01-14,3.9,9.6,-0.9,0.0,5.4,,,,2.1,5.9,1010.6,76,1021.2,
2016-01-15,2.1,9.9,-3.0,,7.2,,,,1.0,5.2,1011.4,77,1022.0,
2016-01-16,3.7,13.8,-4.0,,9.3,,,,1.1,5.4,1011.6,72,1022.2,
2016-01-17,4.2,7.9,-0.4,23.5,0.0,,,,1.3,7.8,1004.1,93,1014.5,
2016-01-18,5.7,9.5,-0.1,7.0,1.2,,,,4.6,7.7,998.5,83,1008.9,
2016-01-19,1.0,3.9,-0.3,1.0,1.7,,,,5.9,5.0,1007.2,76,1017.8,
2016-01-20,0.9,4.8,-2.5,0.0,3.6,,,,2.5,4.7,1015.2,73,1025.9,
2016-01-21,0.3,5.8,-4.5,0.0,0.7,,,,0.9,5.3,1014.2,85,1024.9,
2016-01-22,3.6,8.8,-0.1,0.0,1.7,,,,1.3,6.8,1014.1,87,1024.6,
2016-01-23,1.7,4.6,-1.1,1.0,0.4,,,,2.4,6.3,1012.8,91,1023.4,
2016-01-24,-4.4,-1.1,-7.7,4.0,0.0,,,,5.3,3.9,1010.5,87,1021.4,
2016-01-25,-2.8,0.9,-8.0,0.5,1.7,,,,1.0,4.7,1016.9,93,1027.8,
2016-01-26,0.5,4.3,-2.3,0.0,0.3,,,,0.7,6.0,1017.5,95,1028.2,
2016-01-27,3.2,9.4,0.1,0.0,0.5,,,,0.9,7.1,1020.1,93,1030.8,
2016-01-28,4.8,6.8,2.2,3.0,0.0,,,,0.6,8.5,1016.8,98,1027.3,
2016-01-29,9.4,12.1,6.6,28.0,0.0,,,,1.3,11.8,1007.2,100,1017.5,
2016-01-30,9.4,13.0,5.0,0.5,1.2,,,,1.3,10.6,1009.7,90,1020.0,
2016-01-31,7.0,13.2,3.0,0.0,4.4,,,,1.7,8.3,1014.6,85,1025.0,
2016-02-01,4.8,7.6,2.4,0.0,0.0,,,,1.3,7.6,1013.2,88,1023.7,
2016-02-02,3.9,9.2,0.2,1.0,3.0,,,,1.8,6.5,1012.9,83,1023.5,
2016-02-03,5.1,9.7,1.7,0.0,0.6,,,,1.4,7.7,1014.5,88,1025.0,
2016-02-04,4.7,11.0,0.4,,6.7,,,,1.6,6.5,1014.2,79,1024.8,
2016-02-05,3.5,10.1,-0.5,,3.2,,,,1.6,6.3,1011.0,82,1021.5,
2016-02-06,2.8,8.2,-1.0,0.0,3.2,,,,2.1,5.6,1009.4,77,1019.9,
2016-02-07,2.3,8.9,-2.2,0.0,5.4,,,,1.7,5.7,1010.2,81,1020.8,
2016-02-08,4.1,10.7,-2.9,,7.5,,,,2.3,5.5,1009.6,71,1020.1,
2016-02-09,7.7,12.4,0.6,0.0,9.6,,,,4.2,5.1,1010.3,51,1020.7,
2016-02-10,5.1,15.5,-2.8,,10.2,,,,1.3,5.4,1015.8,66,1026.3,
2016-02-11,7.5,20.0,-1.2,,7.7,,,,1.2,6.4,1017.4,68,1027.8,
2016-02-12,12.4,19.8,5.7,0.0,0.2,,,,2.2,10.6,1012.9,75,1023.1,
2016-02-13,14.8,19.4,10.7,43.5,0.2,,,,1.4,16.6,1002.5,97,1012.6,
2016-02-14,11.0,19.5,5.1,1.0,0.6,,,,5.5,10.7,1000.4,78,1010.5,
2016-02-15,3.1,5.7,0.9,0.0,5.3,,,,5.1,4.9,1007.0,64,1017.5,
2016-02-16,2.7,5.8,0.0,0.0,0.7,,,,2.5,6.1,1009.9,82,1020.4,
2016-02-17,3.8,8.6,-1.0,0.5,3.5,,,,2.4,6.3,1013.4,79,1024.0,
2016-02-18,4.1,12.7,-2.7,0.0,8.5,,,,1.4,5.9,1015.7,76,1026.2,
2016-02-19,6.9,14.6,-0.4,0.0,4.4,,,,1.2,7.8,1017.2,79,1027.7,
2016-02-20,8.0,10.2,6.2,38.5,0.0,,,,2.0,10.1,1008.6,93,1019.0,
2016-02-21,5.6,10.2,0.9,2.5,8.6,,,,2.9,6.1,1017.2,69,1027.7,
2016-02-22,5.6,13.0,-0.3,3.0,1.9,,,,1.4,6.2,1019.6,72,1030.2,
2016-02-23,6.8,10.5,3.8,4.5,1.4,,,,1.2,8.7,1015.6,89,1026.1,
2016-02-24,5.7,10.1,2.5,0.0,1.2,,,,2.8,6.7,1016.8,75,1027.3,
2016-02-25,2.2,5.8,-1.8,4.0,1.5,,,,1.7,6.1,1021.5,87,1032.2,
2016-02-26,2.7,10.8,-3.2,,8.6,,,,1.4,5.2,1021.2,75,1031.9,
2016-02-27,6.0,16.1,-0.5,1.0,3.7,,,,1.5,7.6,1016.7,82,1027.2,
2016-02-28,9.5,19.5,2.6,0.0,7.8,,,,1.5,8.2,1012.7,75,1023.1,
2016-02-29,4.6,11.2,-0.5,5.5,1.5,,,,4.9,6.5,1011.3,75,1021.8,
2016-03-01,1.4,7.9,-3.2,0.0,8.5,,,,1.9,4.7,1016.3,73,1027.0,
2016-03-02,5.1,13.8,-2.0,,9.7,,,,1.7,5.9,1016.9,70,1027.5,
2016-03-03,7.8,18.3,-1.8,,10.0,,,,1.5,7.1,1016.6,71,1027.1,
2016-03-04,13.0,20.8,7.2,0.5,2.7,,,,1.1,11.3,1016.9,77,1027.1,
2016-03-05,15.4,24.1,6.4,,7.0,,,,2.6,11.1,1014.3,68,1024.4,
2016-03-06,16.0,21.6,11.3,0.0,0.6,,,,1.6,13.5,1008.8,75,1018.8,
2016-03-07,15.7,24.6,9.7,,8.0,,,,2.1,14.3,1006.5,82,1016.5,
2016-03-08,14.7,22.1,12.3,,3.8,,,,2.0,12.7,1007.3,77,1017.4,
2016-03-09,9.7,12.4,7.3,34.0,0.0,,,,2.3,10.1,1004.6,85,1014.9,
2016-03-10,8.0,12.5,5.7,0.0,0.6,,,,1.9,8.8,1009.0,83,1019.4,
2016-03-11,5.7,10.2,0.8,0.5,2.4,,,,1.9,7.4,1010.8,81,1021.2,
2016-03-12,5.1,12.8,-0.4,,6.8,,,,1.8,6.5,1013.4,76,1024.0,
2016-03-13,6.2,11.1,1.6,8.0,0.0,,,,1.3,8.0,1012.0,85,1022.5,
