calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.4,13.8,-0.3,0.0,9.3,,,,1.1,,,,,
2016-01-02,8.7,15.7,1.0,0.0,1.8,,,,0.9,,,,,
2016-01-03,11.5,16.1,6.3,0.0,0.7,,,,0.7,,,,,
2016-01-04,10.7,18.3,4.5,0.0,8.0,,,,1.7,,,,,
2016-01-05,9.2,13.2,7.1,4.0,0.0,,,,0.9,,,,,
2016-01-06,8.3,10.8,5.2,0.0,0.0,,,,1.5,,,,,
2016-01-07,8.2,11.7,4.2,0.0,6.7,,,,2.3,,,,,
2016-01-08,6.8,9.6,4.4,0.0,1.2,,,,2.4,,,,,
2016-01-09,5.1,10.4,0.2,0.0,3.1,,,,1.6,,,,,
2016-01-10,5.9,12.1,0.7,0.0,7.5,,,,1.7,,,,,
2016-01-11,7.2,12.7,2.5,0.0,2.6,,,,1.2,,,,,
2016-01-12,6.9,10.5,4.2,0.0,3.1,,,,2.6,,,,,
2016-01-13,4.5,9.4,-0.4,0.0,3.8,,,,3.0,,,,,
2016-01-14,4.0,10.0,-0.9,0.0,4.9,,,,1.8,,,,,
2016-01-15,4.7,10.1,-0.4,0.0,8.5,,,,2.4,,,,,
2016-01-16,3.6,10.7,-2.2,0.0,9.0,,,,1.0,,,,,
2016-01-17,5.1,9.0,-0.6,28.0,0.0,,,,1.0,,,,,
2016-01-18,6.7,10.7,0.3,7.5,3.0,,,,3.9,,,,,
2016-01-19,1.1,3.7,-0.2,1.0,5.5,,,,4.3,,,,,
2016-01-20,2.0,6.0,-0.5,0.0,3.0,,,,3.7,,,,,
2016-01-21,4.1,8.3,-1.0,0.0,2.4,,,,2.9,,,,,
2016-01-22,6.3,10.3,1.6,0.0,7.3,,,,3.1,,,,,
2016-01-23,3.8,7.9,-0.2,1.5,3.0,,,,3.6,,,,,
2016-01-24,-3.1,-0.1,-5.0,0.5,0.5,,,,3.9,,,,,
2016-01-25,-0.7,5.0,-5.0,0.0,4.0,,,,2.6,,,,,
2016-01-26,2.7,8.0,-1.6,0.0,3.0,,,,2.0,,,,,
2016-01-27,4.9,12.0,-2.0,0.0,2.9,,,,1.2,,,,,
2016-01-28,7.4,10.6,3.3,1.0,0.0,,,,0.4,,,,,
2016-01-29,10.0,13.7,7.7,18.5,0.0,,,,1.1,,,,,
2016-01-30,9.7,12.1,7.3,0.0,0.7,,,,1.4,,,,,
2016-01-31,7.9,12.6,3.3,0.0,4.4,,,,1.9,,,,,
2016-02-01,6.5,9.2,4.0,0.0,0.3,,,,2.4,,,,,
2016-02-02,5.6,9.2,2.4,0.0,7.9,,,,3.5,,,,,
2016-02-03,5.6,10.1,1.9,0.0,4.2,,,,2.3,,,,,
2016-02-04,6.1,12.0,1.1,0.0,9.0,,,,2.7,,,,,
2016-02-05,5.7,11.7,1.0,0.0,6.0,,,,1.9,,,,,
2016-02-06,4.7,7.1,1.8,0.0,3.4,,,,3.0,,,,,
2016-02-07,3.0,7.8,-1.7,1.0,1.7,,,,2.2,,,,,
2016-02-08,4.0,11.8,-2.5,0.0,9.6,,,,2.1,,,,,
2016-02-09,7.2,12.2,-0.2,0.0,9.7,,,,3.5,,,,,
2016-02-10,4.7,11.9,-1.7,0.0,10.1,,,,1.4,,,,,
2016-02-11,5.6,13.2,-1.5,0.0,9.0,,,,1.4,,,,,
2016-02-12,11.9,15.9,2.9,0.5,0.0,,,,2.0,,,,,
2016-02-13,15.4,19.6,11.1,22.0,0.4,,,,0.9,,,,,
2016-02-14,12.7,18.5,6.4,0.0,3.6,,,,5.0,,,,,
2016-02-15,3.7,6.4,0.5,0.0,4.3,,,,4.2,,,,,
2016-02-16,3.2,9.0,-0.2,0.0,4.9,,,,3.0,,,,,
2016-02-17,4.5,8.2,-0.4,0.0,3.6,,,,2.5,,,,,
2016-02-18,3.9,11.5,-2.4,0.0,10.5,,,,1.4,,,,,
2016-02-19,6.9,13.7,-0.4,0.0,5.3,,,,1.2,,,,,
2016-02-20,8.3,10.2,6.9,36.0,0.0,,,,1.5,,,,,
2016-02-21,5.8,9.4,2.2,4.5,9.2,,,,2.9,,,,,
2016-02-22,5.1,8.9,0.4,1.0,1.6,,,,1.4,,,,,
2016-02-23,6.8,10.5,4.4,3.0,1.3,,,,0.9,,,,,
2016-02-24,6.5,9.7,2.7,0.0,3.7,,,,2.5,,,,,
2016-02-25,3.4,6.2,-0.3,1.0,2.0,,,,2.5,,,,,
2016-02-26,4.4,11.4,-1.8,0.0,9.1,,,,2.1,,,,,
2016-02-27,7.0,16.4,-0.8,0.5,3.8,,,,1.1,,,,,
2016-02-28,9.0,15.8,1.7,0.0,9.7,,,,1.4,,,,,
2016-02-29,5.6,11.1,-0.3,1.0,3.9,,,,3.1,,,,,
2016-03-01,3.2,8.3,-0.5,0.0,8.8,,,,3.0,,,,,
2016-03-02,5.9,13.3,-0.4,0.0,10.5,,,,2.7,,,,,
2016-03-03,6.9,14.8,-1.7,0.0,10.5,,,,1.4,,,,,
2016-03-04,11.1,16.4,5.4,0.5,3.3,,,,1.0,,,,,
2016-03-05,14.2,20.9,6.3,0.0,9.5,,,,2.8,,,,,
2016-03-06,16.6,19.9,12.0,0.0,0.1,,,,2.5,,,,,
2016-03-07,15.8,21.2,10.8,0.0,7.4,,,,1.4,,,,,
2016-03-08,14.4,20.2,11.3,0.0,4.6,,,,2.3,,,,,
2016-03-09,9.8,12.4,6.3,27.0,0.1,,,,2.1,,,,,
2016-03-10,8.7,13.0,5.5,0.0,1.4,,,,1.8,,,,,
2016-03-11,7.5,11.5,2.8,0.0,5.8,,,,2.9,,,,,
2016-03-12,6.5,11.0,1.7,0.0,7.4,,,,2.8,,,,,
2016-03-13,6.8,10.3,2.0,3.5,0.4,,,,1.0,,,,,
2016-03-14,8.6,12.4,6.1,3.0,3.2,,,,2.2,,,,,
2016-03-15,7.9,14.3,2.6,0.0,11.2,,,,1.9,,,,,
2016-03-16,9.2,15.3,3.8,0.0,6.1,,,,1.1,,,,,
2016-03-17,10.9,17.4,2.5,0.0,10.3,,,,1.4,,,,,
2016-03-18,14.1,15.8,9.7,24.5,0.0,,,,2.5,,,,,
2016-03-19,14.7,19.8,10.1,0.0,1.3,,,,2.4,,,,,
2016-03-20,11.2,16.2,7.3,0.0,11.0,,,,3.0,,,,,
2016-03-21,9.6,15.5,3.2,0.0,11.3,,,,2.2,,,,,
2016-03-22,8.8,15.8,0.5,0.0,11.4,,,,1.5,,,,,
2016-03-23,11.2,16.1,4.4,0.0,3.9,,,,1.9,,,,,
2016-03-24,10.2,14.6,6.3,0.0,7.2,,,,2.7,,,,,
2016-03-25,6.5,12.1,-0.1,0.0,10.1,,,,1.7,,,,,
2016-03-26,7.3,13.1,0.6,0.0,11.0,,,,1.8,,,,,
2016-03-27,9.3,15.3,3.7,0.0,5.4,,,,2.5,,,,,
2016-03-28,10.5,17.5,3.1,0.0,10.0,,,,2.2,,,,,
2016-03-29,10.1,16.8,1.6,0.0,5.7,,,,1.4,,,,,
2016-03-30,12.2,17.3,8.0,0.5,0.5,,,,0.8,,,,,
2016-03-31,12.3,17.2,6.5,13.0,1.8,,,,1.0,,,,,
2016-04-01,14.2,17.2,11.7,8.0,0.2,,,,1.4,,,,,
2016-04-02,15.6,19.2,9.6,0.0,3.2,,,,1.6,,,,,
2016-04-03,15.5,17.3,14.6,5.5,0.0,,,,0.9,,,,,
2016-04-04,15.6,18.6,12.9,25.0,1.5,,,,2.7,,,,,
2016-04-05,15.1,20.2,11.1,0.0,9.2,,,,2.5,,,,,
2016-04-06,14.0,18.2,8.4,3.5,5.2,,,,1.4,,,,,
2016-04-07,17.4,24.6,13.4,13.0,0.0,,,,2.3,,,,,
2016-04-08,15.5,21.0,10.3,0.0,3.6,,,,1.6,,,,,
2016-04-09,15.0,21.6,9.2,0.0,4.5,,,,0.9,,,,,
2016-04-10,15.3,20.6,11.5,0.0,3.2,,,,0.9,,,,,
2016-04-11,14.5,18.5,8.0,0.0,7.9,,,,2.6,,,,,
2016-04-12,12.0,18.2,4.9,0.0,7.2,,,,2.9,,,,,
2016-04-13,15.8,21.2,9.2,1.0,4.2,,,,2.1,,,,,
2016-04-14,17.9,24.4,12.0,0.0,9.1,,,,1.8,,,,,
2016-04-15,15.7,21.1,9.1,0.0,11.7,,,,2.0,,,,,
2016-04-16,15.9,22.7,7.2,1.0,7.1,,,,3.7,,,,,
