calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.5,12.2,3.3,0.0,,,,,2.6,,,,,
2016-01-02,10.5,15.3,1.6,0.0,,,,,2.1,,,,,
2016-01-03,12.1,15.6,7.0,0.0,,,,,1.5,,,,,
2016-01-04,11.4,17.8,4.4,0.0,,,,,2.6,,,,,
2016-01-05,9.7,13.5,7.2,3.5,,,,,2.4,,,,,
2016-01-06,8.7,11.3,6.3,0.0,,,,,2.4,,,,,
2016-01-07,8.3,11.9,4.9,0.0,,,,,3.5,,,,,
2016-01-08,6.5,8.7,3.3,0.0,,,,,2.9,,,,,
2016-01-09,5.8,10.0,1.8,0.0,,,,,2.4,,,,,
2016-01-10,7.2,11.9,3.0,0.0,,,,,3.1,,,,,
2016-01-11,8.1,12.3,3.5,0.0,,,,,2.8,,,,,
2016-01-12,7.8,11.2,4.1,0.0,,,,,3.6,,,,,
2016-01-13,5.1,8.6,0.0,0.0,,,,,3.3,,,,,
2016-01-14,5.4,9.7,0.3,0.0,,,,,2.9,,,,,
2016-01-15,5.1,10.4,0.2,0.0,,,,,2.6,,,,,
2016-01-16,5.7,10.3,0.6,0.0,,,,,2.1,,,,,
2016-01-17,7.6,10.9,1.5,21.0,,,,,5.8,,,,,
2016-01-18,6.8,10.5,1.3,9.0,,,,,5.5,,,,,
2016-01-19,1.6,4.7,-0.3,0.5,,,,,5.1,,,,,
2016-01-20,1.9,5.4,-0.9,0.5,,,,,5.0,,,,,
2016-01-21,4.3,8.1,-1.1,0.0,,,,,2.2,,,,,
2016-01-22,6.7,10.5,3.2,0.0,,,,,4.3,,,,,
2016-01-23,4.2,8.6,0.1,0.0,,,,,4.7,,,,,
2016-01-24,-2.8,0.2,-4.3,1.0,,,,,5.8,,,,,
2016-01-25,0.2,4.7,-3.8,0.0,,,,,3.4,,,,,
