calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.9,13.4,1.7,,9.3,13.12,,,1.8,6.5,1029.1,67,1030.8,0.8
2016-01-02,9.4,15.0,2.1,0.0,3.8,8.28,,,1.9,8.7,1023.8,73,1025.5,8.3
2016-01-03,12.5,16.5,8.7,0.0,0.9,5.26,,,1.4,11.4,1017.9,80,1019.5,8.3
2016-01-04,11.7,19.2,5.4,,8.9,12.25,,,2.2,9.2,1018.4,70,1020.0,2.3
2016-01-05,9.8,13.5,7.4,5.5,0.3,2.14,,,1.8,8.6,1021.2,73,1022.8,10.0
2016-01-06,8.9,11.2,5.8,0.5,0.0,2.13,,,1.7,8.9,1019.0,79,1020.7,8.5
2016-01-07,8.7,12.9,5.2,,5.9,9.28,,,2.4,6.6,1018.6,60,1020.3,6.3
2016-01-08,7.2,9.3,5.1,0.0,0.8,2.70,,,2.1,5.9,1018.4,58,1020.1,8.3
2016-01-09,6.8,11.2,2.6,,4.6,8.94,,,1.9,5.2,1021.8,53,1023.5,4.3
2016-01-10,6.7,12.2,1.5,,8.9,12.70,,,2.2,6.2,1022.5,65,1024.2,1.5
2016-01-11,7.7,11.7,3.5,,1.5,6.56,,,2.1,6.7,1019.9,65,1021.6,8.3
2016-01-12,8.2,11.2,4.7,0.0,2.7,6.85,,,3.1,6.5,1016.3,60,1018.0,6.8
2016-01-13,6.2,10.5,3.3,,5.1,10.36,,,2.6,4.9,1016.7,52,1018.4,6.8
2016-01-14,6.3,10.2,3.5,,3.3,6.74,,,2.4,5.0,1018.5,52,1020.2,4.8
2016-01-15,5.9,10.2,1.8,,7.7,10.18,,,2.3,4.6,1019.4,51,1021.1,7.5
2016-01-16,5.4,11.3,0.2,,8.7,12.63,,,1.8,5.6,1020.4,63,1022.1,0.3
2016-01-17,5.6,9.3,1.5,32.5,0.0,1.55,,,2.2,8.1,1013.3,87,1015.0,9.8
2016-01-18,7.7,11.8,2.4,12.0,3.7,7.98,,,4.2,7.2,1005.4,66,1007.0,7.5
2016-01-19,3.0,6.0,1.7,0.0,5.2,10.14,,,3.9,4.0,1014.7,52,1016.4,4.5
2016-01-20,3.0,6.9,-0.1,0.0,8.6,14.34,,,3.0,3.9,1022.9,52,1024.6,2.8
2016-01-21,3.5,7.8,-2.0,,2.4,6.18,,,1.8,4.7,1021.8,60,1023.5,8.3
2016-01-22,7.3,10.4,3.9,,6.4,11.48,,,2.8,6.2,1021.6,60,1023.3,9.0
2016-01-23,4.8,8.8,1.2,0.0,2.2,5.51,,,3.6,6.1,1020.2,71,1021.9,8.8
2016-01-24,-1.7,1.3,-3.6,0.0,4.3,8.49,1,2,3.5,3.6,1018.1,67,1019.8,7.8
2016-01-25,1.5,6.2,-2.6,,5.7,9.88,,,2.3,3.8,1024.7,56,1026.4,4.3
2016-01-26,4.1,10.2,-1.8,,3.7,7.57,,,2.1,5.2,1025.2,65,1026.9,4.5
2016-01-27,6.1,11.7,0.0,,4.3,9.09,,,1.5,6.3,1028.2,68,1029.9,7.8
2016-01-28,8.4,10.8,6.0,1.0,0.0,2.30,,,1.2,8.9,1025.6,80,1027.3,10.0
2016-01-29,10.2,12.3,8.4,18.0,0.0,1.58,,,1.6,11.9,1015.6,95,1017.2,10.0
2016-01-30,10.3,11.3,9.2,0.0,0.8,3.33,,,2.6,9.8,1018.1,78,1019.7,10.0
2016-01-31,8.7,13.2,4.6,,6.2,10.92,,,1.8,8.2,1022.6,74,1024.3,8.3
2016-02-01,7.1,9.1,4.6,0.0,0.0,2.77,,,2.2,7.4,1021.1,74,1022.8,9.5
2016-02-02,7.0,10.2,3.4,,7.3,13.24,,,2.9,5.6,1020.5,56,1022.2,7.8
2016-02-03,5.7,9.9,1.0,0.0,4.2,9.18,,,2.2,6.8,1022.6,74,1024.3,4.0
2016-02-04,6.0,12.1,0.0,,8.8,14.56,,,2.0,5.9,1022.0,66,1023.7,3.5
2016-02-05,6.3,11.2,1.9,,6.2,10.54,,,2.1,6.0,1018.6,65,1020.3,6.0
2016-02-06,5.1,7.4,2.2,0.0,2.1,6.60,,,3.2,5.7,1017.1,65,1018.8,7.0
2016-02-07,4.7,8.0,0.9,0.0,2.4,9.97,,,2.1,5.5,1018.3,65,1020.0,4.5
2016-02-08,5.4,12.2,-1.0,,9.9,17.07,,,2.1,4.9,1017.6,58,1019.3,3.3
2016-02-09,8.6,13.6,2.9,,9.8,16.87,,,3.0,4.7,1017.7,45,1019.4,0.5
2016-02-10,7.0,12.3,1.9,,10.1,16.93,,,1.9,5.6,1024.1,57,1025.8,2.0
2016-02-11,7.3,13.3,1.4,,8.3,15.92,,,2.0,7.4,1027.0,72,1028.7,5.3
2016-02-12,12.5,16.7,6.2,0.0,0.0,2.47,,,1.8,11.4,1022.7,78,1024.4,10.0
2016-02-13,15.2,18.1,11.9,16.5,1.0,6.62,,,1.5,16.1,1011.4,93,1013.0,8.8
