calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.2,12.4,1.3,0.0,9.2,,,,1.9,,,,,
2016-01-02,8.5,15.2,1.7,1.0,1.8,,,,1.7,,,,,
2016-01-03,12.1,16.2,9.0,0.0,1.1,,,,1.5,,,,,
2016-01-04,11.0,18.5,6.0,0.0,7.4,,,,1.9,,,,,
2016-01-05,10.1,13.5,7.6,5.0,0.1,,,,1.8,,,,,
2016-01-06,8.3,10.2,5.3,1.0,0.0,,,,1.8,,,,,
2016-01-07,7.5,12.2,2.8,0.0,4.9,,,,2.2,,,,,
2016-01-08,6.3,9.4,3.2,0.0,0.4,,,,2.0,,,,,
2016-01-09,5.4,11.6,0.5,0.0,9.1,,,,2.2,,,,,
2016-01-10,5.5,11.5,1.2,0.0,3.6,,,,1.9,,,,,
2016-01-11,7.7,11.3,2.8,0.0,0.5,,,,2.1,,,,,
2016-01-12,7.9,11.9,2.8,0.0,6.2,,,,2.8,,,,,
2016-01-13,5.8,11.1,2.3,0.0,6.6,,,,2.5,,,,,
2016-01-14,5.1,10.9,0.4,0.0,6.4,,,,2.1,,,,,
2016-01-15,4.7,10.2,0.4,0.0,8.5,,,,2.4,,,,,
2016-01-16,4.5,10.8,-0.9,0.0,9.1,,,,2.1,,,,,
2016-01-17,4.7,7.5,0.5,45.0,0.0,,,,1.9,,,,,
2016-01-18,8.6,12.9,3.6,4.0,4.9,,,,4.6,,,,,
2016-01-19,3.6,6.4,2.1,0.0,8.3,,,,6.4,,,,,
2016-01-20,3.3,7.4,-0.7,0.0,9.5,,,,3.6,,,,,
2016-01-21,3.2,7.2,-2.3,0.0,2.7,,,,1.5,,,,,
2016-01-22,7.1,10.6,4.3,0.0,4.6,,,,2.6,,,,,
2016-01-23,5.7,9.9,1.7,0.0,2.1,,,,2.6,,,,,
2016-01-24,-0.9,2.1,-2.8,0.0,2.8,,,,3.6,,,,,
2016-01-25,1.2,5.9,-3.1,0.0,6.5,,,,2.1,,,,,
2016-01-26,3.6,10.4,-2.6,0.0,4.5,,,,2.1,,,,,
2016-01-27,5.2,11.7,-0.9,0.0,3.0,,,,1.7,,,,,
2016-01-28,8.8,12.8,5.2,1.0,0.0,,,,1.4,,,,,
2016-01-29,12.2,15.4,9.5,24.5,0.0,,,,1.3,,,,,
2016-01-30,10.5,11.3,8.9,1.0,1.1,,,,2.2,,,,,
2016-01-31,8.5,13.3,4.5,0.0,7.2,,,,2.1,,,,,
2016-02-01,7.5,9.4,5.0,0.0,0.0,,,,1.8,,,,,
2016-02-02,7.1,10.9,4.3,0.0,6.3,,,,2.7,,,,,
2016-02-03,5.6,11.9,0.4,0.0,7.8,,,,2.2,,,,,
2016-02-04,5.7,11.4,-0.4,0.0,8.9,,,,2.0,,,,,
2016-02-05,6.1,12.1,1.5,0.0,8.1,,,,1.9,,,,,
2016-02-06,4.9,7.9,1.0,0.0,1.8,,,,2.7,,,,,
2016-02-07,4.7,8.6,0.8,0.0,5.6,,,,2.3,,,,,
2016-02-08,5.9,12.5,0.5,0.0,9.8,,,,2.7,,,,,
2016-02-09,7.4,13.8,0.8,0.0,9.6,,,,3.0,,,,,
