calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.7,13.6,-3.5,0.0,7.7,,,,0.4,,,,,
2016-01-02,4.6,14.0,-3.0,1.0,1.3,,,,0.4,,,,,
2016-01-03,9.8,16.8,6.9,0.0,1.0,,,,0.3,,,,,
2016-01-04,8.6,18.8,2.6,0.0,7.2,,,,0.7,,,,,
2016-01-05,7.5,12.1,5.5,7.0,0.0,,,,0.3,,,,,
2016-01-06,6.1,8.3,3.0,2.0,0.0,,,,0.2,,,,,
2016-01-07,5.7,11.2,1.1,0.0,7.6,,,,0.9,,,,,
2016-01-08,4.4,7.4,-0.2,0.0,0.1,,,,1.1,,,,,
2016-01-09,3.4,10.2,-1.7,0.0,7.5,,,,0.7,,,,,
2016-01-10,2.4,11.1,-2.1,0.0,3.7,,,,0.7,,,,,
2016-01-11,4.5,10.0,-0.8,0.0,0.4,,,,0.5,,,,,
2016-01-12,5.3,10.8,0.1,0.0,3.4,,,,0.8,,,,,
2016-01-13,4.6,9.5,0.1,0.0,5.4,,,,1.2,,,,,
2016-01-14,4.4,10.1,-2.3,0.0,7.1,,,,1.0,,,,,
2016-01-15,1.5,9.1,-3.3,0.0,5.4,,,,0.7,,,,,
2016-01-16,1.4,11.8,-5.6,0.0,7.9,,,,0.6,,,,,
2016-01-17,1.4,6.2,-3.2,36.5,0.0,,,,0.2,,,,,
2016-01-18,6.8,11.6,1.0,5.5,5.6,,,,1.9,,,,,
2016-01-19,1.7,4.9,0.1,0.0,7.6,,,,2.2,,,,,
2016-01-20,1.0,6.5,-3.9,0.0,8.0,,,,1.5,,,,,
2016-01-21,0.2,5.5,-6.2,0.0,0.7,,,,0.4,,,,,
2016-01-22,4.5,10.2,0.4,0.0,4.6,,,,1.1,,,,,
2016-01-23,2.5,10.9,-0.2,0.0,3.8,,,,1.2,,,,,
2016-01-24,-3.6,0.1,-5.5,0.0,1.2,,,,1.3,,,,,
2016-01-25,-0.8,4.8,-6.7,0.0,5.7,,,,1.1,,,,,
2016-01-26,0.5,9.9,-6.0,0.0,4.3,,,,0.8,,,,,
2016-01-27,2.0,11.7,-4.8,0.0,2.0,,,,0.4,,,,,
2016-01-28,6.8,12.5,1.2,0.0,0.0,,,,0.5,,,,,
2016-01-29,12.0,14.5,10.1,22.0,0.0,,,,0.8,,,,,
2016-01-30,8.3,10.4,4.0,1.0,0.5,,,,1.2,,,,,
2016-01-31,5.8,14.8,-0.1,0.0,7.4,,,,0.7,,,,,
2016-02-01,5.7,8.0,1.9,0.0,0.0,,,,0.9,,,,,
2016-02-02,4.7,9.9,-0.4,0.0,6.4,,,,0.9,,,,,
2016-02-03,3.0,11.2,-2.6,0.0,6.6,,,,0.9,,,,,
2016-02-04,3.2,12.5,-4.0,0.0,8.4,,,,0.9,,,,,
2016-02-05,3.9,12.7,-2.3,0.0,8.2,,,,1.1,,,,,
2016-02-06,3.2,8.9,-2.3,0.0,3.0,,,,1.1,,,,,
2016-02-07,2.4,8.6,-2.6,0.0,5.3,,,,1.1,,,,,
2016-02-08,2.4,11.2,-4.3,0.0,8.7,,,,0.8,,,,,
2016-02-09,6.0,13.1,-2.5,0.0,8.5,,,,1.5,,,,,
2016-02-10,3.9,14.4,-3.5,0.0,8.8,,,,0.9,,,,,
2016-02-11,5.5,16.7,-3.2,0.0,8.5,,,,0.7,,,,,
2016-02-12,10.7,15.4,3.5,2.0,0.0,,,,1.1,,,,,
2016-02-13,16.6,20.7,13.3,6.5,1.3,,,,1.3,,,,,
2016-02-14,12.4,17.6,5.5,1.0,6.5,,,,1.6,,,,,
2016-02-15,3.0,6.5,-0.1,0.0,6.8,,,,2.0,,,,,
2016-02-16,2.4,7.8,-1.4,0.0,6.4,,,,1.2,,,,,
2016-02-17,3.6,9.7,-2.7,0.0,5.8,,,,1.3,,,,,
2016-02-18,2.8,12.6,-4.9,0.0,8.5,,,,0.9,,,,,
2016-02-19,5.9,14.5,-2.0,0.0,3.7,,,,0.8,,,,,
2016-02-20,7.6,10.3,6.3,47.0,0.4,,,,0.7,,,,,
2016-02-21,5.2,10.0,-0.1,1.5,6.5,,,,1.3,,,,,
2016-02-22,4.1,10.7,-1.7,0.5,0.7,,,,0.6,,,,,
2016-02-23,5.0,8.3,1.1,3.0,0.0,,,,0.4,,,,,
2016-02-24,6.0,12.5,0.9,0.0,7.7,,,,1.1,,,,,
2016-02-25,2.7,7.3,-2.5,0.0,2.6,,,,1.5,,,,,
2016-02-26,2.3,10.6,-4.0,0.0,7.5,,,,0.8,,,,,
