calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.9,12.2,-3.0,0.0,7.6,,,,0.8,,,,,
2016-01-02,4.7,13.1,-2.5,0.0,4.6,,,,0.7,,,,,
2016-01-03,6.8,16.2,1.0,0.0,7.1,,,,1.0,,,,,
2016-01-04,7.3,16.4,2.3,0.0,3.7,,,,0.9,,,,,
2016-01-05,4.7,10.7,-0.6,0.0,1.2,,,,0.6,,,,,
2016-01-06,5.5,10.8,1.8,0.0,2.4,,,,0.9,,,,,
2016-01-07,5.0,11.5,0.2,0.0,6.2,,,,1.1,,,,,
2016-01-08,4.3,9.4,-0.8,0.0,0.3,,,,0.8,,,,,
2016-01-09,3.2,10.6,-2.4,0.0,7.4,,,,1.2,,,,,
2016-01-10,3.2,11.6,-3.0,0.0,7.7,,,,0.8,,,,,
2016-01-11,4.7,11.5,-2.2,0.0,3.6,,,,0.8,,,,,
2016-01-12,3.8,8.6,-0.9,0.0,3.1,,,,1.1,,,,,
2016-01-13,4.0,9.8,-1.7,0.0,5.4,,,,1.5,,,,,
2016-01-14,1.4,7.6,-3.7,0.0,3.4,,,,0.9,,,,,
2016-01-15,1.4,9.3,-5.0,0.0,7.3,,,,1.0,,,,,
2016-01-16,1.7,11.0,-5.1,0.0,9.1,,,,1.1,,,,,
2016-01-17,3.0,8.3,-3.3,3.5,1.3,,,,1.0,,,,,
2016-01-18,6.3,12.5,1.7,7.5,1.6,,,,2.2,,,,,
2016-01-19,0.6,4.3,-1.6,0.5,5.9,,,,3.5,,,,,
2016-01-20,1.6,7.5,-1.9,0.5,7.1,,,,2.4,,,,,
2016-01-21,2.2,7.0,-3.1,0.0,2.4,,,,0.8,,,,,
2016-01-22,3.1,9.4,-1.0,0.0,3.5,,,,1.1,,,,,
2016-01-23,2.3,7.4,-1.3,0.0,2.4,,,,1.3,,,,,
2016-01-24,-2.9,0.1,-6.8,0.0,6.0,,,,2.1,,,,,
2016-01-25,-1.7,5.6,-7.4,0.0,7.8,,,,1.5,,,,,
2016-01-26,1.3,7.8,-6.5,0.0,2.0,,,,1.2,,,,,
2016-01-27,2.7,9.7,-3.3,0.0,3.4,,,,1.2,,,,,
2016-01-28,4.7,10.5,-2.7,3.0,2.0,,,,0.8,,,,,
2016-01-29,7.2,8.3,6.0,28.0,0.0,,,,0.3,,,,,
2016-01-30,6.4,10.3,1.1,3.0,0.0,,,,0.8,,,,,
2016-01-31,3.8,10.3,-1.5,0.0,3.3,,,,1.1,,,,,
2016-02-01,4.3,8.5,0.5,0.0,0.5,,,,0.6,,,,,
2016-02-02,3.6,10.1,-0.8,0.0,2.5,,,,1.1,,,,,
2016-02-03,2.1,8.6,-3.6,0.0,5.6,,,,1.1,,,,,
2016-02-04,3.2,10.5,-3.4,0.0,5.9,,,,1.3,,,,,
2016-02-05,2.8,10.8,-2.8,0.0,5.8,,,,1.0,,,,,
2016-02-06,2.7,10.0,-3.4,0.0,7.0,,,,1.5,,,,,
2016-02-07,2.2,8.2,-3.4,0.0,5.1,,,,1.3,,,,,
2016-02-08,1.9,9.5,-5.3,0.0,7.6,,,,1.4,,,,,
2016-02-09,3.9,10.5,-1.8,0.0,5.3,,,,1.9,,,,,
2016-02-10,2.8,9.4,-2.8,0.0,3.9,,,,1.1,,,,,
2016-02-11,2.7,13.5,-4.7,0.0,9.8,,,,1.1,,,,,
2016-02-12,7.6,15.0,-2.6,0.0,4.1,,,,1.2,,,,,
2016-02-13,13.9,15.8,10.6,17.0,0.0,,,,1.4,,,,,
2016-02-14,13.6,18.3,9.0,12.5,1.0,,,,2.5,,,,,
2016-02-15,4.7,9.3,0.5,0.0,3.8,,,,1.9,,,,,
2016-02-16,1.9,7.9,-3.4,0.0,7.5,,,,1.9,,,,,
2016-02-17,2.1,9.1,-2.7,0.0,5.8,,,,1.2,,,,,
2016-02-18,1.8,10.3,-5.1,0.0,10.2,,,,1.3,,,,,
2016-02-19,5.7,14.2,-2.6,0.0,7.0,,,,1.3,,,,,
2016-02-20,7.0,8.6,5.4,19.5,0.0,,,,1.0,,,,,
2016-02-21,5.6,10.3,-0.3,0.0,7.5,,,,1.7,,,,,
2016-02-22,3.7,10.4,-2.9,0.0,5.9,,,,0.9,,,,,
2016-02-23,5.4,10.4,1.7,0.0,0.1,,,,1.1,,,,,
2016-02-24,4.5,8.7,0.2,0.0,3.2,,,,2.1,,,,,
2016-02-25,2.3,7.9,-2.7,0.0,5.7,,,,1.3,,,,,
2016-02-26,1.8,9.2,-5.1,0.0,6.6,,,,1.4,,,,,
2016-02-27,5.8,13.0,-1.9,0.0,4.6,,,,1.5,,,,,
2016-02-28,6.4,14.8,-1.0,0.0,4.9,,,,1.0,,,,,
2016-02-29,4.9,10.5,-0.2,1.0,3.6,,,,2.1,,,,,
2016-03-01,1.9,7.5,-1.9,0.0,5.7,,,,1.6,,,,,
2016-03-02,3.4,12.2,-3.7,0.0,8.5,,,,1.4,,,,,
2016-03-03,6.1,17.1,-3.2,0.0,10.4,,,,1.4,,,,,
2016-03-04,8.2,16.0,-0.4,0.0,0.6,,,,0.7,,,,,
