calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.0,9.1,0.0,1.0,5.0,,0,0,1.5,,,,,
2016-01-02,4.0,10.3,-0.8,0.0,4.3,,0,0,1.5,,,,,
2016-01-03,5.8,13.4,0.3,0.0,5.2,,0,0,1.4,,,,,
2016-01-04,5.3,13.3,1.4,0.0,3.6,,0,0,1.0,,,,,
2016-01-05,3.6,8.3,-0.5,0.5,0.9,,0,0,0.8,,,,,
2016-01-06,3.9,8.7,0.6,0.0,2.7,,0,0,1.0,,,,,
2016-01-07,3.4,9.7,-1.2,0.0,4.7,,0,0,1.2,,,,,
2016-01-08,1.8,7.1,-1.9,0.0,0.8,,0,0,1.2,,,,,
2016-01-09,1.1,8.1,-3.9,0.0,4.5,,0,0,0.8,,,,,
2016-01-10,1.9,9.2,-2.9,0.0,6.8,,0,0,1.2,,,,,
2016-01-11,3.5,9.8,-1.4,0.0,5.1,,0,0,1.4,,,,,
2016-01-12,2.7,6.3,-0.4,0.0,3.4,,0,0,1.4,,,,,
2016-01-13,2.2,6.6,-2.2,0.0,2.1,,0,0,0.9,,,,,
2016-01-14,0.4,6.0,-3.9,0.0,4.4,,0,0,1.1,,,,,
2016-01-15,0.4,7.5,-4.0,0.0,7.1,,0,0,1.2,,,,,
2016-01-16,0.7,8.2,-4.7,0.0,6.6,,0,0,1.3,,,,,
2016-01-17,2.1,6.7,-2.7,5.0,0.7,,0,0,1.2,,,,,
2016-01-18,4.4,9.9,0.3,12.0,1.2,,0,0,1.9,,,,,
2016-01-19,-1.9,0.4,-3.9,0.5,2.7,,0,0,2.4,,,,,
2016-01-20,-0.5,3.3,-3.9,6.0,3.3,,6,7,2.0,,,,,
2016-01-21,1.3,4.4,-1.4,0.0,0.9,,0,0,0.9,,,,,
2016-01-22,1.9,5.9,-1.1,0.5,5.8,,0,0,1.6,,,,,
2016-01-23,0.9,4.8,-2.1,0.0,2.2,,0,0,1.5,,,,,
2016-01-24,-4.6,-1.8,-7.4,0.0,5.7,,0,0,1.8,,,,,
2016-01-25,-3.8,2.2,-9.3,4.5,6.8,,11,11,1.4,,,,,
2016-01-26,-1.5,3.3,-7.7,0.0,0.3,,2,0,1.3,,,,,
2016-01-27,0.9,6.9,-3.8,0.0,2.5,,0,0,0.9,,,,,
2016-01-28,2.8,7.6,-2.5,4.0,1.4,,0,0,1.2,,,,,
2016-01-29,5.1,7.3,3.0,41.0,0.0,,0,0,1.0,,,,,
2016-01-30,5.2,9.3,1.4,2.0,2.0,,0,0,1.8,,,,,
2016-01-31,3.4,7.8,0.1,0.0,2.8,,0,0,0.9,,,,,
2016-02-01,3.2,5.3,0.9,0.0,0.0,,0,0,0.7,,,,,
2016-02-02,2.7,6.5,-1.3,0.0,2.3,,0,0,1.3,,,,,
2016-02-03,1.1,6.8,-3.6,0.0,5.1,,0,0,1.4,,,,,
2016-02-04,2.2,7.8,-3.1,0.0,5.7,,0,0,1.2,,,,,
2016-02-05,2.0,8.9,-2.7,0.0,7.1,,0,0,1.2,,,,,
2016-02-06,1.4,7.1,-3.3,0.0,7.9,,0,0,1.6,,,,,
2016-02-07,1.0,5.1,-3.2,0.0,7.7,,0,0,,,,,,
2016-02-08,1.0,7.4,-5.6,0.0,6.0,,0,0,1.6,,,,,
2016-02-09,1.9,7.7,-2.0,3.0,3.2,,0,0,1.9,,,,,
2016-02-10,1.6,6.0,-2.3,0.5,3.6,,0,0,,,,,,
2016-02-11,2.7,12.3,-4.0,0.0,9.2,,0,0,1.5,,,,,
2016-02-12,7.4,14.3,-1.6,0.0,4.7,,0,0,1.5,,,,,
2016-02-13,13.1,15.2,10.2,22.0,0.0,,0,0,0.8,,,,,
2016-02-14,11.7,15.3,6.8,13.0,0.4,,0,0,1.5,,,,,
2016-02-15,2.6,6.9,-1.8,0.0,1.1,,0,0,2.1,,,,,
2016-02-16,0.1,4.3,-4.3,0.0,3.4,,0,0,1.1,,,,,
2016-02-17,1.4,4.8,-2.5,0.0,2.4,,0,0,1.6,,,,,
2016-02-18,1.3,8.9,-4.7,0.0,9.3,,0,0,1.7,,,,,
2016-02-19,5.1,12.7,-2.0,0.0,7.0,,0,0,1.9,,,,,
2016-02-20,6.2,7.7,4.8,21.5,0.0,,0,0,1.8,,,,,
2016-02-21,3.6,7.6,-1.2,0.0,5.4,,0,0,2.8,,,,,
2016-02-22,3.1,8.6,-2.6,0.0,5.0,,0,0,1.0,,,,,
2016-02-23,4.9,10.7,1.5,0.0,2.4,,0,0,1.5,,,,,
2016-02-24,2.5,5.4,-0.8,0.0,8.9,,0,0,2.8,,,,,
2016-02-25,0.6,6.4,-4.4,0.0,6.1,,0,0,1.4,,,,,
2016-02-26,1.0,7.2,-4.4,0.0,7.2,,0,0,1.7,,,,,
2016-02-27,3.9,9.6,-1.6,0.0,2.0,,0,0,1.5,,,,,
2016-02-28,5.3,12.8,-1.3,0.0,2.5,,0,0,1.1,,,,,
2016-02-29,3.9,7.6,-2.3,5.5,1.7,,11,11,2.1,,,,,
2016-03-01,-0.9,2.6,-2.7,1.0,3.0,,10,1,1.8,,,,,
2016-03-02,1.5,9.9,-4.0,0.0,7.5,,0,0,1.7,,,,,
2016-03-03,5.1,14.7,-2.3,0.0,9.6,,0,0,2.1,,,,,
2016-03-04,7.9,14.9,0.4,0.0,3.3,,0,0,1.6,,,,,
2016-03-05,12.5,17.8,5.9,0.0,7.5,,0,0,2.1,,,,,
2016-03-06,14.4,16.6,12.6,2.0,0.0,,0,0,1.9,,,,,
2016-03-07,14.4,22.0,9.2,0.0,6.8,,0,0,2.0,,,,,
2016-03-08,11.7,17.8,8.0,0.0,2.4,,0,0,2.2,,,,,
2016-03-09,5.6,10.1,3.1,29.5,0.0,,0,0,1.8,,,,,
2016-03-10,4.7,7.6,1.0,0.0,1.6,,0,0,1.5,,,,,
2016-03-11,3.3,7.5,-0.5,0.0,7.2,,0,0,2.1,,,,,
2016-03-12,3.0,9.5,-2.4,0.0,6.7,,0,0,1.4,,,,,
2016-03-13,4.7,10.6,-1.4,4.0,2.9,,0,0,0.8,,,,,
2016-03-14,5.3,8.0,3.6,4.0,0.6,,0,0,1.5,,,,,
2016-03-15,5.1,10.0,-0.8,0.0,9.9,,0,0,3.4,,,,,
2016-03-16,4.8,13.5,-2.4,0.0,2.5,,0,0,1.5,,,,,
2016-03-17,8.8,19.0,-0.2,0.0,10.2,,0,0,1.9,,,,,
2016-03-18,10.9,16.1,4.0,19.0,1.3,,0,0,1.8,,,,,
2016-03-19,12.4,16.6,8.1,17.0,3.5,,0,0,2.7,,,,,
2016-03-20,8.0,11.1,6.1,0.0,5.4,,0,0,3.7,,,,,
2016-03-21,5.6,10.6,-0.7,0.0,10.4,,0,0,2.8,,,,,
2016-03-22,6.5,16.7,-2.6,0.0,9.7,,0,0,1.7,,,,,
2016-03-23,8.2,17.5,1.5,0.0,6.3,,0,0,2.4,,,,,
2016-03-24,5.5,8.7,1.7,0.0,5.5,,0,0,3.2,,,,,
2016-03-25,3.9,8.1,-1.3,0.0,4.6,,0,0,2.6,,,,,
2016-03-26,4.2,12.2,-3.5,0.0,9.7,,0,0,1.4,,,,,
2016-03-27,6.5,13.9,-1.2,0.0,6.8,,0,0,1.9,,,,,
2016-03-28,6.9,14.2,0.9,0.0,7.9,,0,0,1.6,,,,,
2016-03-29,8.2,16.4,-0.6,0.0,7.2,,0,0,1.3,,,,,
2016-03-30,10.0,18.3,3.3,1.0,5.8,,0,0,1.8,,,,,
2016-03-31,11.7,19.3,3.7,0.0,6.4,,0,0,1.6,,,,,
2016-04-01,12.7,16.2,8.2,4.0,0.0,,0,0,1.4,,,,,
2016-04-02,14.0,20.0,6.5,0.0,5.4,,0,0,1.8,,,,,
2016-04-03,14.6,17.2,11.6,8.5,0.0,,0,0,1.0,,,,,
2016-04-04,12.7,16.8,7.3,4.5,1.5,,0,0,2.6,,,,,
2016-04-05,10.8,16.4,4.1,0.0,5.1,,0,0,1.1,,,,,
2016-04-06,12.4,21.1,3.3,1.0,10.1,,0,0,1.5,,,,,
2016-04-07,14.5,19.7,10.2,49.0,0.0,,0,0,1.6,,,,,
2016-04-08,12.3,19.6,7.2,0.0,4.1,,0,0,1.7,,,,,
2016-04-09,13.6,22.6,6.5,0.0,7.3,,0,0,1.8,,,,,
2016-04-10,12.9,19.1,7.1,0.0,0.9,,0,0,1.7,,,,,
2016-04-11,7.2,12.8,0.8,0.0,6.3,,0,0,3.3,,,,,
2016-04-12,8.0,16.0,-0.9,0.0,10.0,,0,0,1.5,,,,,
2016-04-13,13.6,20.9,8.5,37.5,2.1,,0,0,1.5,,,,,
2016-04-14,15.7,20.3,12.1,0.0,7.6,,0,0,2.7,,,,,
2016-04-15,12.5,17.7,6.1,0.0,11.4,,0,0,3.4,,,,,
2016-04-16,13.9,22.6,3.1,0.0,11.2,,0,0,2.1,,,,,
2016-04-17,17.7,23.9,11.3,6.0,6.7,,0,0,3.2,,,,,
2016-04-18,11.5,15.9,6.6,0.0,0.0,,0,0,1.7,,,,,
2016-04-19,9.8,17.4,2.6,0.0,8.3,,0,0,2.5,,,,,
2016-04-20,12.3,21.1,1.7,0.0,11.0,,0,0,1.5,,,,,
2016-04-21,13.7,15.3,12.9,37.0,0.0,,0,0,1.4,,,,,
2016-04-22,17.2,24.6,11.7,0.0,10.3,,0,0,2.1,,,,,
2016-04-23,15.9,22.1,10.4,2.0,2.9,,0,0,1.6,,,,,
2016-04-24,14.4,20.1,9.6,0.0,6.5,,0,0,1.8,,,,,
2016-04-25,14.6,21.8,6.5,0.0,5.7,,0,0,1.2,,,,,
2016-04-26,17.1,26.8,9.1,0.0,11.1,,0,0,1.8,,,,,
2016-04-27,15.4,19.1,12.8,10.5,0.0,,0,0,1.4,,,,,
2016-04-28,13.2,15.8,10.4,12.5,0.0,,0,0,2.4,,,,,
2016-04-29,9.7,13.8,4.2,0.0,4.0,,0,0,2.6,,,,,
2016-04-30,11.9,21.8,1.9,0.0,11.6,,0,0,2.0,,,,,
2016-05-01,16.1,26.3,7.4,0.0,9.4,,0,0,2.4,,,,,
2016-05-02,18.8,28.8,8.4,0.0,11.4,,0,0,1.8,,,,,
2016-05-03,17.6,19.4,16.1,28.0,0.0,,0,0,3.4,,,,,
2016-05-04,15.5,22.3,9.1,0.0,9.0,,0,0,3.1,,,,,
2016-05-05,15.2,22.3,7.1,0.0,10.6,,0,0,2.6,,,,,
2016-05-06,13.7,15.7,11.1,7.5,0.0,,0,0,1.3,,,,,
2016-05-07,15.7,22.9,9.3,0.0,2.7,,0,0,1.6,,,,,
2016-05-08,15.5,24.3,6.8,0.0,10.8,,0,0,1.4,,,,,
2016-05-09,14.5,16.5,12.1,19.5,0.0,,0,0,0.7,,,,,
2016-05-10,17.3,19.9,15.0,7.5,0.0,,0,0,0.8,,,,,
2016-05-11,15.6,19.8,10.3,0.0,0.5,,0,0,2.3,,,,,
2016-05-12,15.8,25.2,7.9,0.0,12.0,,0,0,1.7,,,,,
2016-05-13,17.3,26.1,8.4,0.0,9.8,,0,0,2.4,,,,,
2016-05-14,18.7,26.4,10.9,0.0,11.8,,0,0,1.5,,,,,
2016-05-15,18.8,23.7,13.3,0.0,4.6,,0,0,2.6,,,,,
2016-05-16,16.8,19.7,10.4,51.0,0.0,,0,0,2.9,,,,,
2016-05-17,14.9,22.3,8.8,0.0,11.7,,0,0,2.1,,,,,
