calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.1,8.4,-2.0,0.0,4.3,,0,0,1.5,,,,,
2016-01-02,6.6,11.3,2.6,0.0,5.0,,0,0,1.7,,,,,
2016-01-03,5.7,13.9,-0.2,0.0,4.0,,0,0,0.7,,,,,
2016-01-04,4.5,12.2,-1.5,0.0,1.7,,0,0,1.2,,,,,
2016-01-05,3.0,6.8,-1.5,0.0,0.5,,0,0,1.0,,,,,
2016-01-06,3.4,10.2,-1.4,0.0,2.7,,0,0,1.3,,,,,
2016-01-07,1.4,4.8,-1.8,0.5,0.1,,0,0,0.9,,,,,
2016-01-08,0.4,2.4,-1.6,1.5,0.0,,0,0,0.6,,,,,
2016-01-09,1.1,5.8,-2.5,0.0,3.2,,0,0,1.1,,,,,
2016-01-10,1.9,4.9,-1.4,0.0,0.5,,0,0,1.1,,,,,
2016-01-11,2.5,7.4,-0.6,0.5,2.1,,0,0,1.1,,,,,
2016-01-12,0.5,1.6,-0.7,10.5,0.0,,0,0,,,,,,
2016-01-13,0.1,2.9,-1.4,2.5,1.1,,0,0,,,,,,
2016-01-14,-0.2,1.9,-1.2,1.5,0.6,,0,0,1.1,,,,,
2016-01-15,-0.8,3.7,-4.2,0.5,4.0,,0,0,0.8,,,,,
2016-01-16,-0.8,5.5,-5.4,0.0,5.6,,0,0,0.7,,,,,
2016-01-17,0.1,4.8,-3.2,8.0,0.0,,0,0,0.6,,,,,
2016-01-18,0.6,5.0,-3.5,26.0,0.2,,4,5,,,,,,
2016-01-19,-4.8,-3.3,-5.6,13.0,0.0,,29,29,,,,,,
2016-01-20,-0.7,2.2,-5.3,17.0,2.3,,40,14,2.4,,,,,
2016-01-21,-0.8,2.3,-3.7,0.5,0.0,,30,1,0.6,,,,,
2016-01-22,-0.6,0.8,-3.1,26.5,0.2,,46,26,,,,,,
2016-01-23,-2.3,0.8,-5.6,3.0,0.7,,39,5,,,,,,
2016-01-24,-8.2,-5.6,-10.3,8.5,0.0,,50,16,1.8,,,,,
2016-01-25,-4.0,0.3,-7.8,12.0,5.5,,70,23,0.8,,,,,
2016-01-26,-1.3,1.7,-6.0,0.0,0.8,,52,1,1.3,,,,,
2016-01-27,1.1,4.1,-1.8,0.0,0.5,,47,1,0.9,,,,,
2016-01-28,0.4,5.1,-5.5,4.0,0.0,,40,0,0.5,,,,,
2016-01-29,2.7,5.1,0.5,40.0,0.0,,33,2,1.6,,,,,
2016-01-30,2.9,4.7,1.6,22.5,0.3,,21,2,3.6,,,,,
2016-01-31,1.6,4.8,-1.1,3.5,0.6,,16,2,1.0,,,,,
2016-02-01,1.3,2.9,0.1,1.0,0.0,,13,1,0.8,,,,,
2016-02-02,0.2,1.2,-0.4,11.5,0.0,,26,16,1.7,,,,,
