calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.9,10.7,-0.4,0.0,8.2,,,,1.2,,,,,
2016-01-02,7.7,12.8,2.1,0.0,3.1,,,,1.5,,,,,
2016-01-03,9.0,15.6,3.3,0.0,8.4,,,,1.0,,,,,
2016-01-04,9.3,16.1,3.9,0.0,5.1,,,,1.5,,,,,
2016-01-05,6.8,10.8,3.2,0.0,1.1,,,,0.6,,,,,
2016-01-06,7.5,10.7,3.6,0.0,2.0,,,,1.1,,,,,
2016-01-07,7.4,11.4,4.5,0.0,4.7,,,,2.0,,,,,
2016-01-08,5.7,10.0,2.9,0.0,0.8,,,,2.1,,,,,
2016-01-09,5.3,9.7,0.2,0.0,6.2,,,,1.6,,,,,
2016-01-10,5.7,11.4,0.8,0.0,7.2,,,,1.4,,,,,
2016-01-11,6.7,11.1,2.4,0.0,4.7,,,,1.4,,,,,
2016-01-12,6.2,9.4,3.0,0.0,3.4,,,,1.3,,,,,
2016-01-13,5.0,10.1,1.3,0.0,5.1,,,,2.1,,,,,
2016-01-14,3.3,7.9,-1.6,0.0,4.5,,,,1.8,,,,,
2016-01-15,3.6,8.5,-0.8,0.0,6.2,,,,1.4,,,,,
2016-01-16,3.3,10.2,-2.7,0.0,9.3,,,,0.9,,,,,
2016-01-17,3.9,7.8,-0.2,2.0,0.1,,,,1.8,,,,,
2016-01-18,6.5,12.4,1.2,6.5,3.5,,,,3.7,,,,,
2016-01-19,0.7,4.0,-1.2,0.0,5.4,,,,5.0,,,,,
2016-01-20,2.7,8.2,-1.4,0.0,7.3,,,,3.1,,,,,
2016-01-21,3.4,7.1,-0.5,0.0,1.5,,,,1.0,,,,,
2016-01-22,4.7,8.5,1.2,0.0,5.8,,,,1.6,,,,,
2016-01-23,3.3,7.8,0.7,0.0,2.4,,,,2.1,,,,,
2016-01-24,-2.4,0.8,-4.7,0.0,5.7,,,,3.7,,,,,
2016-01-25,-0.1,5.1,-4.7,0.0,6.8,,,,2.4,,,,,
2016-01-26,2.7,8.6,-3.4,0.0,1.8,,,,2.2,,,,,
2016-01-27,5.3,10.2,-0.2,0.0,2.0,,,,1.6,,,,,
2016-01-28,5.3,9.7,-0.4,1.5,1.6,,,,1.3,,,,,
2016-01-29,7.3,8.4,6.1,26.0,0.0,,,,1.0,,,,,
2016-01-30,7.5,10.4,3.8,3.0,0.0,,,,1.4,,,,,
2016-01-31,5.5,10.9,0.7,0.0,5.4,,,,1.3,,,,,
2016-02-01,6.4,9.9,3.5,0.0,1.6,,,,2.0,,,,,
2016-02-02,4.6,8.2,0.8,0.0,2.1,,,,1.2,,,,,
2016-02-03,3.5,8.8,-1.2,0.0,7.2,,,,0.9,,,,,
2016-02-04,4.8,9.4,-1.2,0.0,5.9,,,,1.8,,,,,
2016-02-05,4.9,9.8,0.0,0.0,6.0,,,,1.2,,,,,
2016-02-06,4.3,9.5,0.2,0.0,7.0,,,,1.8,,,,,
2016-02-07,3.2,7.8,-0.2,0.0,4.5,,,,1.4,,,,,
2016-02-08,3.8,9.4,-2.7,0.0,9.0,,,,2.2,,,,,
2016-02-09,6.3,10.7,2.4,0.0,6.7,,,,3.3,,,,,
2016-02-10,4.4,10.9,-1.2,0.0,9.5,,,,1.2,,,,,
2016-02-11,4.6,12.3,-1.6,0.0,9.8,,,,1.3,,,,,
2016-02-12,7.8,13.7,0.5,0.0,2.2,,,,1.1,,,,,
2016-02-13,13.1,15.3,9.8,18.0,0.0,,,,1.0,,,,,
2016-02-14,12.9,17.9,9.1,10.0,3.2,,,,3.6,,,,,
2016-02-15,5.1,9.2,0.7,0.0,3.7,,,,4.1,,,,,
2016-02-16,3.5,7.9,-0.7,0.0,7.4,,,,3.2,,,,,
2016-02-17,5.0,8.5,0.4,0.0,6.4,,,,3.0,,,,,
2016-02-18,3.7,10.2,-2.4,0.0,10.0,,,,1.4,,,,,
2016-02-19,7.3,13.0,0.3,0.0,6.4,,,,1.6,,,,,
2016-02-20,7.6,8.5,6.8,18.0,0.1,,,,1.7,,,,,
2016-02-21,6.4,10.3,3.0,0.0,8.6,,,,2.5,,,,,
2016-02-22,5.0,9.5,0.1,0.0,5.5,,,,1.2,,,,,
2016-02-23,6.6,9.4,4.1,0.0,0.6,,,,1.7,,,,,
2016-02-24,4.9,7.6,2.3,0.0,1.4,,,,2.5,,,,,
2016-02-25,3.8,7.9,0.4,0.0,6.6,,,,2.3,,,,,
2016-02-26,3.8,8.8,-2.2,0.0,6.5,,,,2.0,,,,,
2016-02-27,6.0,12.8,0.2,0.0,3.9,,,,1.6,,,,,
2016-02-28,7.8,15.0,1.9,0.0,8.1,,,,1.4,,,,,
2016-02-29,5.3,9.3,0.6,1.5,3.6,,,,3.0,,,,,
2016-03-01,2.4,5.6,-1.1,0.0,5.4,,,,2.2,,,,,
2016-03-02,5.2,11.0,-0.9,0.0,9.5,,,,2.2,,,,,
2016-03-03,7.5,14.5,-0.2,0.0,10.6,,,,1.6,,,,,
2016-03-04,8.8,13.9,3.8,0.0,0.6,,,,0.9,,,,,
2016-03-05,13.1,20.0,5.8,0.0,10.1,,,,1.6,,,,,
2016-03-06,14.8,19.2,10.9,1.0,0.0,,,,1.4,,,,,
2016-03-07,16.3,22.4,13.0,0.0,6.3,,,,1.1,,,,,
2016-03-08,13.9,18.2,9.8,0.0,5.0,,,,1.8,,,,,
2016-03-09,7.8,12.4,4.6,32.5,0.0,,,,1.8,,,,,
2016-03-10,6.9,10.1,3.8,0.0,1.7,,,,1.5,,,,,
2016-03-11,6.4,9.7,4.1,0.0,2.7,,,,1.9,,,,,
2016-03-12,5.9,11.2,0.5,0.0,9.3,,,,1.6,,,,,
2016-03-13,6.5,11.1,1.9,4.5,2.7,,,,1.4,,,,,
2016-03-14,6.8,10.5,3.5,7.0,1.8,,,,1.5,,,,,
2016-03-15,6.8,12.7,1.2,0.0,11.0,,,,1.8,,,,,
2016-03-16,7.4,14.9,2.4,0.0,4.6,,,,1.3,,,,,
2016-03-17,10.8,19.4,2.4,0.0,10.5,,,,1.4,,,,,
2016-03-18,11.7,15.1,7.0,6.5,0.6,,,,1.2,,,,,
2016-03-19,13.8,18.2,10.2,2.5,4.7,,,,2.2,,,,,
2016-03-20,9.9,15.5,5.0,0.0,11.2,,,,2.3,,,,,
