calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,18.4,20.4,16.7,0.0,,,,,5.0,,,,,
2016-01-02,21.2,24.1,18.0,0.0,,,,,3.8,,,,,
2016-01-03,21.0,22.8,19.8,28.0,,,,,2.8,,,,,
2016-01-04,19.9,20.9,19.0,9.0,,,,,3.6,,,,,
2016-01-05,22.4,25.7,19.2,26.0,,,,,3.5,,,,,
2016-01-06,19.4,21.5,18.1,17.5,,,,,2.7,,,,,
2016-01-07,18.7,20.4,17.8,0.0,,,,,6.4,,,,,
2016-01-08,17.1,18.6,14.8,7.0,,,,,5.0,,,,,
2016-01-09,17.2,19.0,16.2,0.0,,,,,4.8,,,,,
2016-01-10,18.1,20.5,12.8,0.0,,,,,2.5,,,,,
2016-01-11,19.5,21.0,17.8,27.0,,,,,6.2,,,,,
2016-01-12,18.1,20.2,16.1,3.5,,,,,6.6,,,,,
2016-01-13,15.7,16.9,14.3,0.5,,,,,5.3,,,,,
2016-01-14,15.7,16.9,14.0,0.5,,,,,5.2,,,,,
2016-01-15,16.9,18.7,15.3,10.0,,,,,3.3,,,,,
2016-01-16,17.9,20.5,14.8,5.0,,,,,3.0,,,,,
2016-01-17,19.6,21.3,18.1,16.0,,,,,5.3,,,,,
2016-01-18,16.7,18.7,15.0,0.0,,,,,6.8,,,,,
2016-01-19,14.3,16.0,12.5,0.0,,,,,5.2,,,,,
2016-01-20,14.6,16.3,12.8,0.0,,,,,4.6,,,,,
2016-01-21,17.0,19.2,15.1,31.5,,,,,6.3,,,,,
2016-01-22,16.9,17.8,15.6,1.5,,,,,8.6,,,,,
2016-01-23,14.3,16.4,11.1,15.5,,,,,9.5,,,,,
2016-01-24,7.8,11.7,4.9,1.5,,,,,9.2,,,,,
2016-01-25,9.8,12.5,5.2,2.0,,,,,6.3,,,,,
2016-01-26,12.9,14.9,10.9,0.0,,,,,3.5,,,,,
2016-01-27,16.8,20.1,13.6,0.0,,,,,3.4,,,,,
2016-01-28,20.4,21.6,18.5,0.0,,,,,5.0,,,,,
2016-01-29,21.9,25.3,18.1,20.0,,,,,4.7,,,,,
2016-01-30,18.8,19.9,17.8,8.5,,,,,3.5,,,,,
2016-01-31,19.1,21.4,17.6,0.0,,,,,3.9,,,,,
2016-02-01,16.7,19.5,14.4,9.5,,,,,6.3,,,,,
2016-02-02,14.5,15.1,13.1,2.0,,,,,6.8,,,,,
2016-02-03,15.7,16.8,13.9,0.0,,,,,4.4,,,,,
2016-02-04,17.7,20.0,16.0,2.0,,,,,4.0,,,,,
2016-02-05,16.4,17.0,14.8,33.5,,,,,6.0,,,,,
2016-02-06,13.8,16.9,11.6,12.5,,,,,7.8,,,,,
2016-02-07,12.8,16.0,10.6,0.0,,,,,5.2,,,,,
2016-02-08,12.9,16.0,10.9,0.0,,,,,4.6,,,,,
2016-02-09,15.1,18.4,10.7,0.0,,,,,2.2,,,,,
2016-02-10,18.4,21.5,15.4,0.0,,,,,4.1,,,,,
2016-02-11,20.1,22.9,18.3,0.0,,,,,6.3,,,,,
2016-02-12,21.7,24.3,20.0,0.0,,,,,7.1,,,,,
2016-02-13,23.1,26.0,21.9,0.0,,,,,5.1,,,,,
2016-02-14,17.7,22.3,13.1,4.0,,,,,5.6,,,,,
2016-02-15,11.9,13.7,10.4,2.5,,,,,7.3,,,,,
2016-02-16,11.9,14.4,10.4,0.0,,,,,4.7,,,,,
