calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,20.6,23.2,18.9,0.0,,,,,8.0,,,,,
2016-01-02,23.1,26.3,17.4,0.0,,,,,5.5,,,,,
2016-01-03,22.7,26.0,20.9,7.5,,,,,5.3,,,,,
2016-01-04,21.5,23.3,20.6,38.5,,,,,3.9,,,,,
2016-01-05,23.3,26.4,20.5,30.5,,,,,5.0,,,,,
2016-01-06,21.3,25.1,19.3,20.0,,,,,8.9,,,,,
2016-01-07,21.1,23.0,19.9,0.0,,,,,11.1,,,,,
2016-01-08,18.8,21.1,16.9,23.0,,,,,11.2,,,,,
2016-01-09,19.2,21.0,17.1,0.0,,,,,9.8,,,,,
2016-01-10,21.3,24.5,17.5,0.0,,,,,6.2,,,,,
2016-01-11,21.9,24.4,20.4,23.0,,,,,7.8,,,,,
2016-01-12,20.3,22.5,18.8,1.0,,,,,12.2,,,,,
2016-01-13,17.3,19.1,16.4,8.0,,,,,10.8,,,,,
2016-01-14,17.0,18.4,15.9,5.5,,,,,11.1,,,,,
2016-01-15,18.5,20.2,17.1,23.5,,,,,5.1,,,,,
2016-01-16,19.9,23.4,17.2,7.0,,,,,6.6,,,,,
2016-01-17,21.3,24.1,18.6,93.0,,,,,10.5,,,,,
2016-01-18,18.2,20.0,17.2,1.0,,,,,11.7,,,,,
2016-01-19,17.0,19.0,16.2,0.0,,,,,10.7,,,,,
2016-01-20,17.3,19.1,16.1,0.0,,,,,9.0,,,,,
2016-01-21,20.7,23.1,17.6,21.5,,,,,9.7,,,,,
2016-01-22,,,,,,,,,,,,,,
2016-01-23,15.9,20.8,11.6,11.0,,,,,15.2,,,,,
2016-01-24,9.7,12.2,7.7,3.0,,,,,16.5,,,,,
2016-01-25,11.2,14.2,7.5,0.0,,,,,11.3,,,,,
2016-01-26,14.8,17.9,11.7,0.0,,,,,5.1,,,,,
2016-01-27,17.9,20.4,12.7,0.0,,,,,5.2,,,,,
2016-01-28,22.3,24.0,19.4,0.0,,,,,7.5,,,,,
2016-01-29,23.5,27.5,19.3,8.0,,,,,9.2,,,,,
2016-01-30,20.1,21.9,18.7,24.0,,,,,8.3,,,,,
2016-01-31,20.2,22.7,18.5,0.0,,,,,9.2,,,,,
2016-02-01,18.3,20.4,16.0,9.5,,,,,12.3,,,,,
2016-02-02,15.9,17.0,14.7,2.0,,,,,13.2,,,,,
2016-02-03,17.9,19.8,15.6,0.0,,,,,9.0,,,,,
2016-02-04,19.0,22.6,17.7,11.5,,,,,6.1,,,,,
2016-02-05,18.4,19.6,17.3,36.5,,,,,11.4,,,,,
2016-02-06,15.9,18.5,13.4,0.0,,,,,13.9,,,,,
2016-02-07,13.5,16.6,11.1,0.0,,,,,10.6,,,,,
2016-02-08,14.5,17.9,8.9,0.0,,,,,6.3,,,,,
2016-02-09,14.9,20.3,7.7,0.0,,,,,2.6,,,,,
2016-02-10,18.6,23.8,12.3,0.0,,,,,4.5,,,,,
2016-02-11,22.0,24.8,19.2,0.0,,,,,8.8,,,,,
2016-02-12,23.4,25.2,22.5,0.0,,,,,10.1,,,,,
2016-02-13,24.3,26.5,22.9,0.0,,,,,8.0,,,,,
2016-02-14,21.2,26.8,15.2,0.5,,,,,8.4,,,,,
2016-02-15,13.8,15.8,12.8,0.0,,,,,13.7,,,,,
2016-02-16,14.3,16.4,13.0,0.0,,,,,8.2,,,,,
2016-02-17,16.0,18.3,14.7,0.0,,,,,7.6,,,,,
2016-02-18,18.8,22.3,16.5,0.0,,,,,6.8,,,,,
2016-02-19,20.2,23.2,18.7,52.5,,,,,7.8,,,,,
2016-02-20,18.5,21.2,16.1,5.0,,,,,12.7,,,,,
2016-02-21,17.3,20.3,15.2,0.0,,,,,9.5,,,,,
2016-02-22,21.0,23.8,16.8,0.0,,,,,6.8,,,,,
2016-02-23,19.8,22.9,18.2,12.0,,,,,10.7,,,,,
2016-02-24,17.1,19.2,15.6,1.5,,,,,14.2,,,,,
2016-02-25,17.3,19.1,15.9,0.0,,,,,11.4,,,,,
2016-02-26,18.2,19.8,16.5,0.0,,,,,7.5,,,,,
2016-02-27,20.3,23.0,17.8,9.5,,,,,7.6,,,,,
2016-02-28,20.8,23.8,17.5,0.0,,,,,6.8,,,,,
2016-02-29,17.5,20.0,14.0,0.0,,,,,11.5,,,,,
2016-03-01,15.1,17.5,13.5,0.0,,,,,7.9,,,,,
2016-03-02,16.6,21.0,9.9,0.0,,,,,4.2,,,,,
2016-03-03,19.4,24.0,13.8,0.0,,,,,4.2,,,,,
2016-03-04,21.4,24.0,19.6,0.0,,,,,6.0,,,,,
2016-03-05,21.9,25.6,19.9,1.0,,,,,4.3,,,,,
2016-03-06,22.3,25.4,18.9,3.5,,,,,3.7,,,,,
2016-03-07,21.6,25.2,17.3,0.0,,,,,2.4,,,,,
2016-03-08,22.5,26.0,18.2,0.0,,,,,5.3,,,,,
