calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,19.6,21.4,18.0,0.0,,,,,5.7,,,,,
2016-01-02,21.2,23.2,19.4,0.0,,,,,3.0,,,,,
2016-01-03,22.7,24.9,21.4,0.0,,,,,3.2,,,,,
2016-01-04,21.4,22.9,20.1,4.0,,,,,1.2,,,,,
2016-01-05,22.8,25.8,20.4,0.0,,,,,2.7,,,,,
2016-01-06,22.1,26.4,18.0,33.5,,,,,4.8,,,,,
2016-01-07,20.4,22.3,18.9,0.0,,,,,5.8,,,,,
2016-01-08,19.8,22.8,17.6,5.5,,,,,3.8,,,,,
2016-01-09,18.1,19.9,15.9,21.5,,,,,4.3,,,,,
2016-01-10,20.5,22.8,18.6,0.0,,,,,3.4,,,,,
2016-01-11,21.9,23.7,20.4,16.5,,,,,5.0,,,,,
2016-01-12,20.4,24.0,18.5,3.0,,,,,7.4,,,,,
2016-01-13,18.4,20.1,17.0,0.0,,,,,3.6,,,,,
2016-01-14,16.3,17.7,15.0,9.5,,,,,6.0,,,,,
2016-01-15,18.2,21.3,15.1,4.0,,,,,1.8,,,,,
2016-01-16,18.2,21.5,15.7,3.5,,,,,2.1,,,,,
2016-01-17,21.1,23.6,17.4,9.0,,,,,4.6,,,,,
2016-01-18,19.7,22.2,17.6,14.5,,,,,6.6,,,,,
2016-01-19,17.2,19.0,16.0,0.0,,,,,5.4,,,,,
2016-01-20,16.9,19.1,15.3,0.0,,,,,4.8,,,,,
2016-01-21,17.9,20.8,13.0,5.0,,,,,3.5,,,,,
2016-01-22,19.2,21.8,17.6,7.0,,,,,7.9,,,,,
2016-01-23,18.5,21.2,15.4,21.0,,,,,6.6,,,,,
2016-01-24,13.1,16.3,9.5,2.5,,,,,8.3,,,,,
2016-01-25,11.9,15.7,9.1,4.5,,,,,5.5,,,,,
2016-01-26,15.2,18.2,11.6,0.0,,,,,3.7,,,,,
2016-01-27,17.5,20.1,14.5,0.0,,,,,3.0,,,,,
2016-01-28,20.0,22.2,17.6,0.0,,,,,5.4,,,,,
2016-01-29,22.5,25.5,20.3,0.0,,,,,4.4,,,,,
2016-01-30,20.9,23.7,18.6,5.0,,,,,3.4,,,,,
2016-01-31,20.1,22.3,19.0,3.0,,,,,4.3,,,,,
2016-02-01,20.6,22.7,17.8,4.0,,,,,3.4,,,,,
2016-02-02,17.1,19.6,15.8,4.0,,,,,7.9,,,,,
2016-02-03,17.2,18.7,16.4,0.0,,,,,5.2,,,,,
2016-02-04,17.3,19.4,16.1,0.0,,,,,3.7,,,,,
2016-02-05,17.4,19.7,15.7,8.5,,,,,4.2,,,,,
2016-02-06,16.6,18.5,14.3,4.5,,,,,6.9,,,,,
2016-02-07,15.3,18.6,13.0,1.0,,,,,4.4,,,,,
2016-02-08,15.0,17.0,12.6,0.0,,,,,5.7,,,,,
2016-02-09,16.5,19.8,12.2,0.0,,,,,3.1,,,,,
2016-02-10,17.9,20.5,16.1,0.0,,,,,4.5,,,,,
2016-02-11,18.7,20.5,16.8,0.0,,,,,5.3,,,,,
2016-02-12,20.9,23.1,19.1,0.0,,,,,6.4,,,,,
2016-02-13,22.6,24.9,20.9,2.5,,,,,3.6,,,,,
2016-02-14,21.8,24.4,19.4,3.5,,,,,4.6,,,,,
2016-02-15,16.2,19.5,13.9,1.5,,,,,6.4,,,,,
2016-02-16,15.0,17.2,13.9,0.0,,,,,4.9,,,,,
2016-02-17,15.7,18.5,13.3,0.0,,,,,3.9,,,,,
