calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,20.9,23.6,18.3,1.5,0.2,,,,6.5,,,,,
2016-01-02,23.5,26.1,21.7,6.5,4.4,,,,5.0,,,,,
2016-01-03,22.0,24.8,20.9,14.0,0.2,,,,3.1,,,,,
2016-01-04,22.5,23.6,21.2,24.5,0.3,,,,4.4,,,,,
2016-01-05,22.8,24.8,20.9,68.0,0.0,,,,3.2,,,,,
2016-01-06,21.9,25.0,20.0,21.5,1.1,,,,6.1,,,,,
2016-01-07,21.0,22.5,20.1,0.0,4.3,,,,7.5,,,,,
2016-01-08,18.9,21.7,16.9,52.0,0.0,,,,8.3,,,,,
2016-01-09,19.3,21.4,16.8,0.0,2.3,,,,6.9,,,,,
2016-01-10,21.9,24.7,19.4,3.5,2.1,,,,4.8,,,,,
2016-01-11,21.8,23.8,19.6,10.0,0.4,,,,5.2,,,,,
2016-01-12,20.2,22.3,18.5,0.0,1.5,,,,7.4,,,,,
2016-01-13,17.9,19.3,16.5,11.5,0.0,,,,8.4,,,,,
2016-01-14,17.6,19.0,16.3,2.0,0.0,,,,7.8,,,,,
2016-01-15,19.4,20.9,18.4,15.0,0.0,,,,4.6,,,,,
2016-01-16,19.5,21.7,17.4,60.0,0.0,,,,4.6,,,,,
2016-01-17,21.6,24.5,18.8,25.5,0.3,,,,7.7,,,,,
2016-01-18,18.1,20.2,16.8,2.0,5.3,,,,7.7,,,,,
2016-01-19,17.6,19.5,16.7,0.0,2.9,,,,7.3,,,,,
2016-01-20,18.4,21.0,16.3,1.0,0.5,,,,6.9,,,,,
2016-01-21,21.5,22.9,19.6,18.5,0.1,,,,6.9,,,,,
2016-01-22,20.2,22.5,18.4,1.0,1.5,,,,5.0,,,,,
2016-01-23,15.8,21.1,11.8,3.5,0.0,,,,9.6,,,,,
2016-01-24,9.9,12.1,8.0,0.0,0.0,,,,11.7,,,,,
2016-01-25,10.7,12.6,8.0,0.0,0.1,,,,8.0,,,,,
2016-01-26,15.4,18.6,12.0,0.0,9.6,,,,4.3,,,,,
2016-01-27,20.1,22.9,16.8,0.0,1.8,,,,5.2,,,,,
2016-01-28,22.8,25.3,21.0,0.0,0.8,,,,6.4,,,,,
2016-01-29,22.5,27.1,19.2,17.0,3.7,,,,6.4,,,,,
2016-01-30,19.6,21.2,18.1,19.0,0.1,,,,5.9,,,,,
2016-01-31,18.9,20.5,17.3,1.0,0.0,,,,6.8,,,,,
2016-02-01,18.3,20.4,16.0,6.5,0.0,,,,8.1,,,,,
2016-02-02,16.3,18.1,14.9,0.0,0.5,,,,8.3,,,,,
2016-02-03,18.3,20.1,16.5,0.0,0.9,,,,6.9,,,,,
2016-02-04,19.3,21.1,17.9,29.5,0.0,,,,4.9,,,,,
2016-02-05,18.3,19.8,16.5,20.5,0.6,,,,8.9,,,,,
2016-02-06,15.6,17.9,13.4,0.0,1.5,,,,9.4,,,,,
2016-02-07,14.0,16.9,12.7,0.0,5.0,,,,7.1,,,,,
2016-02-08,15.4,19.1,12.5,0.0,10.0,,,,3.2,,,,,
2016-02-09,17.5,21.1,13.3,0.0,10.2,,,,2.0,,,,,
