calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,20.1,22.4,18.4,0.0,,,,,5.9,,,,,
2016-01-02,22.4,25.9,18.9,0.0,,,,,4.1,,,,,
2016-01-03,21.8,25.3,20.0,20.5,,,,,2.8,,,,,
2016-01-04,21.1,24.6,19.8,79.0,,,,,3.0,,,,,
2016-01-05,23.1,25.7,20.1,6.0,,,,,3.8,,,,,
2016-01-06,20.8,24.1,18.6,19.0,,,,,4.8,,,,,
2016-01-07,20.3,22.5,18.2,2.0,,,,,6.3,,,,,
2016-01-08,18.2,20.7,16.3,36.0,,,,,6.8,,,,,
2016-01-09,18.4,21.4,16.4,3.0,,,,,5.6,,,,,
2016-01-10,20.8,24.0,17.0,0.0,,,,,4.7,,,,,
2016-01-11,21.6,24.1,19.9,15.0,,,,,4.9,,,,,
2016-01-12,19.5,22.1,18.1,2.5,,,,,6.2,,,,,
2016-01-13,16.8,18.6,15.7,11.5,,,,,6.3,,,,,
2016-01-14,16.2,17.2,15.5,8.0,,,,,5.7,,,,,
2016-01-15,18.2,19.9,16.4,23.5,,,,,3.4,,,,,
2016-01-16,19.2,22.8,16.5,11.0,,,,,4.7,,,,,
2016-01-17,20.7,23.6,18.3,108.0,,,,,6.6,,,,,
2016-01-18,17.7,20.2,16.1,0.5,,,,,6.2,,,,,
2016-01-19,16.4,19.2,14.9,0.0,,,,,5.6,,,,,
2016-01-20,16.8,18.7,15.5,0.0,,,,,5.8,,,,,
2016-01-21,20.1,22.4,17.2,25.0,,,,,7.0,,,,,
2016-01-22,19.2,21.7,17.5,12.0,,,,,4.8,,,,,
2016-01-23,15.3,19.7,10.9,15.5,,,,,7.8,,,,,
2016-01-24,9.0,11.3,7.0,2.5,,,,,8.9,,,,,
2016-01-25,10.4,14.1,7.2,0.0,,,,,5.8,,,,,
2016-01-26,13.5,17.8,8.1,0.0,,,,,2.8,,,,,
2016-01-27,17.6,20.5,13.4,0.0,,,,,3.7,,,,,
2016-01-28,21.8,24.0,19.2,0.0,,,,,5.8,,,,,
2016-01-29,22.9,26.5,18.7,7.5,,,,,6.8,,,,,
2016-01-30,19.8,22.5,18.5,23.5,,,,,4.6,,,,,
2016-01-31,19.8,22.8,18.0,0.0,,,,,5.6,,,,,
2016-02-01,18.0,20.1,15.8,13.5,,,,,6.8,,,,,
2016-02-02,15.4,16.4,14.2,4.5,,,,,6.9,,,,,
2016-02-03,17.2,20.4,14.7,1.0,,,,,4.9,,,,,
2016-02-04,18.8,21.6,17.7,16.5,,,,,4.7,,,,,
2016-02-05,18.0,19.6,17.0,60.0,,,,,5.9,,,,,
2016-02-06,15.4,18.1,13.0,0.0,,,,,7.0,,,,,
2016-02-07,13.3,17.0,11.6,0.0,,,,,5.7,,,,,
