calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,18.5,20.5,17.1,0.0,,,,,4.5,,,,,
2016-01-02,21.5,23.7,18.9,0.0,,,,,2.4,,,,,
2016-01-03,21.3,23.2,19.5,38.0,,,,,3.2,,,,,
2016-01-04,20.1,21.2,19.2,13.0,,,,,3.5,,,,,
2016-01-05,22.5,25.4,18.6,44.0,,,,,3.6,,,,,
2016-01-06,19.6,22.4,18.2,9.0,,,,,2.9,,,,,
2016-01-07,19.0,20.4,18.0,0.0,,,,,6.7,,,,,
2016-01-08,17.2,18.7,15.2,12.5,,,,,4.7,,,,,
2016-01-09,17.5,19.2,16.0,0.5,,,,,5.0,,,,,
2016-01-10,19.3,20.7,17.4,0.0,,,,,3.2,,,,,
2016-01-11,19.8,21.3,17.8,51.0,,,,,5.3,,,,,
2016-01-12,18.3,20.1,16.6,4.5,,,,,6.9,,,,,
2016-01-13,16.0,16.9,14.3,0.0,,,,,5.8,,,,,
2016-01-14,15.9,17.0,14.2,1.0,,,,,5.6,,,,,
2016-01-15,17.4,18.8,16.0,1.0,,,,,3.4,,,,,
2016-01-16,18.4,20.9,15.9,7.5,,,,,3.2,,,,,
2016-01-17,20.2,22.0,18.8,53.0,,,,,4.3,,,,,
2016-01-18,16.9,19.9,15.8,2.0,,,,,6.3,,,,,
2016-01-19,14.8,16.3,13.5,0.0,,,,,4.8,,,,,
2016-01-20,15.0,16.4,13.5,0.0,,,,,4.4,,,,,
2016-01-21,17.8,21.5,15.9,64.0,,,,,6.2,,,,,
2016-01-22,17.1,18.8,16.1,1.5,,,,,6.9,,,,,
2016-01-23,14.5,16.7,11.4,22.5,,,,,9.2,,,,,
2016-01-24,8.4,11.8,5.4,2.0,,,,,8.1,,,,,
2016-01-25,10.2,12.7,5.7,2.5,,,,,5.7,,,,,
2016-01-26,13.1,15.1,11.4,0.0,,,,,3.3,,,,,
2016-01-27,16.8,19.2,13.6,0.0,,,,,2.9,,,,,
2016-01-28,20.8,22.0,19.1,0.0,,,,,1.5,,,,,
2016-01-29,22.3,25.1,18.0,17.5,,,,,5.9,,,,,
2016-01-30,18.9,19.8,18.0,16.0,,,,,3.3,,,,,
2016-01-31,19.3,21.0,18.3,0.0,,,,,4.4,,,,,
2016-02-01,17.1,19.7,14.6,12.5,,,,,6.7,,,,,
2016-02-02,14.7,15.6,13.4,2.0,,,,,7.2,,,,,
2016-02-03,16.1,17.6,14.6,0.0,,,,,4.6,,,,,
2016-02-04,17.7,19.7,16.2,0.5,,,,,3.6,,,,,
