calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,19.9,21.4,18.4,0.0,,,,,6.6,,,,,
2016-01-02,21.6,23.5,19.8,0.0,,,,,4.8,,,,,
2016-01-03,23.0,25.4,21.4,0.0,,,,,3.5,,,,,
2016-01-04,21.7,23.8,19.9,14.5,,,,,1.8,,,,,
2016-01-05,23.1,25.7,20.4,0.0,,,,,3.5,,,,,
2016-01-06,22.2,26.4,18.2,36.0,,,,,4.3,,,,,
2016-01-07,20.6,22.2,19.5,0.0,,,,,6.0,,,,,
2016-01-08,20.1,23.3,17.9,1.5,,,,,4.2,,,,,
2016-01-09,18.2,20.0,16.0,15.5,,,,,5.1,,,,,
2016-01-10,20.8,23.2,18.4,0.0,,,,,4.3,,,,,
2016-01-11,22.0,23.1,20.8,40.5,,,,,6.3,,,,,
2016-01-12,20.6,23.5,19.0,2.0,,,,,7.6,,,,,
2016-01-13,18.7,20.4,17.5,0.0,,,,,4.2,,,,,
2016-01-14,16.6,17.9,15.2,7.0,,,,,6.2,,,,,
2016-01-15,18.6,21.9,15.9,1.5,,,,,2.2,,,,,
2016-01-16,18.4,21.7,15.8,3.5,,,,,2.7,,,,,
2016-01-17,21.7,24.0,19.0,8.5,,,,,6.8,,,,,
2016-01-18,19.9,22.6,18.0,5.5,,,,,7.6,,,,,
2016-01-19,17.5,19.4,16.3,0.0,,,,,6.3,,,,,
2016-01-20,17.1,19.2,16.0,0.0,,,,,5.6,,,,,
2016-01-21,17.9,21.2,11.4,5.0,,,,,4.9,,,,,
2016-01-22,19.3,22.1,17.5,6.0,,,,,9.8,,,,,
2016-01-23,18.8,21.5,15.5,9.0,,,,,7.4,,,,,
2016-01-24,13.5,16.4,10.1,1.0,,,,,9.5,,,,,
2016-01-25,12.3,15.0,9.5,3.0,,,,,6.4,,,,,
2016-01-26,15.4,18.3,11.4,0.5,,,,,4.0,,,,,
2016-01-27,17.7,20.4,14.5,0.0,,,,,3.6,,,,,
