calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,18.7,21.1,16.8,,8.7,,,,3.9,12.5,1027.3,58,1028.1,
2016-01-02,21.8,24.7,17.8,,7.4,,,,4.2,17.9,1022.7,69,1023.4,
2016-01-03,21.1,23.4,19.7,38.5,0.0,,,,2.6,22.8,1019.6,92,1020.3,
2016-01-04,20.2,21.2,19.1,17.0,0.0,,,,2.9,21.3,1019.3,90,1020.0,
2016-01-05,22.7,25.8,19.7,30.0,1.6,,,,3.7,24.4,1017.0,88,1017.7,
2016-01-06,19.7,23.2,18.1,16.5,1.4,,,,2.9,20.3,1017.3,89,1018.0,
2016-01-07,19.3,21.2,18.0,0.0,2.2,,,,5.5,14.2,1020.9,63,1021.6,
2016-01-08,17.3,18.7,14.9,12.0,0.0,,,,4.6,14.1,1020.1,72,1020.8,
2016-01-09,17.4,20.0,16.4,0.0,2.8,,,,4.0,12.3,1021.8,62,1022.6,
2016-01-10,18.3,21.3,13.6,0.0,1.8,,,,2.4,14.5,1020.4,70,1021.2,
2016-01-11,19.5,20.9,17.7,49.0,0.0,,,,4.9,19.2,1014.0,85,1014.7,
2016-01-12,18.3,20.1,15.9,1.5,2.0,,,,6.6,14.2,1018.1,67,1018.8,
2016-01-13,15.8,16.7,14.2,0.0,0.0,,,,5.2,12.1,1020.3,67,1021.1,
2016-01-14,15.8,16.7,14.5,0.0,0.0,,,,4.6,12.0,1019.4,67,1020.2,
2016-01-15,17.0,19.2,13.4,7.0,0.2,,,,2.5,13.9,1016.2,72,1016.9,
2016-01-16,18.4,22.0,15.6,9.5,5.2,,,,2.7,15.6,1016.3,74,1017.0,
2016-01-17,20.3,22.0,18.3,74.0,0.1,,,,6.2,18.6,1008.0,78,1008.7,
2016-01-18,17.0,19.0,15.6,0.5,4.6,,,,6.6,11.6,1015.0,60,1015.7,
2016-01-19,14.7,17.0,13.8,0.0,1.8,,,,5.0,9.5,1022.8,57,1023.6,
2016-01-20,14.7,16.0,13.3,0.0,0.0,,,,3.7,10.5,1024.5,62,1025.3,
2016-01-21,17.4,20.0,15.4,68.5,0.0,,,,5.8,17.4,1016.2,87,1017.0,
2016-01-22,16.8,17.9,15.6,10.0,0.0,,,,6.2,16.4,1016.9,86,1017.6,
2016-01-23,14.4,16.7,11.1,27.5,0.0,,,,8.8,13.5,1019.7,81,1020.5,
2016-01-24,7.7,11.2,5.2,1.5,0.0,,,,8.9,7.1,1027.9,67,1028.7,
2016-01-25,9.5,12.4,5.9,2.0,0.5,,,,5.8,7.3,1029.9,62,1030.7,
2016-01-26,12.7,15.6,9.0,,2.7,,,,2.6,8.3,1029.6,56,1030.4,
2016-01-27,17.3,20.0,13.5,0.0,2.2,,,,4.0,12.7,1028.1,64,1028.8,
2016-01-28,21.2,22.3,19.4,0.0,0.0,,,,6.7,17.9,1022.8,71,1023.5,
2016-01-29,22.5,26.0,18.2,31.5,2.6,,,,5.8,21.6,1017.7,80,1018.4,
2016-01-30,18.8,20.1,17.6,9.0,0.0,,,,3.4,18.7,1019.2,86,1019.9,
2016-01-31,19.4,22.0,17.6,0.0,4.8,,,,3.6,14.4,1022.1,64,1022.8,
2016-02-01,16.6,19.7,14.2,7.0,0.0,,,,6.7,16.1,1020.0,85,1020.8,
2016-02-02,14.4,15.5,13.3,2.5,0.0,,,,6.4,12.7,1021.7,77,1022.5,
2016-02-03,15.5,16.6,13.1,0.5,0.0,,,,3.5,12.4,1022.9,71,1023.7,
2016-02-04,17.5,20.0,15.7,2.0,1.2,,,,3.2,13.9,1021.2,70,1022.0,
2016-02-05,16.4,17.4,15.5,37.5,0.0,,,,5.1,16.3,1016.9,87,1017.7,
2016-02-06,14.2,16.9,11.7,4.5,0.0,,,,7.5,11.3,1018.6,69,1019.4,
2016-02-07,12.4,15.6,9.7,1.5,2.6,,,,5.3,8.2,1022.1,57,1022.9,
2016-02-08,12.4,16.4,8.0,,4.5,,,,4.4,7.0,1023.4,50,1024.2,
2016-02-09,13.3,19.5,7.0,,10.4,,,,1.7,9.7,1023.2,66,1023.9,
2016-02-10,18.5,22.2,13.6,0.0,7.2,,,,4.7,12.5,1022.5,58,1023.2,
2016-02-11,20.3,22.1,18.7,0.0,3.6,,,,7.8,15.5,1021.0,65,1021.7,
