calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,,,,,,,,
2016-01-02,,,,0.0,,,,,,,,,,
2016-01-03,,,,25.0,,,,,,,,,,
2016-01-04,,,,7.0,,,,,,,,,,
2016-01-05,,,,34.0,,,,,,,,,,
2016-01-06,,,,15.5,,,,,,,,,,
2016-01-07,,,,0.0,,,,,,,,,,
2016-01-08,,,,8.0,,,,,,,,,,
2016-01-09,,,,1.0,,,,,,,,,,
2016-01-10,,,,0.0,,,,,,,,,,
2016-01-11,,,,27.0,,,,,,,,,,
2016-01-12,,,,4.0,,,,,,,,,,
2016-01-13,,,,1.0,,,,,,,,,,
2016-01-14,,,,2.0,,,,,,,,,,
2016-01-15,,,,1.5,,,,,,,,,,
2016-01-16,,,,3.5,,,,,,,,,,
2016-01-17,,,,33.5,,,,,,,,,,
2016-01-18,,,,0.5,,,,,,,,,,
2016-01-19,,,,0.0,,,,,,,,,,
2016-01-20,,,,0.0,,,,,,,,,,
2016-01-21,,,,27.0,,,,,,,,,,
2016-01-22,,,,4.0,,,,,,,,,,
2016-01-23,,,,30.5,,,,,,,,,,
2016-01-24,,,,1.0,,,,,,,,,,
2016-01-25,,,,3.5,,,,,,,,,,
2016-01-26,,,,0.0,,,,,,,,,,
2016-01-27,,,,0.0,,,,,,,,,,
2016-01-28,,,,0.0,,,,,,,,,,
2016-01-29,,,,18.0,,,,,,,,,,
2016-01-30,,,,15.5,,,,,,,,,,
2016-01-31,,,,0.0,,,,,,,,,,
2016-02-01,,,,24.5,,,,,,,,,,
2016-02-02,,,,3.5,,,,,,,,,,
2016-02-03,,,,0.0,,,,,,,,,,
2016-02-04,,,,0.5,,,,,,,,,,
2016-02-05,,,,31.0,,,,,,,,,,
2016-02-06,,,,4.0,,,,,,,,,,
2016-02-07,,,,2.0,,,,,,,,,,
2016-02-08,,,,0.0,,,,,,,,,,
2016-02-09,,,,0.0,,,,,,,,,,
2016-02-10,,,,0.0,,,,,,,,,,
2016-02-11,,,,0.0,,,,,,,,,,
2016-02-12,,,,0.0,,,,,,,,,,
2016-02-13,,,,0.0,,,,,,,,,,
2016-02-14,,,,3.5,,,,,,,,,,
2016-02-15,,,,2.0,,,,,,,,,,
2016-02-16,,,,0.0,,,,,,,,,,
2016-02-17,,,,0.0,,,,,,,,,,
2016-02-18,,,,0.0,,,,,,,,,,
2016-02-19,,,,0.0,,,,,,,,,,
2016-02-20,,,,41.5,,,,,,,,,,
2016-02-21,,,,0.0,,,,,,,,,,
2016-02-22,,,,0.0,,,,,,,,,,
2016-02-23,,,,16.0,,,,,,,,,,
2016-02-24,,,,0.5,,,,,,,,,,
2016-02-25,,,,0.0,,,,,,,,,,
2016-02-26,,,,0.0,,,,,,,,,,
2016-02-27,,,,3.5,,,,,,,,,,
2016-02-28,,,,2.0,,,,,,,,,,
2016-02-29,,,,0.0,,,,,,,,,,
2016-03-01,,,,0.0,,,,,,,,,,
2016-03-02,,,,0.0,,,,,,,,,,
2016-03-03,,,,0.0,,,,,,,,,,
2016-03-04,,,,1.5,,,,,,,,,,
2016-03-05,,,,11.0,,,,,,,,,,
2016-03-06,,,,35.5,,,,,,,,,,
2016-03-07,,,,0.0,,,,,,,,,,
2016-03-08,,,,0.0,,,,,,,,,,
2016-03-09,,,,6.0,,,,,,,,,,
2016-03-10,,,,20.0,,,,,,,,,,
2016-03-11,,,,7.5,,,,,,,,,,
2016-03-12,,,,0.0,,,,,,,,,,
2016-03-13,,,,16.0,,,,,,,,,,
2016-03-14,,,,70.5,,,,,,,,,,
2016-03-15,,,,0.0,,,,,,,,,,
2016-03-16,,,,0.5,,,,,,,,,,
2016-03-17,,,,14.5,,,,,,,,,,
2016-03-18,,,,0.5,,,,,,,,,,
2016-03-19,,,,1.5,,,,,,,,,,
2016-03-20,,,,0.0,,,,,,,,,,
2016-03-21,,,,0.0,,,,,,,,,,
2016-03-22,,,,0.0,,,,,,,,,,
2016-03-23,,,,9.5,,,,,,,,,,
2016-03-24,,,,6.5,,,,,,,,,,
2016-03-25,,,,1.5,,,,,,,,,,
2016-03-26,,,,0.0,,,,,,,,,,
2016-03-27,,,,0.0,,,,,,,,,,
2016-03-28,,,,0.0,,,,,,,,,,
2016-03-29,,,,0.0,,,,,,,,,,
2016-03-30,,,,0.0,,,,,,,,,,
2016-03-31,,,,2.5,,,,,,,,,,
2016-04-01,,,,0.0,,,,,,,,,,
2016-04-02,,,,0.0,,,,,,,,,,
2016-04-03,,,,3.0,,,,,,,,,,
2016-04-04,,,,46.0,,,,,,,,,,
2016-04-05,,,,35.0,,,,,,,,,,
2016-04-06,,,,0.5,,,,,,,,,,
2016-04-07,,,,0.0,,,,,,,,,,
2016-04-08,,,,45.0,,,,,,,,,,
2016-04-09,,,,22.0,,,,,,,,,,
2016-04-10,,,,23.5,,,,,,,,,,
2016-04-11,,,,27.5,,,,,,,,,,
2016-04-12,,,,3.5,,,,,,,,,,
2016-04-13,,,,13.5,,,,,,,,,,
2016-04-14,,,,2.0,,,,,,,,,,
2016-04-15,,,,0.0,,,,,,,,,,
2016-04-16,,,,0.5,,,,,,,,,,
2016-04-17,,,,35.5,,,,,,,,,,
2016-04-18,,,,10.5,,,,,,,,,,
2016-04-19,,,,0.0,,,,,,,,,,
2016-04-20,,,,0.0,,,,,,,,,,
2016-04-21,,,,0.0,,,,,,,,,,
2016-04-22,,,,0.5,,,,,,,,,,
2016-04-23,,,,0.0,,,,,,,,,,
2016-04-24,,,,51.0,,,,,,,,,,
2016-04-25,,,,0.0,,,,,,,,,,
2016-04-26,,,,0.0,,,,,,,,,,
2016-04-27,,,,34.0,,,,,,,,,,
2016-04-28,,,,4.0,,,,,,,,,,
2016-04-29,,,,0.0,,,,,,,,,,
2016-04-30,,,,0.0,,,,,,,,,,
2016-05-01,,,,0.0,,,,,,,,,,
2016-05-02,,,,0.0,,,,,,,,,,
2016-05-03,,,,36.5,,,,,,,,,,
2016-05-04,,,,0.0,,,,,,,,,,
2016-05-05,,,,0.0,,,,,,,,,,
2016-05-06,,,,0.0,,,,,,,,,,
2016-05-07,,,,1.0,,,,,,,,,,
2016-05-08,,,,0.0,,,,,,,,,,
2016-05-09,,,,0.5,,,,,,,,,,
2016-05-10,,,,20.0,,,,,,,,,,
2016-05-11,,,,20.0,,,,,,,,,,
2016-05-12,,,,0.0,,,,,,,,,,
2016-05-13,,,,0.0,,,,,,,,,,
2016-05-14,,,,0.0,,,,,,,,,,
2016-05-15,,,,0.0,,,,,,,,,,
2016-05-16,,,,50.5,,,,,,,,,,
2016-05-17,,,,14.5,,,,,,,,,,
2016-05-18,,,,1.5,,,,,,,,,,
2016-05-19,,,,1.0,,,,,,,,,,
2016-05-20,,,,2.0,,,,,,,,,,
2016-05-21,,,,1.5,,,,,,,,,,
2016-05-22,,,,3.5,,,,,,,,,,
2016-05-23,,,,0.5,,,,,,,,,,
2016-05-24,,,,0.0,,,,,,,,,,
2016-05-25,,,,9.0,,,,,,,,,,
2016-05-26,,,,0.0,,,,,,,,,,
2016-05-27,,,,0.0,,,,,,,,,,
2016-05-28,,,,0.0,,,,,,,,,,
2016-05-29,,,,0.0,,,,,,,,,,
2016-05-30,,,,2.5,,,,,,,,,,
2016-05-31,,,,0.0,,,,,,,,,,
2016-06-01,,,,6.5,,,,,,,,,,
2016-06-02,,,,0.0,,,,,,,,,,
2016-06-03,,,,7.0,,,,,,,,,,
2016-06-04,,,,0.0,,,,,,,,,,
2016-06-05,,,,0.0,,,,,,,,,,
2016-06-06,,,,7.5,,,,,,,,,,
2016-06-07,,,,15.0,,,,,,,,,,
2016-06-08,,,,0.0,,,,,,,,,,
2016-06-09,,,,0.0,,,,,,,,,,
2016-06-10,,,,0.0,,,,,,,,,,
2016-06-11,,,,37.0,,,,,,,,,,
2016-06-12,,,,85.0,,,,,,,,,,
2016-06-13,,,,4.0,,,,,,,,,,
2016-06-14,,,,18.5,,,,,,,,,,
2016-06-15,,,,6.0,,,,,,,,,,
2016-06-16,,,,0.0,,,,,,,,,,
2016-06-17,,,,11.5,,,,,,,,,,
2016-06-18,,,,0.0,,,,,,,,,,
2016-06-19,,,,2.0,,,,,,,,,,
2016-06-20,,,,0.0,,,,,,,,,,
2016-06-21,,,,0.0,,,,,,,,,,
2016-06-22,,,,0.0,,,,,,,,,,
2016-06-23,,,,0.0,,,,,,,,,,
2016-06-24,,,,0.0,,,,,,,,,,
2016-06-25,,,,3.0,,,,,,,,,,
2016-06-26,,,,28.0,,,,,,,,,,
