calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,17.7,19.7,15.8,0.0,8.8,,,,5.9,,,,,
2016-01-02,20.7,23.1,18.3,0.0,8.2,,,,4.5,,,,,
2016-01-03,20.7,22.9,19.0,21.5,0.0,,,,3.7,,,,,
2016-01-04,19.1,20.0,17.9,16.5,0.0,,,,4.5,,,,,
2016-01-05,21.6,24.8,18.7,26.5,3.6,,,,4.7,,,,,
2016-01-06,19.1,21.5,17.6,7.0,0.2,,,,3.7,,,,,
2016-01-07,18.0,19.8,16.8,0.5,3.5,,,,7.1,,,,,
2016-01-08,16.1,18.8,13.6,9.5,1.6,,,,5.2,,,,,
2016-01-09,16.4,18.6,13.8,0.5,2.7,,,,5.2,,,,,
2016-01-10,18.1,19.6,15.7,0.0,3.4,,,,4.0,,,,,
2016-01-11,19.2,20.9,17.1,62.5,0.0,,,,6.5,,,,,
2016-01-12,17.3,19.1,15.5,0.5,1.3,,,,7.4,,,,,
2016-01-13,15.1,15.8,13.9,0.0,0.0,,,,6.0,,,,,
2016-01-14,14.8,15.7,13.5,1.0,0.0,,,,6.0,,,,,
2016-01-15,16.5,18.4,14.0,0.0,2.5,,,,4.0,,,,,
2016-01-16,17.5,19.9,14.9,4.0,8.2,,,,3.6,,,,,
2016-01-17,19.3,20.6,18.1,20.0,0.9,,,,7.2,,,,,
2016-01-18,16.8,19.7,15.2,1.0,5.7,,,,8.7,,,,,
2016-01-19,14.3,15.7,13.3,0.0,3.1,,,,6.7,,,,,
2016-01-20,14.3,16.2,12.6,0.0,1.8,,,,4.9,,,,,
2016-01-21,16.5,18.8,15.5,51.5,0.0,,,,7.4,,,,,
2016-01-22,16.0,16.9,14.8,1.0,0.1,,,,8.2,,,,,
2016-01-23,14.1,16.4,11.5,18.5,0.0,,,,9.1,,,,,
2016-01-24,8.3,12.2,5.4,1.5,0.0,,,,12.7,,,,,
2016-01-25,9.7,12.1,4.9,2.0,4.1,,,,7.3,,,,,
2016-01-26,12.2,14.7,10.3,0.0,3.1,,,,4.0,,,,,
2016-01-27,15.9,18.3,12.3,0.0,4.7,,,,4.6,,,,,
2016-01-28,19.8,21.1,18.1,0.0,0.0,,,,6.3,,,,,
2016-01-29,21.1,23.8,17.1,9.0,1.4,,,,6.7,,,,,
2016-01-30,18.0,19.1,17.1,16.5,0.0,,,,3.3,,,,,
2016-01-31,18.6,20.7,16.8,0.0,8.2,,,,4.5,,,,,
2016-02-01,16.8,19.7,14.3,11.5,0.0,,,,6.3,,,,,
2016-02-02,14.1,14.7,13.4,0.5,0.0,,,,7.3,,,,,
2016-02-03,15.1,16.8,14.0,0.0,0.4,,,,5.3,,,,,
2016-02-04,17.1,19.0,15.0,0.0,7.3,,,,4.8,,,,,
2016-02-05,16.1,16.9,14.8,26.0,0.0,,,,5.6,,,,,
2016-02-06,14.1,16.8,11.9,1.0,0.4,,,,8.5,,,,,
2016-02-07,12.7,15.3,10.4,0.5,6.2,,,,6.8,,,,,
2016-02-08,13.0,14.9,11.7,0.0,2.3,,,,6.8,,,,,
2016-02-09,15.3,18.8,11.4,0.0,9.8,,,,2.9,,,,,
2016-02-10,18.0,20.9,15.0,0.0,6.6,,,,5.4,,,,,
2016-02-11,19.3,21.5,17.5,0.0,7.0,,,,8.2,,,,,
2016-02-12,21.1,22.6,19.7,0.0,0.5,,,,9.9,,,,,
2016-02-13,22.4,24.6,20.8,0.0,6.3,,,,7.9,,,,,
2016-02-14,18.7,22.1,13.7,0.5,1.0,,,,5.3,,,,,
2016-02-15,12.4,14.0,11.2,0.0,0.0,,,,9.1,,,,,
2016-02-16,12.0,13.4,10.9,0.0,1.2,,,,6.2,,,,,
2016-02-17,13.3,16.2,11.6,0.0,7.9,,,,4.7,,,,,
2016-02-18,15.8,18.9,12.1,0.0,5.9,,,,3.4,,,,,
2016-02-19,19.3,21.1,17.2,2.5,0.0,,,,7.4,,,,,
2016-02-20,18.1,20.9,14.7,18.0,2.2,,,,8.6,,,,,
2016-02-21,15.0,17.5,13.6,0.0,6.3,,,,6.4,,,,,
