calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,20.4,22.3,18.7,0.0,4.8,10.93,,,5.6,16.0,1021.7,67,1026.6,7.8
2016-01-02,22.5,25.9,19.6,0.0,3.0,9.47,,,3.5,20.5,1017.8,75,1022.7,7.5
2016-01-03,21.9,24.6,20.4,25.5,0.0,2.64,,,2.8,23.5,1015.4,90,1020.2,10.0
2016-01-04,21.2,23.9,20.2,78.0,0.1,3.27,,,2.9,23.7,1014.2,94,1019.1,10.0
2016-01-05,23.1,25.4,20.3,11.0,2.0,5.98,,,3.4,26.1,1012.5,92,1017.3,8.3
2016-01-06,20.9,23.9,19.0,23.0,1.1,6.24,,,5.0,21.6,1012.8,87,1017.7,9.8
2016-01-07,20.3,22.0,18.6,2.0,2.1,7.83,,,6.4,17.4,1015.9,73,1020.8,8.3
2016-01-08,18.3,20.7,16.4,42.5,0.0,1.92,,,6.6,17.2,1014.3,83,1019.2,10.0
2016-01-09,18.5,20.5,16.5,2.0,0.9,8.29,,,5.7,15.4,1016.7,72,1021.6,9.8
2016-01-10,21.1,23.6,18.3,0.0,3.4,10.32,,,4.2,17.5,1014.7,70,1019.6,6.8
2016-01-11,21.6,23.9,20.1,25.0,0.1,5.08,,,4.6,22.3,1008.7,87,1013.5,9.8
2016-01-12,19.8,21.3,18.3,2.5,0.8,7.17,,,6.6,16.7,1013.4,72,1018.3,10.0
2016-01-13,16.9,18.7,15.8,10.0,0.0,1.78,,,6.4,16.0,1014.7,83,1019.7,10.0
2016-01-14,16.3,17.5,15.4,7.5,0.0,1.42,,,6.0,16.1,1014.3,87,1019.2,10.0
2016-01-15,18.4,19.9,17.1,23.5,0.0,2.55,,,3.2,18.0,1010.7,85,1015.6,8.0
2016-01-16,19.4,22.5,16.7,10.0,4.4,13.02,,,4.6,17.5,1011.1,78,1016.0,6.3
2016-01-17,20.8,23.5,18.8,130.5,0.2,2.17,,,6.1,20.4,1004.1,83,1008.9,10.0
2016-01-18,18.0,19.7,16.8,1.5,5.0,13.47,,,6.8,13.2,1011.3,64,1016.2,8.3
2016-01-19,16.5,18.0,15.6,0.0,2.1,8.15,,,5.9,12.0,1017.8,64,1022.8,7.8
2016-01-20,16.9,18.9,15.7,0.0,0.1,2.70,,,5.7,13.7,1018.8,71,1023.8,10.0
2016-01-21,20.2,22.3,17.3,28.5,0.0,2.89,,,6.3,20.7,1010.8,87,1015.7,10.0
2016-01-22,19.4,21.4,17.9,3.0,1.6,8.00,,,5.0,19.2,1011.7,85,1016.6,10.0
2016-01-23,15.7,19.9,11.5,17.0,0.0,2.41,,,8.2,15.8,1015.2,86,1020.2,10.0
2016-01-24,9.6,12.1,7.4,3.5,0.0,1.57,,,9.9,8.2,1024.4,69,1029.5,10.0
2016-01-25,10.7,12.9,7.6,0.0,1.0,7.01,,,6.4,7.9,1026.0,62,1031.1,9.5
2016-01-26,14.3,17.2,10.7,,6.5,14.32,,,3.1,9.1,1024.6,56,1029.6,6.0
2016-01-27,17.9,20.0,14.6,0.0,0.0,4.13,,,3.5,14.1,1022.5,68,1027.5,10.0
2016-01-28,21.7,24.1,19.4,0.0,0.1,7.50,,,4.5,18.9,1017.6,72,1022.5,9.0
2016-01-29,22.9,26.5,18.9,7.5,7.8,16.84,,,5.6,23.1,1013.0,83,1017.8,7.8
2016-01-30,19.9,21.8,18.8,25.5,0.0,4.94,,,4.8,20.6,1014.5,89,1019.4,10.0
