calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,17.2,20.6,14.2,,7.5,,,,3.4,11.8,1027.3,61,1028.2,
2016-01-02,19.3,23.3,13.7,,8.3,,,,3.0,16.6,1023.1,74,1023.9,
2016-01-03,21.1,23.5,19.4,13.5,0.0,,,,3.4,22.1,1019.6,88,1020.4,
2016-01-04,19.1,20.4,18.2,10.0,0.0,,,,2.3,20.5,1019.4,93,1020.2,
2016-01-05,21.6,25.0,18.2,19.0,3.5,,,,2.8,23.0,1017.2,89,1018.0,
2016-01-06,19.1,22.3,17.7,13.5,0.4,,,,2.0,20.2,1017.0,91,1017.8,
2016-01-07,18.4,20.6,17.0,0.0,1.9,,,,5.3,14.0,1020.4,66,1021.2,
2016-01-08,16.0,18.4,14.0,7.5,0.1,,,,2.9,14.2,1019.9,78,1020.8,
2016-01-09,16.5,19.1,14.2,0.5,2.9,,,,3.4,12.7,1021.5,68,1022.4,
2016-01-10,16.7,20.0,13.4,,0.4,,,,2.2,13.7,1020.6,73,1021.5,
2016-01-11,18.1,20.2,16.6,26.0,0.0,,,,4.3,18.5,1014.1,89,1014.9,
2016-01-12,17.6,19.6,15.7,1.5,0.5,,,,5.9,14.4,1017.2,71,1018.0,
2016-01-13,15.3,16.4,14.1,1.0,0.1,,,,3.5,12.1,1020.0,70,1020.9,
2016-01-14,15.1,16.8,13.1,0.0,0.0,,,,3.7,11.8,1019.1,69,1020.0,
2016-01-15,15.5,19.5,11.5,1.0,1.0,,,,2.2,12.9,1016.3,74,1017.1,
2016-01-16,16.8,21.3,13.8,4.0,7.8,,,,2.3,14.4,1016.4,77,1017.2,
2016-01-17,18.5,20.9,13.4,32.5,0.1,,,,4.2,17.5,1008.1,82,1008.9,
2016-01-18,17.2,19.8,15.2,0.0,4.4,,,,6.6,11.9,1013.8,60,1014.6,
2016-01-19,14.6,16.2,13.2,0.0,2.4,,,,4.8,9.2,1022.1,55,1023.0,
2016-01-20,14.7,16.9,12.6,0.0,1.8,,,,3.3,9.7,1024.2,58,1025.1,
2016-01-21,16.0,18.2,14.3,44.5,0.0,,,,4.1,15.6,1016.8,85,1017.7,
2016-01-22,16.0,17.6,14.8,4.0,0.3,,,,6.5,15.4,1016.7,85,1017.5,
2016-01-23,14.2,15.6,11.6,20.5,0.0,,,,8.1,13.9,1018.3,85,1019.2,
2016-01-24,8.1,11.8,5.5,2.5,0.0,,,,8.4,7.3,1026.1,68,1027.0,
2016-01-25,10.0,13.2,5.7,1.5,2.9,,,,5.2,7.7,1028.6,63,1029.5,
2016-01-26,11.2,14.8,7.7,0.0,0.8,,,,2.1,8.2,1029.3,62,1030.2,
2016-01-27,14.6,19.5,9.3,0.0,4.7,,,,2.1,11.8,1028.5,71,1029.3,
