calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,18.1,21.2,15.2,,8.6,13.52,,,4.4,11.8,1021.9,57,1027.9,4.0
2016-01-02,20.2,24.1,14.8,,8.3,14.27,,,3.9,16.1,1017.8,68,1023.7,5.8
2016-01-03,21.2,23.7,19.5,23.0,0.0,2.90,,,3.0,21.9,1014.5,87,1020.4,10.0
2016-01-04,19.8,21.0,19.1,13.0,0.0,3.19,,,3.3,20.9,1014.2,91,1020.1,10.0
2016-01-05,22.5,26.6,19.0,27.5,4.0,10.15,,,4.6,23.3,1012.1,86,1018.0,9.0
2016-01-06,19.5,22.4,18.3,9.0,0.3,5.83,,,3.6,19.5,1011.9,86,1017.8,10.0
2016-01-07,19.1,20.8,17.3,0.0,5.5,11.37,,,7.0,14.0,1015.2,63,1021.1,7.0
2016-01-08,16.6,20.1,13.8,10.0,2.6,5.36,,,4.3,13.6,1014.8,73,1020.8,6.3
2016-01-09,17.1,19.5,14.0,0.0,4.0,12.19,,,4.6,12.3,1016.3,64,1022.3,8.8
2016-01-10,18.3,21.2,14.5,,4.6,11.42,,,3.3,13.5,1015.3,64,1021.2,10.0
2016-01-11,19.4,21.4,17.6,49.0,0.0,1.91,,,4.6,18.9,1008.6,84,1014.5,10.0
2016-01-12,18.2,20.1,16.7,6.5,0.7,5.28,,,7.7,14.6,1012.0,69,1018.0,10.0
2016-01-13,15.9,16.8,14.6,0.5,0.0,1.27,,,4.9,11.7,1014.7,65,1020.7,10.0
2016-01-14,15.1,16.5,13.6,2.0,0.0,3.59,,,4.6,12.1,1013.8,70,1019.8,10.0
2016-01-15,16.6,19.2,13.5,0.5,1.8,7.29,,,3.4,12.1,1010.9,64,1016.8,10.0
2016-01-16,17.5,21.8,15.0,3.5,6.9,13.45,,,2.8,14.8,1011.2,75,1017.2,5.5
2016-01-17,19.5,21.9,16.8,28.5,0.2,2.12,,,6.4,17.6,1003.0,77,1008.8,7.5
2016-01-18,17.6,20.2,16.3,1.0,4.2,11.83,,,9.3,11.4,1008.8,56,1014.7,6.0
2016-01-19,15.3,16.9,14.3,0.0,1.9,7.99,,,7.2,9.3,1016.9,54,1022.9,8.8
2016-01-20,15.0,16.4,13.5,0.0,1.4,6.41,,,4.4,9.2,1019.0,54,1025.1,8.8
2016-01-21,17.3,21.3,15.3,43.0,0.0,2.41,,,5.9,15.8,1010.9,80,1016.9,10.0
2016-01-22,16.8,18.4,15.6,0.0,1.0,7.92,,,6.1,15.1,1011.3,79,1017.2,10.0
2016-01-23,14.7,16.0,12.0,19.5,0.0,2.41,,,10.1,13.9,1013.2,82,1019.3,10.0
2016-01-24,9.2,12.5,6.1,1.5,0.0,1.34,,,12.5,7.4,1021.0,64,1027.2,10.0
2016-01-25,10.4,13.1,6.3,4.5,3.2,9.71,,0,7.9,7.6,1023.4,60,1029.5,8.8
2016-01-26,12.6,15.7,10.2,,3.4,10.67,,,3.6,7.5,1024.0,51,1030.1,7.0
2016-01-27,15.7,19.5,10.3,0.0,3.2,11.62,,,3.9,11.3,1023.0,63,1029.1,9.0
2016-01-28,20.2,22.5,16.9,0.0,0.0,5.68,,,4.3,16.8,1018.2,71,1024.1,10.0
2016-01-29,22.2,25.5,18.2,10.0,2.7,11.51,,,6.1,21.3,1012.6,80,1018.5,10.0
2016-01-30,18.6,19.8,17.5,19.5,0.0,3.50,,,3.3,18.8,1013.6,88,1019.5,10.0
2016-01-31,19.3,21.3,17.1,0.5,7.3,15.38,,,4.2,14.5,1016.6,66,1022.5,5.5
2016-02-01,17.3,19.4,14.8,13.5,0.0,3.42,,,5.9,17.0,1014.0,86,1019.9,10.0
2016-02-02,14.6,16.0,13.8,2.5,0.0,2.24,,,6.4,12.9,1015.7,77,1021.7,10.0
2016-02-03,16.1,18.0,14.7,0.0,0.9,7.60,,,4.2,11.5,1017.2,63,1023.2,9.5
2016-02-04,17.8,20.4,15.1,0.0,4.8,13.61,,,3.9,12.3,1015.9,60,1021.8,9.8
2016-02-05,16.8,18.7,15.4,26.0,0.0,3.89,,,4.8,16.6,1011.2,87,1017.1,10.0
2016-02-06,14.8,16.7,12.6,3.5,0.3,4.17,,,7.6,11.8,1012.1,69,1018.1,10.0
2016-02-07,13.7,16.3,11.2,0.0,5.1,14.69,,,6.8,7.7,1015.8,50,1021.8,7.0
2016-02-08,13.6,15.9,11.7,,2.4,10.08,,,6.2,6.6,1017.6,43,1023.7,6.0
2016-02-09,14.8,18.9,9.8,,10.5,19.04,,,2.7,9.2,1017.8,56,1023.8,1.3
2016-02-10,17.6,21.7,11.8,0.0,4.4,11.88,,,4.2,11.1,1017.4,56,1023.4,2.8
2016-02-11,19.7,22.6,17.0,0.5,7.4,16.54,,,6.8,13.6,1016.3,59,1022.3,4.5
2016-02-12,21.9,23.8,19.8,0.0,1.5,8.75,,,8.7,18.8,1012.8,72,1018.6,10.0
2016-02-13,23.2,25.9,21.7,,4.6,14.23,,,7.3,23.5,1009.7,82,1015.5,5.0
2016-02-14,19.5,22.8,14.4,2.5,0.3,7.48,,,6.4,19.3,1009.4,84,1015.2,8.3
2016-02-15,13.2,14.9,12.0,0.0,0.0,2.17,,,9.3,10.0,1015.2,65,1021.3,10.0
2016-02-16,12.8,13.7,11.7,,0.1,6.22,,,6.0,7.4,1018.5,50,1024.6,9.3
2016-02-17,14.0,16.3,12.7,,7.1,16.20,,,4.7,7.7,1019.1,48,1025.1,5.0
2016-02-18,16.2,20.1,12.5,0.0,4.3,15.33,,,3.2,9.7,1018.5,52,1024.5,6.8
2016-02-19,19.5,22.2,16.9,14.0,0.1,7.41,,,6.2,16.2,1015.5,71,1021.4,8.8
2016-02-20,18.8,21.8,15.5,43.5,1.4,9.26,,,8.2,16.5,1012.3,75,1018.2,9.0
2016-02-21,15.9,18.5,14.5,,6.3,16.95,,,6.3,9.4,1020.3,52,1026.3,6.0
2016-02-22,18.0,20.1,13.2,,2.1,10.89,,,5.2,13.8,1018.1,66,1024.0,7.8
2016-02-23,19.9,21.6,17.5,14.0,0.2,7.73,,,5.9,19.0,1014.2,82,1020.1,9.5
2016-02-24,16.1,18.3,14.5,0.5,0.0,1.63,,,7.2,12.4,1020.4,67,1026.4,10.0
2016-02-25,14.9,16.8,13.9,,1.9,10.74,,,5.7,9.3,1024.4,55,1030.5,7.3
2016-02-26,15.5,18.9,13.4,,1.6,11.10,,,3.9,9.8,1022.6,56,1028.6,7.0
2016-02-27,17.6,19.9,15.3,32.0,0.0,5.28,,,5.0,14.6,1016.7,73,1022.7,10.0
2016-02-28,19.2,22.4,16.9,3.0,9.7,20.76,,,4.0,17.3,1015.1,78,1021.0,5.5
2016-02-29,16.5,19.1,13.4,2.0,6.1,16.75,,,7.6,11.4,1018.6,60,1024.6,5.8
2016-03-01,14.2,16.3,12.9,0.0,1.4,11.74,,,5.4,8.0,1020.3,50,1026.3,8.0
2016-03-02,15.6,19.4,11.4,,10.4,21.69,,,3.0,9.4,1020.0,54,1026.0,5.3
2016-03-03,17.3,21.5,13.1,,8.3,17.92,,,3.5,12.5,1018.7,64,1024.7,1.5
2016-03-04,19.9,23.6,15.7,0.0,3.7,13.36,,,5.6,17.1,1016.8,73,1022.7,8.5
2016-03-05,21.2,23.1,20.6,6.0,0.0,8.61,,,6.8,21.5,1013.5,86,1019.3,9.5
2016-03-06,20.8,23.6,18.6,30.0,0.3,7.89,,,4.8,21.9,1009.7,89,1015.6,10.0
2016-03-07,21.1,24.8,17.9,0.0,8.6,20.26,,,2.8,20.4,1009.7,83,1015.5,2.3
2016-03-08,21.3,24.7,18.6,0.0,6.2,17.07,,,3.9,19.1,1009.7,76,1015.5,4.8
2016-03-09,20.6,22.8,18.7,5.0,0.0,4.53,,,6.3,19.3,1007.7,79,1013.5,9.3
2016-03-10,16.7,18.8,15.0,18.0,0.0,3.95,,,5.4,15.8,1010.9,83,1016.9,10.0
2016-03-11,14.9,15.7,13.8,7.0,0.0,1.68,,,6.0,13.0,1014.3,77,1020.3,10.0
2016-03-12,16.7,19.4,14.5,0.0,4.8,16.48,,,3.5,11.4,1015.4,60,1021.3,8.5
2016-03-13,20.4,23.3,17.1,19.5,6.8,19.18,,,6.6,17.9,1010.8,74,1016.6,9.3
2016-03-14,18.3,21.9,15.9,45.0,0.8,7.03,,,8.8,15.2,1007.4,71,1013.3,9.5
2016-03-15,17.2,20.5,15.0,0.0,5.1,15.85,,,5.5,10.4,1012.7,53,1018.7,7.5
2016-03-16,18.0,19.2,16.6,0.5,0.0,3.68,,,5.3,16.4,1011.2,80,1017.1,10.0
2016-03-17,21.0,24.3,18.3,4.5,2.5,11.92,,,3.4,20.8,1011.1,84,1016.9,8.3
2016-03-18,22.2,24.6,20.9,0.0,1.3,10.41,,,6.7,21.8,1008.7,81,1014.5,9.5
2016-03-19,21.5,23.0,19.5,12.0,0.2,4.50,,,5.6,22.3,1007.1,87,1012.9,8.3
2016-03-20,19.9,22.3,18.5,,7.5,19.48,,,5.2,15.1,1010.1,65,1016.0,5.5
2016-03-21,19.6,22.3,17.5,,4.0,13.01,,,3.9,14.5,1011.2,64,1017.0,9.0
