calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,20.5,22.4,17.5,0.0,0.6,,,,6.3,,,,,
2016-01-02,23.5,26.2,21.2,5.0,3.6,,,,4.7,,,,,
2016-01-03,21.7,23.7,20.2,11.0,0.0,,,,2.8,,,,,
2016-01-04,21.6,23.8,20.4,11.0,0.1,,,,3.3,,,,,
2016-01-05,22.1,24.6,20.5,35.5,0.0,,,,2.4,,,,,
2016-01-06,21.2,24.9,19.1,11.5,0.8,,,,4.9,,,,,
2016-01-07,20.5,22.3,19.5,0.0,3.9,,,,6.8,,,,,
2016-01-08,18.3,21.1,16.1,41.5,0.0,,,,7.2,,,,,
2016-01-09,18.6,20.8,16.1,0.0,5.7,,,,5.7,,,,,
2016-01-10,21.2,25.3,17.9,26.0,2.3,,,,4.1,,,,,
2016-01-11,21.2,22.9,19.1,26.5,0.1,,,,4.6,,,,,
2016-01-12,19.3,21.7,17.4,0.5,0.5,,,,6.3,,,,,
2016-01-13,16.9,18.4,15.7,6.0,0.0,,,,7.4,,,,,
2016-01-14,16.8,18.2,15.5,1.0,0.0,,,,6.3,,,,,
2016-01-15,18.5,19.7,17.6,14.0,0.0,,,,3.5,,,,,
2016-01-16,19.1,20.9,17.5,18.5,0.3,,,,4.1,,,,,
2016-01-17,21.1,25.4,17.9,43.5,0.4,,,,7.2,,,,,
2016-01-18,17.3,19.5,15.7,2.0,5.0,,,,6.0,,,,,
2016-01-19,16.8,18.8,15.8,0.0,2.7,,,,6.6,,,,,
2016-01-20,17.5,19.8,15.8,2.5,0.3,,,,5.9,,,,,
2016-01-21,21.1,22.9,19.1,29.5,0.0,,,,6.7,,,,,
2016-01-22,19.5,22.7,17.4,0.5,4.0,,,,4.5,,,,,
2016-01-23,14.6,20.0,10.6,10.0,0.0,,,,8.7,,,,,
2016-01-24,8.8,11.0,7.3,0.5,0.0,,,,8.4,,,,,
2016-01-25,9.9,12.1,7.4,0.0,0.1,,,,5.1,,,,,
2016-01-26,14.0,18.6,8.6,0.0,10.4,,,,3.6,,,,,
2016-01-27,19.6,22.5,15.2,0.0,1.1,,,,5.3,,,,,
2016-01-28,22.6,24.7,21.2,0.0,1.1,,,,6.9,,,,,
2016-01-29,22.5,26.6,18.9,17.0,4.2,,,,6.6,,,,,
2016-01-30,19.2,20.3,17.8,14.5,0.0,,,,5.0,,,,,
2016-01-31,18.5,20.5,16.7,0.5,0.2,,,,5.9,,,,,
2016-02-01,17.5,19.7,14.6,2.5,0.1,,,,7.0,,,,,
2016-02-02,15.1,17.8,13.9,1.0,0.8,,,,6.6,,,,,
2016-02-03,17.5,19.5,15.6,0.5,0.3,,,,5.9,,,,,
2016-02-04,18.5,20.1,17.4,17.5,0.0,,,,4.3,,,,,
2016-02-05,17.8,19.5,15.8,13.5,1.4,,,,7.6,,,,,
2016-02-06,15.0,17.3,12.8,0.0,2.2,,,,7.3,,,,,
2016-02-07,13.1,16.2,10.2,0.0,6.0,,,,5.1,,,,,
2016-02-08,13.8,19.4,8.0,0.0,8.9,,,,2.6,,,,,
2016-02-09,16.2,20.8,12.0,0.0,10.2,,,,2.4,,,,,
2016-02-10,19.9,23.8,13.8,0.0,5.7,,,,4.3,,,,,
2016-02-11,22.7,25.2,20.8,0.0,2.8,,,,8.0,,,,,
2016-02-12,23.7,26.3,22.9,0.0,0.8,,,,8.9,,,,,
2016-02-13,24.4,27.0,23.1,0.0,7.9,,,,6.1,,,,,
2016-02-14,20.6,27.0,14.2,2.0,3.7,,,,5.1,,,,,
2016-02-15,12.8,14.4,11.6,0.5,0.0,,,,7.1,,,,,
2016-02-16,13.9,16.1,12.0,0.0,0.5,,,,4.7,,,,,
