calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,15.4,18.4,13.1,0.0,7.5,,,,4.1,,,,,
2016-01-02,18.4,22.5,14.8,0.0,8.9,,,,2.7,,,,,
2016-01-03,18.8,22.0,17.4,20.5,0.1,,,,3.2,,,,,
2016-01-04,17.1,18.8,15.8,7.0,0.0,,,,2.6,,,,,
2016-01-05,20.2,24.9,17.0,35.5,5.2,,,,2.8,,,,,
2016-01-06,17.4,20.5,16.0,22.0,0.1,,,,2.2,,,,,
2016-01-07,15.9,17.1,14.9,0.0,0.0,,,,4.3,,,,,
2016-01-08,14.1,16.4,12.1,10.5,0.0,,,,2.6,,,,,
2016-01-09,14.4,16.6,12.4,0.5,1.4,,,,2.9,,,,,
2016-01-10,15.4,17.8,13.1,0.0,0.1,,,,2.3,,,,,
2016-01-11,16.8,18.9,15.0,52.5,0.0,,,,3.9,,,,,
2016-01-12,15.4,17.5,13.0,4.0,0.2,,,,4.9,,,,,
2016-01-13,12.8,15.4,11.4,2.5,0.3,,,,3.4,,,,,
2016-01-14,12.9,14.4,11.4,2.0,0.1,,,,3.4,,,,,
2016-01-15,14.1,17.2,11.6,3.0,2.7,,,,2.4,,,,,
2016-01-16,15.1,19.1,12.5,3.0,8.3,,,,2.6,,,,,
2016-01-17,16.5,18.2,13.7,54.0,0.1,,,,4.4,,,,,
2016-01-18,14.8,17.2,12.5,0.5,4.0,,,,6.5,,,,,
2016-01-19,12.1,14.3,10.5,0.0,2.2,,,,5.1,,,,,
2016-01-20,12.4,15.4,10.4,0.0,2.5,,,,3.3,,,,,
2016-01-21,14.1,16.3,12.7,32.0,0.0,,,,4.3,,,,,
2016-01-22,13.8,14.8,12.9,8.5,0.0,,,,5.5,,,,,
2016-01-23,12.2,14.1,9.5,27.5,0.0,,,,6.5,,,,,
2016-01-24,5.8,9.7,3.1,2.0,0.0,,,,8.4,,,,,
2016-01-25,7.2,10.4,3.2,7.0,1.2,,,,5.0,,,,,
2016-01-26,10.2,13.2,8.1,0.0,1.6,,,,2.8,,,,,
2016-01-27,13.7,17.2,10.1,0.0,3.2,,,,2.6,,,,,
2016-01-28,17.5,19.4,15.1,0.0,0.1,,,,4.0,,,,,
2016-01-29,19.1,21.9,15.8,22.0,0.6,,,,4.5,,,,,
2016-01-30,16.2,17.4,15.5,19.5,0.0,,,,2.4,,,,,
2016-01-31,16.6,19.4,14.7,0.0,7.0,,,,2.9,,,,,
2016-02-01,14.9,17.1,12.5,16.5,0.0,,,,3.9,,,,,
2016-02-02,12.1,12.7,11.2,3.5,0.0,,,,4.3,,,,,
2016-02-03,13.0,14.1,12.0,0.0,0.0,,,,3.1,,,,,
2016-02-04,14.5,18.3,12.2,1.5,1.9,,,,2.9,,,,,
2016-02-05,14.0,14.7,13.0,37.5,0.0,,,,3.7,,,,,
2016-02-06,11.9,14.9,9.3,8.5,0.3,,,,5.5,,,,,
2016-02-07,10.4,13.7,8.1,4.5,2.6,,,,5.0,,,,,
2016-02-08,10.6,13.0,9.1,0.0,0.5,,,,5.1,,,,,
