calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,21.5,23.8,18.7,1.5,,,,,8.0,,,,,
2016-01-02,24.1,26.6,22.1,5.0,,,,,6.1,,,,,
2016-01-03,22.4,25.3,21.3,14.5,,,,,4.3,,,,,
2016-01-04,23.0,23.9,21.8,32.5,,,,,5.2,,,,,
2016-01-05,23.2,25.3,21.1,97.0,,,,,4.2,,,,,
2016-01-06,22.4,25.0,20.2,24.0,,,,,6.8,,,,,
2016-01-07,21.6,23.3,20.7,0.0,,,,,9.5,,,,,
2016-01-08,19.6,22.7,17.4,70.0,,,,,10.3,,,,,
2016-01-09,19.8,22.3,17.3,1.0,,,,,8.5,,,,,
2016-01-10,22.9,25.2,20.6,2.0,,,,,6.0,,,,,
2016-01-11,22.3,24.4,20.2,6.5,,,,,5.9,,,,,
2016-01-12,20.6,23.1,19.0,0.0,,,,,8.9,,,,,
2016-01-13,18.5,20.0,17.2,7.5,,,,,10.5,,,,,
2016-01-14,18.2,19.6,16.9,3.5,,,,,9.8,,,,,
2016-01-15,20.0,21.6,18.9,11.5,,,,,6.0,,,,,
2016-01-16,20.3,22.5,18.1,59.5,,,,,5.9,,,,,
2016-01-17,21.9,25.1,19.3,30.5,,,,,8.8,,,,,
2016-01-18,18.6,20.8,17.2,2.5,,,,,8.4,,,,,
2016-01-19,18.2,20.3,17.3,0.0,,,,,9.0,,,,,
2016-01-20,19.1,21.5,16.9,1.0,,,,,8.3,,,,,
2016-01-21,21.9,23.5,20.3,18.5,,,,,8.2,,,,,
2016-01-22,20.8,23.5,19.3,0.5,,,,,6.4,,,,,
2016-01-23,16.4,21.1,12.5,2.5,,,,,10.3,,,,,
2016-01-24,10.6,13.3,8.6,0.0,,,,,11.7,,,,,
2016-01-25,11.5,13.5,8.5,0.0,,,,,8.5,,,,,
2016-01-26,16.5,19.5,12.8,0.0,,,,,5.2,,,,,
2016-01-27,20.9,23.0,18.2,0.0,,,,,6.5,,,,,
2016-01-28,23.3,25.5,21.2,0.0,,,,,8.0,,,,,
2016-01-29,23.0,27.2,19.6,17.0,,,,,7.8,,,,,
2016-01-30,20.1,22.0,18.6,16.5,,,,,7.3,,,,,
2016-01-31,19.5,21.4,17.8,1.0,,,,,8.6,,,,,
2016-02-01,18.8,21.0,16.5,10.0,,,,,10.0,,,,,
2016-02-02,16.8,18.4,15.4,0.5,,,,,10.0,,,,,
2016-02-03,18.9,21.0,16.9,0.5,,,,,8.4,,,,,
2016-02-04,20.0,21.4,18.4,21.5,,,,,6.1,,,,,
2016-02-05,18.9,20.3,17.2,38.0,,,,,9.7,,,,,
2016-02-06,16.4,18.7,14.1,0.0,,,,,9.9,,,,,
2016-02-07,14.6,18.0,13.4,0.0,,,,,7.6,,,,,
2016-02-08,16.0,20.2,12.2,0.0,,,,,3.5,,,,,
2016-02-09,17.2,21.1,11.3,0.0,,,,,2.7,,,,,
2016-02-10,21.2,23.8,18.8,0.0,,,,,5.6,,,,,
2016-02-11,23.2,25.8,21.5,0.0,,,,,9.2,,,,,
2016-02-12,24.0,25.9,23.2,0.0,,,,,9.5,,,,,
2016-02-13,24.5,27.2,23.4,0.0,,,,,7.6,,,,,
2016-02-14,22.1,28.0,16.3,1.5,,,,,7.8,,,,,
2016-02-15,14.6,16.7,13.4,0.5,,,,,9.9,,,,,
2016-02-16,15.1,16.8,13.7,0.0,,,,,7.3,,,,,
2016-02-17,17.0,18.6,15.7,0.0,,,,,7.4,,,,,
2016-02-18,20.1,22.2,17.6,1.5,,,,,7.9,,,,,
2016-02-19,20.8,22.5,18.7,13.5,,,,,8.0,,,,,
2016-02-20,18.4,20.3,16.2,0.5,,,,,9.5,,,,,
2016-02-21,18.0,20.8,15.8,0.0,,,,,8.1,,,,,
2016-02-22,21.8,23.3,20.0,0.0,,,,,6.2,,,,,
2016-02-23,19.6,22.9,18.4,9.0,,,,,8.0,,,,,
2016-02-24,17.3,18.8,15.8,0.5,,,,,11.9,,,,,
2016-02-25,17.8,18.7,16.2,0.0,,,,,9.5,,,,,
2016-02-26,19.3,22.1,17.4,0.5,,,,,7.1,,,,,
2016-02-27,20.3,22.2,18.7,16.5,,,,,6.1,,,,,
2016-02-28,21.0,24.2,19.7,0.0,,,,,5.8,,,,,
2016-02-29,18.4,20.8,14.8,0.0,,,,,9.6,,,,,
2016-03-01,15.7,19.2,14.3,0.0,,,,,6.7,,,,,
2016-03-02,18.3,21.7,14.9,0.0,,,,,4.2,,,,,
2016-03-03,21.4,24.0,18.5,0.0,,,,,4.8,,,,,
2016-03-04,22.1,24.3,20.3,0.0,,,,,5.6,,,,,
2016-03-05,22.9,25.3,21.3,0.0,,,,,5.1,,,,,
2016-03-06,23.3,27.4,21.6,0.5,,,,,2.9,,,,,
2016-03-07,22.9,25.4,19.9,0.0,,,,,2.6,,,,,
2016-03-08,23.5,26.2,22.1,0.0,,,,,5.6,,,,,
2016-03-09,21.6,25.1,19.3,6.5,,,,,7.9,,,,,
2016-03-10,17.7,19.8,15.2,6.5,,,,,9.5,,,,,
2016-03-11,16.2,17.0,15.2,1.5,,,,,8.9,,,,,
2016-03-12,19.2,21.5,16.6,0.5,,,,,7.1,,,,,
2016-03-13,22.9,25.2,20.8,0.5,,,,,7.9,,,,,
2016-03-14,18.2,23.8,17.3,46.0,,,,,8.6,,,,,
2016-03-15,18.9,20.6,17.2,0.0,,,,,6.3,,,,,
2016-03-16,21.4,24.0,18.9,0.0,,,,,4.2,,,,,
2016-03-17,22.9,26.1,20.6,0.0,,,,,4.3,,,,,
2016-03-18,23.9,26.1,22.7,0.0,,,,,7.2,,,,,
2016-03-19,24.0,27.4,21.4,0.0,,,,,6.2,,,,,
2016-03-20,21.8,24.1,20.8,0.0,,,,,6.3,,,,,
2016-03-21,21.7,24.6,20.4,0.0,,,,,4.5,,,,,
2016-03-22,22.4,25.4,20.5,0.0,,,,,4.8,,,,,
2016-03-23,22.2,26.1,19.7,1.0,,,,,3.3,,,,,
2016-03-24,17.7,20.1,16.3,0.0,,,,,8.9,,,,,
2016-03-25,16.5,18.6,15.3,2.5,,,,,6.4,,,,,
2016-03-26,17.0,19.8,15.4,0.5,,,,,7.6,,,,,
2016-03-27,17.7,20.5,16.0,0.0,,,,,6.0,,,,,
