calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.1,13.7,0.1,0.0,5.8,,,,1.1,,,,,
2016-01-02,10.3,15.0,6.2,0.0,0.9,,,,1.3,,,,,
2016-01-03,10.7,14.7,5.9,0.5,0.4,,,,0.7,,,,,
2016-01-04,9.3,16.0,4.4,0.0,6.6,,,,1.2,,,,,
2016-01-05,8.5,11.5,6.8,1.5,0.0,,,,0.7,,,,,
2016-01-06,8.0,12.0,4.8,0.0,0.0,,,,1.0,,,,,
2016-01-07,8.1,9.8,6.0,0.0,0.2,,,,2.9,,,,,
2016-01-08,6.8,7.8,5.8,0.0,0.0,,,,3.9,,,,,
2016-01-09,6.1,8.3,3.1,0.0,0.0,,,,2.1,,,,,
2016-01-10,5.3,9.9,1.8,0.0,6.6,,,,1.5,,,,,
2016-01-11,7.0,11.4,2.8,0.0,0.4,,,,1.3,,,,,
2016-01-12,4.5,8.9,-0.5,0.5,2.1,,,,1.5,,,,,
2016-01-13,5.2,7.7,-0.3,0.0,1.0,,,,3.2,,,,,
2016-01-14,5.4,8.6,0.9,0.0,3.9,,,,2.9,,,,,
2016-01-15,3.6,10.5,-1.1,0.0,8.8,,,,0.9,,,,,
2016-01-16,4.8,12.3,-1.2,0.0,6.7,,,,1.3,,,,,
2016-01-17,4.9,7.7,1.6,29.0,0.0,,,,0.9,,,,,
2016-01-18,6.5,9.5,0.8,7.0,2.1,,,,5.6,,,,,
2016-01-19,2.1,3.1,0.9,0.5,0.1,,,,7.5,,,,,
2016-01-20,1.9,4.4,-2.2,0.0,0.3,,,,3.2,,,,,
2016-01-21,1.1,4.7,-2.6,0.5,0.0,,,,0.7,,,,,
2016-01-22,4.6,8.8,-0.6,0.0,1.6,,,,1.7,,,,,
2016-01-23,3.0,6.4,-2.0,2.0,0.0,,,,3.5,,,,,
2016-01-24,-3.4,-1.4,-4.8,5.5,0.0,,,,6.3,,,,,
2016-01-25,0.6,2.9,-3.5,6.5,0.7,,,,2.3,,,,,
2016-01-26,2.1,5.4,0.2,0.5,0.3,,,,0.8,,,,,
2016-01-27,4.8,9.7,0.6,0.0,1.0,,,,0.8,,,,,
2016-01-28,7.1,11.1,4.6,9.0,0.0,,,,0.7,,,,,
2016-01-29,11.5,15.6,9.8,61.0,0.0,,,,2.7,,,,,
2016-01-30,10.5,13.6,6.9,0.5,3.3,,,,2.5,,,,,
2016-01-31,8.2,11.7,3.7,0.5,6.2,,,,1.7,,,,,
2016-02-01,5.5,8.1,3.0,0.0,0.0,,,,1.8,,,,,
2016-02-02,4.1,7.8,-0.5,0.0,1.8,,,,1.9,,,,,
2016-02-03,3.1,9.7,-2.0,0.0,7.4,,,,1.5,,,,,
2016-02-04,4.1,9.6,-1.3,0.0,6.9,,,,1.8,,,,,
2016-02-05,4.4,9.7,0.4,0.0,4.0,,,,1.4,,,,,
2016-02-06,4.7,7.0,0.2,0.0,1.5,,,,3.4,,,,,
2016-02-07,3.4,8.7,-1.2,0.0,5.0,,,,1.6,,,,,
2016-02-08,4.9,10.6,-1.4,0.5,2.8,,,,1.7,,,,,
2016-02-09,8.1,11.0,1.4,0.0,9.7,,,,4.0,,,,,
2016-02-10,5.5,13.9,-1.2,0.0,10.1,,,,1.3,,,,,
2016-02-11,8.8,18.7,0.5,0.0,7.3,,,,1.3,,,,,
2016-02-12,14.7,20.7,9.3,2.0,1.2,,,,3.5,,,,,
2016-02-13,17.8,20.8,14.2,62.0,0.6,,,,2.9,,,,,
2016-02-14,9.4,17.7,4.0,0.0,0.0,,,,4.7,,,,,
2016-02-15,3.0,4.3,1.7,0.0,0.3,,,,5.8,,,,,
2016-02-16,4.3,7.0,1.6,0.5,2.0,,,,3.8,,,,,
2016-02-17,5.3,8.3,1.1,0.0,2.5,,,,3.3,,,,,
2016-02-18,5.4,12.4,-1.3,0.0,4.6,,,,1.4,,,,,
2016-02-19,8.2,15.2,2.5,7.0,2.1,,,,1.1,,,,,
2016-02-20,8.7,11.4,6.2,28.0,0.0,,,,1.9,,,,,
2016-02-21,4.9,7.5,0.9,2.0,8.2,,,,2.8,,,,,
2016-02-22,5.8,11.7,0.5,1.5,1.7,,,,1.2,,,,,
2016-02-23,7.1,12.3,4.6,3.0,3.2,,,,1.3,,,,,
2016-02-24,6.1,9.1,3.5,0.0,6.7,,,,3.2,,,,,
2016-02-25,3.5,6.8,-1.4,1.0,4.8,,,,2.7,,,,,
2016-02-26,4.2,11.2,-2.5,0.0,8.6,,,,1.2,,,,,
2016-02-27,7.6,14.1,2.2,3.5,4.3,,,,1.5,,,,,
2016-02-28,11.3,18.0,3.7,0.0,8.9,,,,2.1,,,,,
2016-02-29,5.3,14.0,0.7,0.0,2.1,,,,6.5,,,,,
2016-03-01,2.4,6.5,-1.3,0.0,3.3,,,,1.8,,,,,
2016-03-02,5.6,13.1,-1.7,0.0,9.5,,,,1.2,,,,,
2016-03-03,9.9,18.3,0.9,0.0,10.0,,,,1.6,,,,,
2016-03-04,14.1,20.5,10.0,0.5,2.8,,,,1.6,,,,,
2016-03-05,16.6,22.8,9.4,0.0,10.4,,,,2.4,,,,,
2016-03-06,17.4,20.0,14.8,0.0,0.7,,,,1.7,,,,,
2016-03-07,14.5,18.0,12.9,0.0,1.6,,,,1.7,,,,,
2016-03-08,13.1,18.2,10.2,0.0,3.9,,,,2.2,,,,,
2016-03-09,9.7,12.3,8.6,35.5,0.0,,,,3.7,,,,,
2016-03-10,9.2,11.4,5.8,0.0,0.0,,,,2.6,,,,,
2016-03-11,5.5,7.9,0.7,0.0,2.5,,,,2.3,,,,,
2016-03-12,4.6,10.3,-0.3,0.0,4.9,,,,1.5,,,,,
2016-03-13,5.6,10.4,1.0,10.5,0.0,,,,0.8,,,,,
2016-03-14,8.3,11.7,5.2,4.5,2.1,,,,2.9,,,,,
2016-03-15,9.1,14.5,5.0,0.0,9.4,,,,2.3,,,,,
2016-03-16,9.7,16.9,3.5,0.0,6.2,,,,1.5,,,,,
2016-03-17,12.8,22.1,4.1,0.0,10.2,,,,1.6,,,,,
2016-03-18,14.1,15.0,12.3,6.5,0.0,,,,3.0,,,,,
2016-03-19,13.6,17.2,9.4,1.0,3.7,,,,2.3,,,,,
2016-03-20,10.4,15.2,6.0,0.0,10.5,,,,2.6,,,,,
2016-03-21,8.8,14.9,3.6,0.0,10.3,,,,2.2,,,,,
2016-03-22,9.6,19.6,0.3,0.0,11.4,,,,1.3,,,,,
2016-03-23,10.9,17.7,4.5,0.0,4.4,,,,1.8,,,,,
2016-03-24,8.9,11.9,6.4,0.0,2.1,,,,3.1,,,,,
2016-03-25,7.7,13.5,1.8,0.0,9.9,,,,2.1,,,,,
2016-03-26,8.1,16.8,0.7,0.0,5.7,,,,1.9,,,,,
2016-03-27,7.1,12.9,2.5,0.5,5.8,,,,1.9,,,,,
2016-03-28,8.9,17.1,1.3,0.0,10.7,,,,1.8,,,,,
2016-03-29,12.1,17.4,4.2,0.0,2.9,,,,2.2,,,,,
2016-03-30,15.7,19.4,13.1,2.0,1.2,,,,2.0,,,,,
2016-03-31,13.9,17.0,11.7,11.0,0.0,,,,1.6,,,,,
2016-04-01,14.4,17.1,12.5,0.5,0.0,,,,2.4,,,,,
2016-04-02,17.1,23.6,13.1,0.0,6.4,,,,1.2,,,,,
2016-04-03,16.9,21.2,13.7,15.0,0.0,,,,1.1,,,,,
2016-04-04,14.3,15.5,12.0,20.0,0.0,,,,2.1,,,,,
2016-04-05,13.4,18.2,8.3,0.0,7.7,,,,1.6,,,,,
2016-04-06,14.8,21.4,9.5,8.5,2.7,,,,1.5,,,,,
2016-04-07,18.6,22.7,13.9,66.5,0.0,,,,5.0,,,,,
2016-04-08,14.8,19.9,11.1,0.0,5.4,,,,1.3,,,,,
