calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.5,9.5,0.7,0.0,,,,,1.4,,,,,
2016-01-02,8.7,12.2,3.8,0.0,,,,,1.5,,,,,
2016-01-03,10.4,15.3,3.7,0.0,,,,,1.6,,,,,
2016-01-04,7.5,10.4,3.1,0.0,,,,,1.4,,,,,
2016-01-05,8.6,11.4,7.0,3.5,,,,,2.9,,,,,
2016-01-06,8.5,12.0,4.8,0.0,,,,,2.4,,,,,
2016-01-07,8.6,12.5,6.7,0.0,,,,,4.0,,,,,
2016-01-08,6.8,10.0,4.7,0.0,,,,,3.6,,,,,
2016-01-09,5.5,9.5,0.1,0.0,,,,,2.1,,,,,
2016-01-10,6.0,12.2,0.8,0.0,,,,,2.0,,,,,
2016-01-11,7.1,12.8,2.2,0.0,,,,,2.5,,,,,
2016-01-12,6.3,10.6,2.4,0.0,,,,,3.0,,,,,
2016-01-13,5.1,8.4,0.5,0.0,,,,,3.1,,,,,
2016-01-14,5.6,11.4,-1.1,0.0,,,,,2.8,,,,,
2016-01-15,3.0,9.8,-2.3,0.0,,,,,1.9,,,,,
2016-01-16,4.1,11.9,-2.7,0.0,,,,,1.8,,,,,
2016-01-17,5.5,8.1,-0.2,22.5,,,,,4.0,,,,,
2016-01-18,6.5,10.1,0.3,3.0,,,,,6.8,,,,,
2016-01-19,2.1,4.7,0.1,0.0,,,,,8.8,,,,,
2016-01-20,2.0,5.7,-2.3,0.0,,,,,3.7,,,,,
2016-01-21,1.0,3.9,-2.7,0.0,,,,,1.8,,,,,
2016-01-22,4.0,9.0,-1.3,0.0,,,,,2.1,,,,,
2016-01-23,3.5,6.6,-1.3,0.0,,,,,4.2,,,,,
2016-01-24,-3.9,-1.3,-7.0,1.5,,,,,5.1,,,,,
2016-01-25,-2.2,2.5,-9.5,0.5,,,,,1.9,,,,,
2016-01-26,1.2,5.0,-1.8,0.0,,,,,1.3,,,,,
2016-01-27,3.7,7.9,-1.6,0.0,,,,,1.3,,,,,
2016-01-28,6.9,9.3,4.9,2.0,,,,,1.8,,,,,
2016-01-29,11.3,13.1,9.0,32.5,,,,,2.6,,,,,
2016-01-30,10.4,15.0,4.8,1.0,,,,,2.7,,,,,
2016-01-31,8.0,12.9,3.8,0.0,,,,,2.2,,,,,
2016-02-01,6.0,8.7,4.0,0.0,,,,,3.0,,,,,
2016-02-02,4.7,9.0,1.2,0.0,,,,,2.6,,,,,
2016-02-03,4.8,10.1,0.7,0.0,,,,,2.9,,,,,
2016-02-04,4.6,9.9,-1.0,0.0,,,,,2.6,,,,,
