calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.3,7.8,-1.4,0.0,1.3,,,,0.8,,,,,
2016-01-02,8.5,12.1,4.3,0.0,1.0,,,,0.7,,,,,
2016-01-03,10.8,15.7,4.9,0.0,0.5,,,,1.3,,,,,
2016-01-04,7.5,11.9,3.3,0.0,1.4,,,,0.9,,,,,
2016-01-05,8.5,11.8,6.9,1.5,0.0,,,,1.4,,,,,
2016-01-06,8.1,11.8,5.6,0.0,0.0,,,,1.3,,,,,
2016-01-07,7.5,10.3,5.5,0.0,1.7,,,,2.6,,,,,
2016-01-08,6.3,7.4,3.8,0.0,0.1,,,,3.3,,,,,
2016-01-09,5.0,8.1,0.7,0.0,1.6,,,,1.5,,,,,
2016-01-10,5.8,10.8,1.5,0.0,7.1,,,,1.8,,,,,
2016-01-11,6.8,11.4,2.6,0.0,1.1,,,,1.1,,,,,
2016-01-12,5.7,9.8,1.2,0.0,3.8,,,,2.5,,,,,
2016-01-13,4.6,7.3,1.0,0.0,0.9,,,,3.2,,,,,
2016-01-14,5.0,9.2,0.8,0.0,5.9,,,,2.8,,,,,
2016-01-15,3.0,10.0,-2.1,0.0,8.7,,,,1.1,,,,,
2016-01-16,3.8,11.8,-2.7,0.0,9.1,,,,1.1,,,,,
2016-01-17,4.9,8.2,0.4,24.5,0.0,,,,2.0,,,,,
2016-01-18,6.5,10.0,0.6,2.5,2.8,,,,6.2,,,,,
2016-01-19,1.9,4.1,0.1,0.0,4.5,,,,7.7,,,,,
2016-01-20,1.8,5.7,-1.9,0.0,3.3,,,,3.1,,,,,
2016-01-21,0.5,3.8,-3.8,0.0,0.0,,,,0.9,,,,,
2016-01-22,4.0,9.6,-2.1,0.0,4.2,,,,1.6,,,,,
