calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.4,11.0,-2.2,,8.8,,,,2.2,4.2,997.2,60,1026.3,
2016-01-02,2.8,13.0,-3.9,,8.5,,,,1.0,4.5,993.4,66,1022.4,
2016-01-03,5.1,16.5,-2.6,,8.7,,,,1.1,5.6,988.6,68,1017.3,
2016-01-04,5.5,15.9,-2.0,,8.8,,,,1.0,6.0,985.8,71,1014.3,
2016-01-05,5.4,14.7,-1.6,,6.4,,,,1.1,6.4,988.3,74,1016.9,
2016-01-06,4.4,9.5,0.3,,1.0,,,,0.9,6.6,989.0,81,1017.7,
2016-01-07,3.7,12.5,-1.5,,8.0,,,,1.6,5.4,984.6,72,1013.3,
2016-01-08,1.8,10.2,-4.0,,8.9,,,,1.0,4.8,985.3,73,1014.2,
2016-01-09,2.4,11.0,-4.0,,8.9,,,,1.3,4.8,988.8,70,1017.7,
2016-01-10,3.2,13.0,-4.2,,8.8,,,,1.4,4.6,988.4,65,1017.2,
2016-01-11,2.5,10.4,-3.5,,8.0,,,,1.3,4.9,988.8,69,1017.7,
2016-01-12,1.8,5.6,-3.1,,0.0,,,,0.9,5.1,986.4,75,1015.3,
2016-01-13,0.3,8.8,-5.8,,8.7,,,,1.4,4.4,984.7,74,1013.7,
2016-01-14,1.7,11.8,-5.6,,8.9,,,,1.5,4.1,983.8,65,1012.6,
2016-01-15,2.4,9.8,-5.1,0.0,7.3,,,,2.0,5.0,987.6,70,1016.5,
2016-01-16,4.6,11.7,-0.2,0.0,9.0,,,,1.5,4.9,990.4,61,1019.1,
2016-01-17,2.5,8.0,-3.6,3.5,4.4,,,,1.4,4.7,993.4,67,1022.4,
2016-01-18,0.4,3.6,-1.4,64.5,2.2,,34,34,,6.2,972.6,98,1001.3,
2016-01-19,0.8,5.5,-6.3,,9.0,,27,,3.3,3.3,972.7,55,1001.3,
2016-01-20,-0.5,6.5,-9.0,0.0,7.5,,23,,2.6,3.4,981.1,62,1010.2,
2016-01-21,1.0,7.2,-3.9,,7.6,,21,,1.8,3.8,989.3,60,1018.4,
2016-01-22,0.7,8.2,-5.5,,9.0,,19,,1.4,3.9,991.2,66,1020.4,
2016-01-23,-0.6,5.6,-6.2,,4.9,,17,,1.2,4.1,988.7,72,1017.9,
2016-01-24,-1.5,4.7,-7.6,,9.1,,15,,2.7,2.6,976.2,54,1005.2,
2016-01-25,-1.9,5.7,-9.0,,9.2,,14,,2.0,2.6,988.0,54,1017.4,
2016-01-26,-1.4,7.7,-8.9,,9.2,,13,,1.1,3.4,994.3,66,1023.8,
2016-01-27,0.8,11.7,-7.4,,9.2,,12,,1.2,3.9,995.3,67,1024.6,
2016-01-28,2.0,11.7,-5.4,,8.3,,10,,0.9,4.3,997.6,67,1026.8,
2016-01-29,1.9,4.0,-0.9,8.0,0.1,,9,1,0.7,6.4,995.4,91,1024.6,
2016-01-30,1.7,3.5,0.3,2.0,0.0,,7,,0.9,6.5,991.8,94,1020.9,
2016-01-31,2.9,9.0,-1.7,,7.1,,4,,1.3,6.0,991.9,82,1020.8,
2016-02-01,1.9,6.5,-2.0,0.0,1.7,,2,,1.0,5.4,991.2,79,1020.2,
2016-02-02,2.5,9.2,-2.3,,8.5,,,,1.8,4.5,989.7,66,1018.7,
2016-02-03,1.9,8.2,-3.8,,6.4,,,,1.4,4.0,992.8,60,1021.8,
2016-02-04,1.6,8.7,-4.2,,9.6,,,,1.3,4.7,991.3,72,1020.4,
2016-02-05,3.0,12.0,-4.4,,8.8,,,,1.2,4.7,987.5,67,1016.4,
2016-02-06,3.5,8.9,-1.5,2.0,2.2,,2,2,1.4,6.0,984.3,78,1013.0,
2016-02-07,2.1,7.9,-3.1,1.5,8.0,,4,2,,4.1,987.7,61,1016.6,
2016-02-08,-0.1,4.7,-4.0,,3.5,,,,1.1,4.7,989.9,79,1019.1,
