calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.0,11.6,0.6,0.0,9.3,,,,1.9,,,,,
2016-01-02,4.4,12.8,-0.2,0.0,4.6,,,,1.0,,,,,
2016-01-03,6.3,16.0,-1.6,0.0,8.2,,,,0.8,,,,,
2016-01-04,6.6,15.4,0.2,0.0,9.2,,,,1.0,,,,,
2016-01-05,8.3,15.3,1.1,0.0,8.3,,,,1.0,,,,,
2016-01-06,7.0,10.1,3.6,0.0,0.1,,,,1.0,,,,,
2016-01-07,6.8,13.4,0.9,0.0,6.9,,,,1.6,,,,,
2016-01-08,4.1,10.3,-0.8,0.0,7.8,,,,0.9,,,,,
2016-01-09,4.8,11.3,-1.7,0.0,9.3,,,,1.1,,,,,
2016-01-10,6.0,13.1,-0.8,0.0,9.3,,,,1.4,,,,,
2016-01-11,5.2,10.1,-0.5,0.0,5.3,,,,1.4,,,,,
2016-01-12,2.4,4.5,-1.7,0.0,0.0,,,,1.3,,,,,
2016-01-13,1.6,8.6,-4.2,0.0,9.1,,,,1.0,,,,,
2016-01-14,3.5,11.9,-3.6,0.0,9.4,,,,1.1,,,,,
2016-01-15,3.9,10.5,-1.1,0.0,8.9,,,,1.7,,,,,
2016-01-16,5.3,11.6,-0.9,0.0,9.3,,,,1.4,,,,,
2016-01-17,4.4,8.5,-1.5,3.0,4.7,,,,1.5,,,,,
2016-01-18,1.6,4.7,-0.2,64.0,0.6,,,,2.4,,,,,
2016-01-19,3.2,8.1,-2.3,0.5,9.3,,,,1.8,,,,,
2016-01-20,2.2,7.1,-4.0,0.0,8.9,,,,2.9,,,,,
2016-01-21,3.5,9.2,-2.7,0.0,8.4,,,,1.9,,,,,
2016-01-22,4.2,10.0,-0.9,0.0,8.9,,,,2.0,,,,,
2016-01-23,2.9,6.3,0.9,0.0,0.6,,,,1.8,,,,,
2016-01-24,2.1,7.9,-2.2,0.0,8.1,,,,2.4,,,,,
2016-01-25,1.6,7.3,-3.8,0.0,9.8,,,,2.2,,,,,
2016-01-26,1.8,9.5,-5.0,0.0,9.5,,,,1.2,,,,,
2016-01-27,4.2,13.3,-4.0,0.0,9.9,,,,1.1,,,,,
2016-01-28,5.2,13.9,-2.3,0.0,9.7,,,,0.8,,,,,
2016-01-29,4.2,7.6,1.5,8.5,0.0,,,,2.2,,,,,
2016-01-30,2.8,4.9,1.0,3.5,0.0,,,,1.8,,,,,
2016-01-31,5.4,11.7,-0.5,0.0,8.4,,,,1.1,,,,,
2016-02-01,3.6,6.2,0.3,0.0,0.0,,,,1.3,,,,,
2016-02-02,5.1,10.4,0.9,0.5,8.0,,,,2.3,,,,,
2016-02-03,3.6,8.6,-1.6,0.0,8.3,,,,1.7,,,,,
2016-02-04,3.5,9.5,-2.0,0.0,9.5,,,,1.2,,,,,
2016-02-05,5.5,13.2,-2.2,0.0,9.5,,,,1.2,,,,,
2016-02-06,5.7,9.4,2.3,0.0,0.9,,,,2.1,,,,,
