calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.5,11.5,1.6,,9.4,,,,3.6,4.1,1021.6,44,1025.6,1.7
2016-01-02,4.8,12.1,0.0,,7.2,,,,1.6,4.4,1017.8,52,1021.7,3.3
2016-01-03,7.3,16.7,-0.4,,9.0,,,,1.6,5.5,1012.4,56,1016.3,2.0
2016-01-04,8.3,15.6,0.8,,9.3,,,,1.8,6.0,1009.5,58,1013.4,0.0
2016-01-05,10.4,16.4,5.5,,7.1,,,,2.6,5.4,1012.1,45,1016.0,6.7
2016-01-06,6.9,9.9,3.9,,0.2,,,,1.2,6.5,1013.4,66,1017.3,10.0
2016-01-07,6.5,13.0,1.5,,9.3,,,,3.2,4.7,1008.7,51,1012.6,1.0
2016-01-08,4.4,10.7,-0.9,,9.4,,,,1.4,4.5,1009.8,56,1013.7,1.3
2016-01-09,5.8,12.5,-0.7,,8.9,,,,2.3,4.2,1013.2,50,1017.2,1.3
2016-01-10,6.6,14.2,0.1,,9.2,,,,2.5,4.2,1012.6,46,1016.5,0.0
2016-01-11,6.5,11.6,2.2,,8.6,,,,2.4,4.4,1013.3,46,1017.2,6.7
2016-01-12,2.8,5.0,-2.1,,0.0,,,,1.6,4.9,1011.2,65,1015.2,7.3
2016-01-13,1.6,8.4,-4.4,,8.4,,,,1.5,4.2,1009.4,63,1013.4,0.0
2016-01-14,4.8,12.5,-1.3,,8.2,,,,2.2,3.9,1007.9,50,1011.9,2.0
2016-01-15,4.4,10.5,-0.5,0.0,5.6,,,,2.0,4.8,1012.5,59,1016.5,7.3
2016-01-16,6.3,12.5,0.0,0.0,8.9,,,,2.0,4.1,1015.1,45,1019.0,3.7
2016-01-17,4.6,8.2,-1.4,3.0,4.9,,,,1.5,4.5,1018.4,54,1022.4,6.7
2016-01-18,2.3,7.6,0.2,55.5,0.9,,15,15,2.7,6.3,996.0,87,1000.0,6.0
2016-01-19,3.5,7.0,-2.5,0.0,9.5,,7,,3.8,3.2,996.8,42,1000.7,0.0
2016-01-20,0.8,6.5,-5.7,0.0,7.9,,6,1,4.1,3.9,1005.5,60,1009.4,3.7
2016-01-21,3.3,7.7,-1.3,,8.1,,3,,3.0,3.6,1013.8,47,1017.8,6.7
2016-01-22,4.1,9.2,0.5,,9.4,,1,,4.3,3.2,1015.9,40,1019.9,1.7
2016-01-23,2.9,7.4,-0.1,0.0,4.2,,,,3.0,3.6,1013.5,48,1017.5,10.0
2016-01-24,1.9,6.9,-2.4,,9.5,,,,4.8,2.5,1000.6,39,1004.6,0.0
2016-01-25,2.1,8.2,-2.9,,9.8,,,,4.0,2.1,1012.6,30,1016.5,0.3
2016-01-26,2.5,9.7,-3.4,,9.8,,,,2.2,2.9,1018.9,42,1022.9,0.3
2016-01-27,5.7,14.1,-2.7,,9.8,,,,2.4,3.5,1019.6,41,1023.6,0.0
2016-01-28,7.0,14.7,-1.0,,9.7,,,,2.5,4.1,1021.5,45,1025.5,0.0
2016-01-29,4.4,6.3,0.6,9.5,0.0,,0,,1.8,6.4,1020.3,77,1024.3,10.0
2016-01-30,3.0,5.6,0.7,2.5,0.1,,0,,1.2,6.2,1016.8,83,1020.8,10.0
2016-01-31,5.6,11.8,-0.2,,9.7,,,,1.8,5.6,1016.4,65,1020.3,3.3
2016-02-01,4.5,7.9,0.7,0.0,1.8,,,,2.1,4.8,1015.8,58,1019.8,10.0
2016-02-02,4.9,10.5,1.5,,9.5,,,,4.4,3.3,1014.4,39,1018.4,2.0
2016-02-03,4.3,10.1,-0.7,,7.3,,,,2.9,3.6,1017.4,45,1021.4,4.3
2016-02-04,3.9,10.1,-1.4,,10.0,,,,2.0,4.2,1016.1,54,1020.1,1.0
2016-02-05,6.3,13.6,-0.3,,9.3,,,,2.4,4.4,1011.9,51,1015.8,5.3
2016-02-06,5.9,11.3,0.4,8.5,4.1,,2,2,2.2,6.0,1009.0,66,1012.9,10.0
2016-02-07,3.9,8.6,0.4,0.0,9.9,,1,,4.1,3.4,1012.2,44,1016.2,3.3
2016-02-08,3.1,7.5,-0.8,,3.5,,,,1.6,4.2,1014.8,54,1018.7,8.7
2016-02-09,4.3,12.3,-1.5,0.0,7.1,,,,2.7,4.6,1006.1,59,1010.1,1.0
2016-02-10,4.3,9.5,0.7,,10.2,,,,4.7,3.4,1015.8,43,1019.8,0.7
2016-02-11,5.1,11.0,0.1,,10.4,,,,3.0,3.3,1026.3,40,1030.3,0.0
2016-02-12,5.1,11.6,-1.7,,4.5,,,,1.6,5.1,1027.4,58,1031.4,9.3
2016-02-13,10.7,17.1,3.5,0.0,5.8,,,,1.4,6.5,1015.5,52,1019.4,9.0
2016-02-14,14.3,22.0,8.6,5.0,3.9,,,,2.1,10.9,995.4,67,999.1,7.7
2016-02-15,6.8,13.1,0.8,0.0,0.0,,,,4.2,4.6,999.2,46,1003.1,7.3
2016-02-16,4.1,10.3,-0.7,,9.9,,,,2.8,3.6,1007.7,44,1011.6,1.0
2016-02-17,4.0,11.4,-1.3,,7.5,,,,3.2,3.6,1011.5,47,1015.4,0.7
2016-02-18,4.0,10.7,-2.8,,10.5,,,,1.8,4.0,1021.0,50,1025.0,0.7
