calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.4,11.1,0.4,0.0,9.2,,,,3.0,,,,,
2016-01-02,5.4,13.5,0.3,0.0,7.4,,,,1.2,,,,,
2016-01-03,7.4,15.3,1.9,0.0,8.3,,,,1.2,,,,,
2016-01-04,8.0,15.3,2.1,0.0,9.1,,,,1.6,,,,,
2016-01-05,8.8,15.2,3.0,0.0,8.1,,,,1.9,,,,,
2016-01-06,6.6,9.2,3.7,0.0,0.2,,,,1.3,,,,,
2016-01-07,6.2,11.5,1.8,0.0,8.2,,,,3.3,,,,,
2016-01-08,3.9,9.7,-0.2,0.0,9.2,,,,1.5,,,,,
2016-01-09,4.8,11.0,0.4,0.0,8.5,,,,1.9,,,,,
2016-01-10,5.7,13.0,0.3,0.0,9.2,,,,1.8,,,,,
2016-01-11,5.1,10.1,0.6,0.0,5.9,,,,2.0,,,,,
2016-01-12,2.0,4.4,-1.0,0.0,0.0,,,,1.4,,,,,
2016-01-13,2.4,8.6,-2.0,0.0,8.8,,,,1.0,,,,,
2016-01-14,4.2,11.2,-0.6,0.0,8.8,,,,1.6,,,,,
2016-01-15,5.0,10.3,2.5,0.0,4.9,,,,1.8,,,,,
2016-01-16,5.6,10.9,0.6,0.0,8.6,,,,2.0,,,,,
2016-01-17,3.9,7.2,0.3,5.5,4.4,,,,1.9,,,,,
2016-01-18,2.2,7.2,0.2,52.0,1.9,,,,4.2,,,,,
2016-01-19,3.4,7.1,-0.4,0.0,9.3,,,,3.1,,,,,
2016-01-20,2.9,7.4,-1.8,0.0,7.8,,,,4.7,,,,,
2016-01-21,3.7,8.1,-1.7,0.0,8.3,,,,3.3,,,,,
2016-01-22,3.8,8.7,-0.2,0.0,8.9,,,,3.7,,,,,
2016-01-23,2.6,5.6,0.4,0.0,1.9,,,,2.3,,,,,
2016-01-24,1.2,6.1,-3.7,0.0,9.4,,,,3.0,,,,,
2016-01-25,0.9,7.2,-4.3,0.0,9.4,,,,1.7,,,,,
2016-01-26,2.3,9.0,-2.2,0.0,9.5,,,,1.5,,,,,
2016-01-27,4.4,12.6,-1.5,0.0,9.4,,,,1.6,,,,,
2016-01-28,6.2,13.7,0.9,0.0,9.4,,,,1.4,,,,,
2016-01-29,3.8,6.3,1.3,12.0,0.0,,,,2.0,,,,,
2016-01-30,2.3,4.0,0.6,3.5,0.0,,,,3.1,,,,,
2016-01-31,4.9,10.8,0.5,0.0,6.8,,,,1.6,,,,,
2016-02-01,3.0,4.7,0.8,0.0,0.0,,,,2.6,,,,,
2016-02-02,4.2,8.5,1.4,0.5,5.8,,,,3.6,,,,,
2016-02-03,3.2,8.3,0.1,0.0,3.6,,,,2.1,,,,,
2016-02-04,3.6,9.2,0.0,0.0,8.0,,,,1.6,,,,,
2016-02-05,5.4,12.7,-0.7,0.0,9.2,,,,1.3,,,,,
2016-02-06,5.3,9.3,0.8,5.0,1.7,,,,2.4,,,,,
2016-02-07,2.7,6.7,-0.6,1.5,8.0,,,,4.2,,,,,
2016-02-08,2.1,6.0,-0.5,0.0,4.3,,,,2.1,,,,,
2016-02-09,4.7,12.6,-1.4,0.0,8.7,,,,2.9,,,,,
2016-02-10,4.9,8.1,2.5,0.0,10.1,,,,7.2,,,,,
2016-02-11,4.3,10.5,0.1,0.0,10.1,,,,2.5,,,,,
2016-02-12,5.6,12.3,-0.4,0.0,5.1,,,,1.7,,,,,
2016-02-13,12.0,18.9,6.2,0.0,4.6,,,,2.1,,,,,
2016-02-14,16.5,22.0,11.4,10.5,5.2,,,,3.9,,,,,
2016-02-15,6.1,13.6,0.6,1.0,0.1,,,,5.8,,,,,
2016-02-16,3.0,9.0,-2.1,0.0,8.8,,,,2.0,,,,,
2016-02-17,3.6,9.8,-1.6,0.0,7.6,,,,3.8,,,,,
2016-02-18,3.8,11.1,-2.3,0.0,9.2,,,,1.7,,,,,
2016-02-19,7.0,16.3,0.0,0.0,9.8,,,,1.4,,,,,
2016-02-20,6.5,9.3,5.2,30.0,0.3,,,,2.5,,,,,
2016-02-21,7.8,12.7,4.6,0.0,3.8,,,,4.9,,,,,
2016-02-22,5.6,8.5,1.7,0.0,2.4,,,,2.4,,,,,
2016-02-23,5.5,8.5,3.1,0.0,0.0,,,,1.2,,,,,
2016-02-24,4.6,6.3,0.4,1.5,0.0,,,,4.6,,,,,
2016-02-25,2.0,5.4,-1.1,1.5,1.6,,,,,,,,,
2016-02-26,3.6,10.0,-1.7,0.0,7.9,,,,2.3,,,,,
2016-02-27,6.2,10.9,0.3,0.0,10.5,,,,3.8,,,,,
2016-02-28,7.0,14.1,0.8,1.0,8.8,,,,2.3,,,,,
2016-02-29,6.3,12.3,3.4,0.0,3.6,,,,3.1,,,,,
2016-03-01,3.7,8.0,0.9,0.0,10.7,,,,6.2,,,,,
2016-03-02,4.3,11.4,-2.3,0.0,8.9,,,,1.4,,,,,
2016-03-03,7.6,16.6,-0.4,0.0,10.8,,,,2.1,,,,,
2016-03-04,8.8,14.9,1.9,0.0,7.5,,,,1.8,,,,,
2016-03-05,9.5,14.7,5.5,0.0,2.0,,,,2.0,,,,,
2016-03-06,12.2,16.5,7.4,0.0,3.1,,,,2.6,,,,,
2016-03-07,11.4,14.7,10.1,15.5,0.0,,,,1.2,,,,,
2016-03-08,13.8,20.0,9.1,0.5,7.1,,,,1.8,,,,,
2016-03-09,7.5,13.6,3.1,21.5,0.0,,,,2.2,,,,,
2016-03-10,5.1,8.2,2.7,0.0,0.0,,,,2.7,,,,,
2016-03-11,3.2,4.4,1.7,2.5,0.0,,,,1.4,,,,,
2016-03-12,4.6,7.2,2.5,0.0,1.2,,,,2.1,,,,,
2016-03-13,5.4,7.9,3.4,0.0,0.2,,,,2.4,,,,,
2016-03-14,4.3,5.5,2.7,21.0,0.0,,,,4.2,,,,,
2016-03-15,6.5,11.3,0.9,0.0,11.4,,,,5.6,,,,,
2016-03-16,6.6,12.5,-0.2,0.0,2.9,,,,1.7,,,,,
2016-03-17,11.4,20.1,3.3,0.0,11.4,,,,1.9,,,,,
2016-03-18,12.9,19.0,4.9,0.0,5.9,,,,3.5,,,,,
2016-03-19,13.8,17.6,10.9,3.5,2.6,,,,3.6,,,,,
2016-03-20,12.1,15.8,9.0,0.0,7.1,,,,6.6,,,,,
2016-03-21,8.9,13.8,5.8,0.0,4.9,,,,3.4,,,,,
2016-03-22,8.6,15.1,1.9,0.0,11.1,,,,2.5,,,,,
2016-03-23,9.2,17.5,4.4,0.0,3.7,,,,2.4,,,,,
2016-03-24,5.3,8.2,3.5,0.0,1.6,,,,2.6,,,,,
2016-03-25,5.8,10.5,-0.4,0.0,6.6,,,,3.5,,,,,
2016-03-26,7.2,12.4,3.6,0.0,5.6,,,,2.4,,,,,
2016-03-27,9.5,15.1,5.8,0.0,4.1,,,,2.1,,,,,
2016-03-28,10.2,15.4,6.8,9.0,2.5,,,,2.7,,,,,
2016-03-29,11.0,17.0,4.6,0.5,8.3,,,,2.5,,,,,
2016-03-30,13.1,19.2,6.8,0.0,4.8,,,,2.2,,,,,
2016-03-31,13.5,18.6,6.5,0.0,9.5,,,,3.6,,,,,
2016-04-01,11.7,18.6,8.3,0.0,1.9,,,,2.6,,,,,
2016-04-02,9.5,11.2,8.0,0.0,0.0,,,,2.2,,,,,
2016-04-03,12.4,16.1,8.3,1.5,0.2,,,,3.0,,,,,
2016-04-04,13.5,18.6,8.7,7.0,0.3,,,,2.1,,,,,
2016-04-05,9.5,11.7,7.2,2.5,0.0,,,,1.5,,,,,
2016-04-06,13.2,19.6,5.8,0.0,9.2,,,,2.6,,,,,
2016-04-07,11.2,13.8,10.0,24.0,0.0,,,,1.8,,,,,
2016-04-08,15.5,19.2,12.0,0.0,2.6,,,,3.5,,,,,
2016-04-09,15.1,20.9,9.2,0.0,7.3,,,,3.3,,,,,
2016-04-10,15.4,22.3,9.9,0.0,2.7,,,,1.8,,,,,
2016-04-11,10.2,14.7,6.3,0.0,8.1,,,,7.3,,,,,
2016-04-12,9.3,14.6,3.9,0.0,10.7,,,,3.9,,,,,
2016-04-13,12.8,18.1,8.0,0.5,1.6,,,,2.9,,,,,
2016-04-14,14.5,19.1,11.9,19.0,1.4,,,,2.1,,,,,
2016-04-15,14.5,17.7,6.8,0.0,12.1,,,,6.4,,,,,
2016-04-16,13.2,20.5,5.6,0.0,6.7,,,,1.9,,,,,
2016-04-17,19.0,25.6,15.7,0.0,5.0,,,,6.7,,,,,
2016-04-18,17.3,23.4,13.0,0.0,6.4,,,,2.8,,,,,
2016-04-19,15.4,21.1,10.4,0.0,10.9,,,,2.6,,,,,
2016-04-20,13.6,17.9,8.3,0.0,11.2,,,,3.0,,,,,
2016-04-21,14.4,18.9,10.5,3.0,0.0,,,,2.9,,,,,
2016-04-22,16.7,23.8,11.5,0.0,7.4,,,,2.2,,,,,
2016-04-23,16.4,21.2,13.1,0.0,1.5,,,,1.9,,,,,
2016-04-24,14.6,17.9,11.4,3.5,0.4,,,,1.8,,,,,
2016-04-25,16.8,22.3,12.1,0.0,8.1,,,,2.0,,,,,
2016-04-26,17.5,24.2,11.5,0.0,11.7,,,,2.4,,,,,
2016-04-27,16.6,21.2,13.9,0.5,0.7,,,,2.1,,,,,
2016-04-28,13.7,14.7,12.6,22.5,0.0,,,,2.3,,,,,
2016-04-29,15.0,18.6,11.0,0.0,12.8,,,,7.3,,,,,
2016-04-30,14.3,20.0,8.7,0.0,11.5,,,,2.9,,,,,
