calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.4,10.4,1.8,1.0,7.2,10.76,,,3.3,6.1,1017.6,65,1029.1,4.3
2016-01-02,5.6,10.2,1.0,,5.9,9.29,,,1.7,7.1,1014.2,77,1025.8,6.7
2016-01-03,7.0,11.8,2.3,,7.9,10.24,,,1.5,8.4,1008.6,84,1020.0,9.3
2016-01-04,8.5,12.1,3.7,0.0,2.4,6.75,,,2.3,9.2,1007.3,84,1018.6,9.7
2016-01-05,8.3,12.9,4.6,0.0,2.5,5.98,,,3.1,8.3,1009.8,76,1021.2,7.7
2016-01-06,8.9,11.2,6.9,,2.0,7.01,,,2.1,8.2,1008.0,72,1019.3,10.0
2016-01-07,7.1,9.7,5.1,0.5,3.0,7.06,,,4.4,7.4,1005.7,74,1017.1,9.3
2016-01-08,6.2,9.2,2.5,0.0,3.7,6.93,,,2.7,6.3,1005.7,67,1017.1,9.7
2016-01-09,5.6,8.5,3.2,0.0,4.0,7.73,,,3.0,6.2,1009.4,68,1020.9,4.7
2016-01-10,6.2,10.3,2.0,0.0,4.3,7.68,,,3.9,5.7,1010.5,60,1022.0,7.7
2016-01-11,6.6,9.2,4.5,0.0,2.9,6.37,,,2.9,7.3,1008.4,74,1019.9,9.3
2016-01-12,5.7,8.5,2.9,0.0,3.0,5.76,,,3.7,6.3,1004.4,69,1015.8,7.0
2016-01-13,4.7,9.8,0.9,0.0,6.7,11.02,,,2.9,5.5,1004.2,66,1015.7,7.0
2016-01-14,4.7,9.9,0.9,,6.3,10.30,,,4.0,5.1,1005.5,60,1017.0,5.3
2016-01-15,4.5,8.2,2.1,0.0,3.6,8.18,,,3.5,5.8,1008.0,68,1019.5,9.3
2016-01-16,4.8,9.0,2.4,1.0,2.1,7.62,,,2.5,6.6,1010.3,77,1021.8,9.3
2016-01-17,4.4,8.0,0.5,1.0,3.5,7.25,,,1.9,6.3,1008.4,76,1019.9,10.0
2016-01-18,7.4,9.8,3.7,14.0,0.0,2.94,,,4.7,8.3,988.6,80,999.8,10.0
2016-01-19,2.4,5.5,-0.2,0.0,7.6,12.91,,,6.3,3.6,997.0,49,1008.5,5.3
2016-01-20,1.4,3.9,-2.1,19.5,0.0,1.98,9,10,5.0,5.6,1004.7,83,1016.3,10.0
2016-01-21,2.8,5.6,0.6,4.5,2.0,7.62,4,,2.9,6.0,1010.0,81,1021.7,10.0
2016-01-22,2.9,6.7,-0.5,0.0,6.1,12.18,1,,3.4,5.1,1011.4,69,1023.0,4.7
2016-01-23,2.1,4.9,-1.3,0.0,1.2,6.13,,,3.1,4.6,1007.8,66,1019.4,10.0
2016-01-24,-0.2,2.6,-3.5,0.0,7.6,13.56,,,7.1,2.5,1001.6,41,1013.3,3.0
2016-01-25,-0.7,3.5,-5.4,20.5,3.2,7.62,31,32,3.5,4.8,1010.1,83,1021.9,8.3
2016-01-26,0.9,5.6,-5.2,,7.8,13.48,17,,2.0,4.6,1014.1,71,1025.8,5.7
2016-01-27,3.9,9.1,-0.8,,6.5,11.87,8,,2.2,5.7,1016.6,72,1028.3,9.0
2016-01-28,4.0,8.7,-1.7,0.0,5.2,10.67,4,,1.2,6.3,1017.4,77,1029.1,6.7
2016-01-29,5.6,7.3,4.1,33.0,0.0,1.50,1,,1.1,8.5,1008.8,93,1020.3,10.0
2016-01-30,6.7,8.5,5.0,6.0,0.9,7.52,,,5.1,6.9,1008.4,70,1019.9,10.0
2016-01-31,7.1,10.9,4.7,0.0,8.4,13.81,,,3.6,5.8,1011.6,58,1023.1,4.0
2016-02-01,5.3,6.4,4.0,0.0,0.0,2.04,,,2.0,7.1,1009.0,79,1020.5,10.0
2016-02-02,5.0,9.0,3.3,0.0,8.8,14.61,,,3.8,5.4,1008.9,63,1020.4,6.7
2016-02-03,4.8,8.6,0.5,0.0,5.2,11.64,,,4.2,4.3,1012.2,51,1023.8,3.7
2016-02-04,4.0,9.8,-0.7,,5.9,12.75,,,1.9,5.1,1010.8,64,1022.4,9.3
2016-02-05,5.2,10.3,0.7,,7.9,13.45,,,2.1,5.6,1007.1,65,1018.6,6.3
2016-02-06,4.4,8.0,1.5,0.5,3.1,9.38,,,2.7,6.2,1004.0,75,1015.5,9.0
2016-02-07,3.7,6.7,-0.5,0.0,9.3,15.76,,,5.3,4.4,1007.1,55,1018.6,2.3
2016-02-08,3.0,8.1,-2.5,,10.2,16.00,,,2.3,4.6,1007.2,61,1018.8,3.7
2016-02-09,3.9,9.2,1.2,7.0,3.2,8.43,,,6.1,6.1,1003.8,75,1015.3,10.0
2016-02-10,4.1,7.5,1.1,2.5,4.0,10.30,,,5.1,5.2,1013.5,65,1025.1,5.7
2016-02-11,5.3,10.8,-0.3,,10.2,16.39,,,2.3,4.6,1019.0,54,1030.6,0.0
2016-02-12,6.3,11.3,0.8,,0.4,5.67,,,1.6,7.8,1018.1,81,1029.6,10.0
2016-02-13,10.3,15.3,7.9,18.5,0.3,6.37,,,1.2,11.3,1007.3,90,1018.6,7.3
2016-02-14,11.7,19.4,8.8,17.5,1.1,5.00,,,3.2,12.2,993.4,88,1004.5,10.0
2016-02-15,4.9,8.9,1.6,0.0,6.3,14.20,,,7.2,6.2,997.3,71,1008.7,4.7
2016-02-16,3.1,7.3,-0.2,1.5,6.2,13.88,2,2,3.1,4.8,1004.2,64,1015.7,3.7
2016-02-17,3.0,6.7,1.6,3.0,1.7,7.12,,,3.8,6.0,1008.5,80,1020.1,10.0
2016-02-18,4.6,9.5,0.0,,10.1,17.73,,,2.1,5.2,1014.3,64,1025.9,4.0
2016-02-19,7.5,13.5,1.6,,8.7,15.66,,,1.8,6.6,1016.5,65,1028.0,4.7
2016-02-20,7.4,8.8,6.1,22.0,0.0,1.78,,,2.1,8.7,1006.7,84,1018.1,10.0
2016-02-21,6.4,8.8,3.4,0.5,5.2,13.19,,,6.6,6.5,1011.3,68,1022.8,8.0
2016-02-22,5.9,8.3,4.4,0.0,1.2,9.43,,,2.5,5.2,1018.5,56,1030.1,10.0
