calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.7,9.4,1.4,4.5,4.7,,,,1.3,,,,,
2016-01-02,5.8,11.0,1.0,0.0,6.3,,,,1.0,,,,,
2016-01-03,6.4,10.7,2.3,0.0,5.1,,,,0.6,,,,,
2016-01-04,8.5,13.0,4.1,0.0,1.7,,,,1.1,,,,,
2016-01-05,7.9,11.7,3.3,0.0,2.4,,,,1.0,,,,,
2016-01-06,8.4,9.9,7.3,0.0,2.1,,,,1.1,,,,,
2016-01-07,7.4,9.8,4.6,0.0,3.2,,,,1.9,,,,,
2016-01-08,5.9,10.0,1.4,0.0,2.5,,,,1.2,,,,,
2016-01-09,5.6,8.0,3.7,0.0,2.9,,,,2.1,,,,,
2016-01-10,7.1,9.8,2.7,0.0,4.8,,,,1.8,,,,,
2016-01-11,6.4,8.8,4.2,0.0,4.9,,,,1.3,,,,,
2016-01-12,5.4,8.7,2.4,0.0,4.4,,,,2.0,,,,,
2016-01-13,4.6,8.9,0.2,0.0,5.6,,,,1.7,,,,,
2016-01-14,4.8,9.0,0.8,0.0,7.2,,,,2.0,,,,,
2016-01-15,5.1,8.8,1.5,0.0,8.4,,,,2.6,,,,,
2016-01-16,4.8,8.8,1.6,0.0,4.0,,,,1.6,,,,,
2016-01-17,3.9,6.4,0.4,6.5,2.7,,,,0.8,,,,,
2016-01-18,7.8,11.6,3.4,19.5,1.3,,,,2.6,,,,,
2016-01-19,1.4,3.7,-0.9,0.0,5.6,,,,2.7,,,,,
2016-01-20,1.2,5.2,-1.0,30.5,0.6,,,,2.6,,,,,
2016-01-21,2.2,4.3,0.2,6.5,1.0,,,,,,,,,
2016-01-22,2.6,5.5,0.3,0.5,6.1,,,,1.8,,,,,
2016-01-23,2.3,4.8,-0.8,0.0,1.1,,,,1.9,,,,,
2016-01-24,-1.3,2.1,-4.4,0.0,8.6,,,,3.9,,,,,
2016-01-25,-0.3,3.7,-4.6,3.5,6.4,,,,2.8,,,,,
2016-01-26,0.7,4.9,-5.6,0.0,6.3,,,,1.0,,,,,
2016-01-27,5.3,9.4,-0.2,0.0,5.6,,,,1.6,,,,,
2016-01-28,4.6,8.4,-0.6,0.0,3.3,,,,0.8,,,,,
