calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.8,10.8,0.0,0.5,7.3,,,,1.5,,,,,
2016-01-02,4.7,11.1,-0.7,0.0,4.0,,,,0.8,,,,,
2016-01-03,6.3,13.5,0.9,0.0,7.6,,,,0.9,,,,,
2016-01-04,7.7,12.4,2.1,0.0,1.0,,,,1.1,,,,,
2016-01-05,7.3,11.1,3.4,1.5,1.7,,,,1.2,,,,,
2016-01-06,7.6,11.4,4.6,0.0,1.7,,,,0.8,,,,,
2016-01-07,5.7,10.0,3.0,6.5,2.9,,,,1.7,,,,,
2016-01-08,4.7,9.6,0.5,1.0,3.8,,,,1.1,,,,,
2016-01-09,3.8,8.3,0.8,2.0,3.2,,,,1.1,,,,,
2016-01-10,4.7,9.7,-0.2,0.5,3.8,,,,1.4,,,,,
2016-01-11,5.6,9.9,3.5,5.0,2.6,,,,1.4,,,,,
2016-01-12,4.4,8.0,1.3,0.5,5.4,,,,1.9,,,,,
2016-01-13,4.0,9.5,-0.4,0.0,6.2,,,,1.5,,,,,
2016-01-14,3.5,9.6,-1.1,0.0,6.5,,,,1.8,,,,,
2016-01-15,2.8,7.0,0.3,1.5,3.9,,,,1.6,,,,,
2016-01-16,3.0,8.1,-0.2,2.5,1.1,,,,1.3,,,,,
2016-01-17,4.0,8.2,-1.1,1.0,1.8,,,,1.1,,,,,
2016-01-18,6.7,9.2,3.4,17.0,0.1,,,,2.5,,,,,
2016-01-19,1.7,4.4,-1.4,,6.7,,,,3.4,,,,,
2016-01-20,1.6,4.9,-1.5,,0.7,,,,2.5,,,,,
2016-01-21,2.4,6.4,0.1,,2.8,,,,1.3,,,,,
2016-01-22,1.9,7.6,-2.3,0.0,6.7,,,,1.7,,,,,
2016-01-23,1.4,5.4,-2.0,,2.2,,,,1.0,,,,,
2016-01-24,-0.9,1.8,-4.5,,8.8,,,,3.2,,,,,
2016-01-25,-1.7,1.6,-5.4,,0.9,,,,1.2,,,,,
2016-01-26,-0.6,4.7,-7.5,,6.9,,,,0.8,,,,,
2016-01-27,2.4,9.2,-1.9,0.0,5.7,,,,1.0,,,,,
2016-01-28,3.0,8.8,-3.2,0.0,4.7,,,,0.7,,,,,
2016-01-29,4.9,6.4,3.0,37.5,0.0,,,,0.8,,,,,
2016-01-30,5.7,8.6,3.4,5.0,1.0,,,,2.6,,,,,
2016-01-31,6.3,10.2,2.7,0.0,7.9,,,,1.9,,,,,
2016-02-01,4.4,7.1,2.7,0.0,0.0,,,,1.4,,,,,
