calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.2,8.5,-0.9,1.5,5.0,,,,1.7,,,,,
2016-01-02,4.0,11.7,-2.3,0.0,7.2,,,,1.0,,,,,
2016-01-03,6.7,14.8,1.4,0.0,7.9,,,,0.8,,,,,
2016-01-04,7.5,14.7,1.1,0.0,5.3,,,,1.6,,,,,
2016-01-05,5.9,10.9,0.4,0.0,2.8,,,,1.3,,,,,
2016-01-06,6.8,11.7,4.2,0.0,3.4,,,,0.8,,,,,
2016-01-07,4.1,9.8,0.9,0.0,2.4,,,,1.2,,,,,
2016-01-08,3.6,7.9,-1.4,0.0,2.3,,,,1.5,,,,,
2016-01-09,3.3,9.7,-1.6,0.0,7.5,,,,1.1,,,,,
2016-01-10,3.5,9.1,-2.5,0.0,6.3,,,,1.9,,,,,
2016-01-11,4.2,9.4,-0.5,0.0,2.6,,,,0.9,,,,,
2016-01-12,2.9,7.8,-2.1,0.0,2.0,,,,0.6,,,,,
2016-01-13,2.5,7.4,-2.9,0.0,4.9,,,,1.7,,,,,
2016-01-14,2.4,8.3,-3.5,0.0,5.1,,,,1.7,,,,,
2016-01-15,1.6,8.3,-2.4,0.0,5.2,,,,0.8,,,,,
2016-01-16,1.0,6.7,-2.7,0.0,1.7,,,,0.7,,,,,
2016-01-17,3.0,8.5,-3.5,7.0,4.0,,,,1.7,,,,,
2016-01-18,6.5,9.3,3.4,10.5,0.5,,,,4.9,,,,,
2016-01-19,0.3,3.4,-2.2,0.0,6.2,,,,6.4,,,,,
2016-01-20,-0.4,1.1,-2.7,7.5,0.0,,,,4.0,,,,,
2016-01-21,0.6,2.8,-0.7,0.0,1.3,,,,,,,,,
2016-01-22,0.7,4.7,-3.6,0.0,7.1,,,,0.9,,,,,
2016-01-23,-0.1,3.4,-3.9,0.0,0.0,,,,1.3,,,,,
2016-01-24,-2.5,0.4,-6.0,0.0,8.5,,,,4.4,,,,,
