calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,0,0,,,,,,
2016-01-02,,,,0.0,,,0,0,,,,,,
2016-01-03,,,,0.0,,,0,0,,,,,,
2016-01-04,,,,0.0,,,0,0,,,,,,
2016-01-05,,,,18.0,,,0,0,,,,,,
2016-01-06,,,,0.0,,,0,0,,,,,,
2016-01-07,,,,25.5,,,0,0,,,,,,
2016-01-08,,,,2.5,,,0,0,,,,,,
2016-01-09,,,,13.0,,,0,0,,,,,,
2016-01-10,,,,13.0,,,0,0,,,,,,
2016-01-11,,,,8.0,,,0,0,,,,,,
2016-01-12,,,,0.0,,,0,0,,,,,,
2016-01-13,,,,4.0,,,0,0,,,,,,
2016-01-14,,,,4.5,,,0,0,,,,,,
2016-01-15,,,,42.5,,,9,12,,,,,,
2016-01-16,,,,10.0,,,11,2,,,,,,
2016-01-17,,,,5.0,,,7,0,,,,,,
2016-01-18,,,,29.5,,,6,0,,,,,,
2016-01-19,,,,1.0,,,2,2,,,,,,
2016-01-20,,,,29.5,,,12,12,,,,,,
2016-01-21,,,,4.5,,,11,8,,,,,,
2016-01-22,,,,0.0,,,8,0,,,,,,
2016-01-23,,,,9.0,,,13,7,,,,,,
2016-01-24,,,,2.5,,,15,3,,,,,,
2016-01-25,,,,48.5,,,62,48,,,,,,
2016-01-26,,,,0.0,,,61,1,,,,,,
2016-01-27,,,,0.0,,,47,0,,,,,,
2016-01-28,,,,0.0,,,34,0,,,,,,
2016-01-29,,,,39.5,,,28,0,,,,,,
2016-01-30,,,,4.5,,,19,0,,,,,,
2016-01-31,,,,0.0,,,14,1,,,,,,
2016-02-01,,,,4.0,,,12,0,,,,,,
2016-02-02,,,,0.0,,,10,0,,,,,,
2016-02-03,,,,0.0,,,8,1,,,,,,
2016-02-04,,,,0.5,,,7,0,,,,,,
2016-02-05,,,,2.0,,,5,0,,,,,,
2016-02-06,,,,12.0,,,4,5,,,,,,
2016-02-07,,,,0.0,,,3,1,,,,,,
2016-02-08,,,,0.0,,,1,1,,,,,,
2016-02-09,,,,23.0,,,2,3,,,,,,
2016-02-10,,,,1.5,,,4,4,,,,,,
2016-02-11,,,,0.0,,,2,1,,,,,,
2016-02-12,,,,0.0,,,1,1,,,,,,
2016-02-13,,,,30.0,,,0,0,,,,,,
2016-02-14,,,,35.5,,,0,0,,,,,,
2016-02-15,,,,10.5,,,0,0,,,,,,
2016-02-16,,,,10.5,,,13,13,,,,,,
2016-02-17,,,,16.0,,,11,11,,,,,,
2016-02-18,,,,0.0,,,8,1,,,,,,
2016-02-19,,,,0.0,,,4,1,,,,,,
2016-02-20,,,,26.5,,,0,0,,,,,,
2016-02-21,,,,9.0,,,0,0,,,,,,
2016-02-22,,,,0.0,,,0,0,,,,,,
2016-02-23,,,,2.0,,,0,0,,,,,,
2016-02-24,,,,0.5,,,0,0,,,,,,
2016-02-25,,,,9.5,,,4,6,,,,,,
2016-02-26,,,,14.5,,,7,6,,,,,,
2016-02-27,,,,5.0,,,7,0,,,,,,
2016-02-28,,,,0.0,,,1,0,,,,,,
2016-02-29,,,,21.5,,,8,8,,,,,,
2016-03-01,,,,2.0,,,9,3,,,,,,
2016-03-02,,,,6.5,,,13,10,,,,,,
2016-03-03,,,,0.0,,,2,1,,,,,,
2016-03-04,,,,0.0,,,1,1,,,,,,
2016-03-05,,,,1.0,,,0,0,,,,,,
2016-03-06,,,,0.0,,,0,0,,,,,,
2016-03-07,,,,1.0,,,0,0,,,,,,
2016-03-08,,,,0.0,,,0,0,,,,,,
2016-03-09,,,,22.0,,,0,0,,,,,,
2016-03-10,,,,0.0,,,0,0,,,,,,
2016-03-11,,,,0.0,,,0,0,,,,,,
2016-03-12,,,,0.0,,,0,0,,,,,,
2016-03-13,,,,2.0,,,0,0,,,,,,
2016-03-14,,,,6.5,,,0,0,,,,,,
2016-03-15,,,,1.0,,,0,0,,,,,,
2016-03-16,,,,0.0,,,0,0,,,,,,
2016-03-17,,,,0.0,,,0,0,,,,,,
2016-03-18,,,,8.0,,,0,0,,,,,,
2016-03-19,,,,27.5,,,0,0,,,,,,
2016-03-20,,,,0.5,,,0,0,,,,,,
2016-03-21,,,,0.0,,,0,0,,,,,,
2016-03-22,,,,0.0,,,0,0,,,,,,
2016-03-23,,,,0.0,,,0,0,,,,,,
2016-03-24,,,,0.0,,,0,0,,,,,,
2016-03-25,,,,2.0,,,0,0,,,,,,
2016-03-26,,,,0.0,,,0,0,,,,,,
2016-03-27,,,,0.0,,,0,0,,,,,,
2016-03-28,,,,2.0,,,0,0,,,,,,
2016-03-29,,,,0.0,,,0,0,,,,,,
2016-03-30,,,,2.0,,,0,0,,,,,,
2016-03-31,,,,0.0,,,0,0,,,,,,
2016-04-01,,,,0.0,,,0,0,,,,,,
2016-04-02,,,,0.0,,,0,0,,,,,,
2016-04-03,,,,1.5,,,0,0,,,,,,
2016-04-04,,,,17.5,,,0,0,,,,,,
2016-04-05,,,,0.0,,,0,0,,,,,,
2016-04-06,,,,0.0,,,0,0,,,,,,
2016-04-07,,,,41.5,,,0,0,,,,,,
2016-04-08,,,,0.5,,,0,0,,,,,,
2016-04-09,,,,0.0,,,0,0,,,,,,
2016-04-10,,,,0.0,,,0,0,,,,,,
2016-04-11,,,,0.0,,,0,0,,,,,,
2016-04-12,,,,0.0,,,0,0,,,,,,
2016-04-13,,,,27.0,,,0,0,,,,,,
2016-04-14,,,,2.5,,,0,0,,,,,,
2016-04-15,,,,0.0,,,0,0,,,,,,
2016-04-16,,,,0.0,,,0,0,,,,,,
2016-04-17,,,,10.0,,,0,0,,,,,,
2016-04-18,,,,0.0,,,0,0,,,,,,
2016-04-19,,,,0.0,,,0,0,,,,,,
2016-04-20,,,,0.0,,,0,0,,,,,,
2016-04-21,,,,55.0,,,0,0,,,,,,
2016-04-22,,,,9.0,,,0,0,,,,,,
2016-04-23,,,,1.0,,,0,0,,,,,,
2016-04-24,,,,0.0,,,0,0,,,,,,
2016-04-25,,,,0.0,,,0,0,,,,,,
2016-04-26,,,,0.0,,,0,0,,,,,,
2016-04-27,,,,3.5,,,0,0,,,,,,
2016-04-28,,,,27.0,,,0,0,,,,,,
2016-04-29,,,,0.0,,,0,0,,,,,,
2016-04-30,,,,0.0,,,0,0,,,,,,
2016-05-01,,,,0.0,,,0,0,,,,,,
2016-05-02,,,,0.0,,,0,0,,,,,,
2016-05-03,,,,7.0,,,0,0,,,,,,
2016-05-04,,,,16.0,,,0,0,,,,,,
2016-05-05,,,,0.0,,,0,0,,,,,,
2016-05-06,,,,11.0,,,0,0,,,,,,
2016-05-07,,,,3.5,,,0,0,,,,,,
2016-05-08,,,,0.0,,,0,0,,,,,,
2016-05-09,,,,19.0,,,0,0,,,,,,
2016-05-10,,,,21.5,,,0,0,,,,,,
2016-05-11,,,,49.5,,,0,0,,,,,,
2016-05-12,,,,0.5,,,0,0,,,,,,
2016-05-13,,,,0.0,,,0,0,,,,,,
2016-05-14,,,,0.0,,,0,0,,,,,,
2016-05-15,,,,0.0,,,0,0,,,,,,
2016-05-16,,,,31.5,,,0,0,,,,,,
2016-05-17,,,,4.0,,,0,0,,,,,,
2016-05-18,,,,0.0,,,0,0,,,,,,
2016-05-19,,,,0.0,,,0,0,,,,,,
2016-05-20,,,,0.0,,,0,0,,,,,,
2016-05-21,,,,0.0,,,0,0,,,,,,
2016-05-22,,,,0.0,,,0,0,,,,,,
2016-05-23,,,,0.0,,,0,0,,,,,,
2016-05-24,,,,0.0,,,0,0,,,,,,
2016-05-25,,,,0.0,,,0,0,,,,,,
2016-05-26,,,,0.0,,,0,0,,,,,,
2016-05-27,,,,4.5,,,0,0,,,,,,
2016-05-28,,,,0.0,,,0,0,,,,,,
2016-05-29,,,,9.5,,,0,0,,,,,,
2016-05-30,,,,8.5,,,0,0,,,,,,
2016-05-31,,,,0.0,,,0,0,,,,,,
2016-06-01,,,,0.0,,,0,0,,,,,,
2016-06-02,,,,0.0,,,0,0,,,,,,
2016-06-03,,,,0.0,,,0,0,,,,,,
2016-06-04,,,,1.5,,,0,0,,,,,,
2016-06-05,,,,2.0,,,0,0,,,,,,
2016-06-06,,,,0.0,,,0,0,,,,,,
2016-06-07,,,,1.5,,,0,0,,,,,,
2016-06-08,,,,0.0,,,0,0,,,,,,
2016-06-09,,,,0.0,,,0,0,,,,,,
2016-06-10,,,,0.0,,,0,0,,,,,,
2016-06-11,,,,0.0,,,0,0,,,,,,
2016-06-12,,,,7.0,,,0,0,,,,,,
2016-06-13,,,,26.0,,,0,0,,,,,,
2016-06-14,,,,0.0,,,0,0,,,,,,
2016-06-15,,,,0.0,,,0,0,,,,,,
2016-06-16,,,,22.0,,,0,0,,,,,,
2016-06-17,,,,6.5,,,0,0,,,,,,
2016-06-18,,,,0.0,,,0,0,,,,,,
2016-06-19,,,,7.0,,,0,0,,,,,,
2016-06-20,,,,0.0,,,0,0,,,,,,
2016-06-21,,,,10.5,,,0,0,,,,,,
2016-06-22,,,,24.0,,,0,0,,,,,,
2016-06-23,,,,28.0,,,0,0,,,,,,
2016-06-24,,,,11.0,,,0,0,,,,,,
2016-06-25,,,,17.5,,,0,0,,,,,,
2016-06-26,,,,0.0,,,0,0,,,,,,
2016-06-27,,,,7.5,,,0,0,,,,,,
2016-06-28,,,,8.5,,,0,0,,,,,,
2016-06-29,,,,9.5,,,0,0,,,,,,
2016-06-30,,,,3.5,,,0,0,,,,,,
2016-07-01,,,,0.0,,,0,0,,,,,,
