calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.2,11.9,1.4,0.0,5.4,,,,1.7,,,,,
2016-01-02,11.3,14.0,8.4,0.0,3.8,,,,3.1,,,,,
2016-01-03,11.1,15.2,7.0,0.0,4.8,,,,1.3,,,,,
2016-01-04,10.5,13.6,5.2,0.0,0.4,,,,2.1,,,,,
2016-01-05,8.1,11.2,2.7,1.0,0.9,,,,1.8,,,,,
2016-01-06,7.4,11.1,2.7,0.0,1.5,,,,2.0,,,,,
2016-01-07,6.7,8.8,4.7,2.0,0.0,,,,2.0,,,,,
2016-01-08,5.5,6.6,4.2,5.5,0.0,,,,2.9,,,,,
2016-01-09,6.1,8.3,2.0,0.0,0.9,,,,2.6,,,,,
2016-01-10,7.4,9.3,4.6,0.0,0.4,,,,3.2,,,,,
2016-01-11,6.6,9.9,4.4,0.0,1.5,,,,1.5,,,,,
2016-01-12,3.8,5.1,2.0,3.5,0.0,,,,1.4,,,,,
2016-01-13,3.2,5.0,1.3,18.5,0.0,,,,2.6,,,,,
2016-01-14,4.6,5.5,2.2,1.5,0.0,,,,4.5,,,,,
2016-01-15,3.8,6.2,-0.8,0.5,1.0,,,,1.9,,,,,
2016-01-16,3.8,9.8,-1.9,0.5,6.0,,,,1.3,,,,,
2016-01-17,3.9,6.8,0.6,15.5,0.0,,,,2.1,,,,,
2016-01-18,5.0,9.8,1.5,21.5,0.1,,,,5.2,,,,,
2016-01-19,0.1,1.7,-1.9,1.0,1.1,,,,8.7,,,,,
2016-01-20,1.9,4.5,0.3,16.5,0.4,,,,3.0,,,,,
2016-01-21,2.4,4.5,0.6,6.5,0.0,,,,1.0,,,,,
2016-01-22,2.7,6.6,0.4,6.0,2.6,,,,2.4,,,,,
2016-01-23,1.9,4.8,-0.6,10.5,0.0,,,,4.1,,,,,
2016-01-24,-3.2,-0.3,-5.3,4.5,0.0,,,,6.8,,,,,
2016-01-25,0.8,2.7,-1.0,2.0,0.4,,,,3.8,,,,,
2016-01-26,3.2,6.0,0.1,1.0,0.0,,,,2.7,,,,,
2016-01-27,7.0,9.1,4.1,0.0,0.7,,,,2.8,,,,,
2016-01-28,5.8,7.6,2.1,7.0,0.0,,,,1.5,,,,,
2016-01-29,6.9,8.2,5.1,38.5,0.0,,,,3.8,,,,,
2016-01-30,7.1,11.0,5.6,3.5,2.6,,,,4.1,,,,,
2016-01-31,6.2,9.9,1.9,1.5,2.9,,,,2.1,,,,,
2016-02-01,4.6,6.7,3.2,8.5,0.1,,,,2.3,,,,,
2016-02-02,3.7,7.0,1.6,0.5,1.7,,,,2.9,,,,,
2016-02-03,4.3,9.3,1.0,0.0,4.0,,,,2.2,,,,,
2016-02-04,6.5,8.8,3.2,0.0,3.2,,,,3.3,,,,,
2016-02-05,6.6,9.5,2.7,0.0,2.4,,,,2.5,,,,,
2016-02-06,4.2,8.2,1.3,4.0,3.3,,,,2.3,,,,,
2016-02-07,1.1,5.9,-2.7,9.0,5.5,,,,1.7,,,,,
2016-02-08,3.9,9.1,-2.4,0.0,2.7,,,,3.4,,,,,
2016-02-09,6.8,10.2,4.7,0.0,1.4,,,,5.4,,,,,
2016-02-10,3.9,10.4,-1.5,0.0,8.1,,,,1.6,,,,,
2016-02-11,4.6,13.1,-2.1,0.0,9.6,,,,2.3,,,,,
2016-02-12,11.0,18.0,-0.1,0.0,3.2,,,,4.4,,,,,
2016-02-13,16.0,19.4,12.1,17.0,0.9,,,,4.0,,,,,
2016-02-14,10.9,18.9,5.4,26.5,0.0,,,,5.3,,,,,
2016-02-15,2.6,5.4,0.4,16.5,0.2,,,,4.0,,,,,
2016-02-16,2.4,4.7,0.5,8.5,0.7,,,,4.6,,,,,
2016-02-17,3.5,6.0,0.8,2.0,1.5,,,,3.6,,,,,
2016-02-18,5.7,10.6,-0.7,0.0,7.6,,,,2.2,,,,,
2016-02-19,9.4,13.5,4.8,0.5,6.1,,,,2.6,,,,,
2016-02-20,7.0,8.5,5.5,29.0,0.0,,,,2.1,,,,,
2016-02-21,4.7,8.1,-1.1,0.0,2.2,,,,2.8,,,,,
2016-02-22,4.1,9.7,-2.1,0.0,2.9,,,,1.3,,,,,
2016-02-23,6.4,10.1,3.1,0.0,0.4,,,,1.5,,,,,
2016-02-24,2.3,5.4,0.1,2.0,0.8,,,,3.8,,,,,
2016-02-25,1.3,6.3,-2.6,0.5,2.6,,,,1.9,,,,,
2016-02-26,4.6,9.1,-2.8,1.0,4.0,,,,2.8,,,,,
2016-02-27,6.3,12.3,3.2,7.5,1.4,,,,2.1,,,,,
2016-02-28,9.0,14.9,2.1,1.0,7.5,,,,2.8,,,,,
2016-02-29,3.6,11.1,-0.5,41.5,0.9,,,,4.6,,,,,
2016-03-01,1.8,3.9,-1.7,1.0,0.7,,,,1.7,,,,,
2016-03-02,7.0,10.5,3.0,0.0,8.4,,,,3.2,,,,,
2016-03-03,9.6,14.4,4.3,0.0,9.7,,,,2.5,,,,,
2016-03-04,9.6,16.8,2.8,11.5,0.6,,,,1.3,,,,,
2016-03-05,15.7,22.2,7.9,0.0,10.1,,,,3.0,,,,,
2016-03-06,16.4,18.6,12.4,7.0,0.0,,,,3.6,,,,,
2016-03-07,12.8,17.6,9.1,0.0,6.8,,,,3.1,,,,,
