calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.2,12.0,0.5,0.0,4.6,,,,2.4,,,,,
2016-01-02,12.3,13.5,10.8,0.0,6.5,,,,4.9,,,,,
2016-01-03,10.7,14.5,4.1,0.0,7.2,,,,2.1,,,,,
2016-01-04,10.3,14.0,3.9,0.0,3.8,,,,2.7,,,,,
2016-01-05,8.3,10.9,4.4,0.0,0.7,,,,1.4,,,,,
2016-01-06,6.8,11.1,3.0,0.0,2.4,,,,1.1,,,,,
2016-01-07,7.3,8.2,6.2,0.0,0.9,,,,2.2,,,,,
2016-01-08,6.5,8.1,2.0,0.0,3.5,,,,3.1,,,,,
2016-01-09,6.0,9.1,2.3,0.5,1.4,,,,2.7,,,,,
2016-01-10,7.1,8.4,3.7,0.0,1.0,,,,3.1,,,,,
2016-01-11,5.1,9.5,0.9,1.0,2.0,,,,1.3,,,,,
2016-01-12,4.7,7.0,2.5,0.5,1.0,,,,2.6,,,,,
2016-01-13,4.7,7.1,0.8,0.5,4.3,,,,3.7,,,,,
2016-01-14,5.0,6.3,3.2,0.0,0.9,,,,4.8,,,,,
2016-01-15,5.5,7.3,1.6,0.0,2.1,,,,2.3,,,,,
2016-01-16,5.8,8.6,2.8,0.5,3.6,,,,1.1,,,,,
2016-01-17,6.0,9.5,0.6,12.0,0.0,,,,2.2,,,,,
2016-01-18,6.2,9.8,0.3,26.0,0.4,,,,4.5,,,,,
2016-01-19,-0.8,1.4,-2.7,2.0,0.1,,,,8.1,,,,,
2016-01-20,4.3,5.8,0.4,2.5,1.8,,,,3.2,,,,,
2016-01-21,3.4,4.6,1.5,16.0,0.0,,,,1.3,,,,,
2016-01-22,3.4,5.8,1.5,1.0,1.5,,,,2.5,,,,,
2016-01-23,2.6,6.1,-0.3,4.5,0.7,,,,3.7,,,,,
2016-01-24,-2.7,0.5,-5.2,1.5,1.1,,,,5.6,,,,,
2016-01-25,1.8,4.0,-0.5,1.5,4.0,,,,3.0,,,,,
2016-01-26,5.1,6.3,2.3,0.0,0.5,,,,4.1,,,,,
2016-01-27,6.3,8.7,2.3,0.0,4.7,,,,3.2,,,,,
2016-01-28,5.2,9.7,-0.5,5.5,0.0,,,,1.0,,,,,
2016-01-29,7.2,9.0,5.0,27.5,0.0,,,,3.7,,,,,
2016-01-30,6.2,7.7,4.8,1.0,0.0,,,,3.4,,,,,
2016-01-31,6.3,10.1,2.5,1.0,3.5,,,,2.0,,,,,
2016-02-01,4.1,5.3,3.0,3.5,0.0,,,,3.2,,,,,
2016-02-02,3.7,4.5,2.9,3.0,0.0,,,,2.7,,,,,
2016-02-03,3.4,7.0,-0.6,0.5,0.2,,,,1.2,,,,,
2016-02-04,4.7,7.9,0.3,0.0,2.7,,,,2.6,,,,,
2016-02-05,4.3,9.2,-2.0,0.0,4.0,,,,1.4,,,,,
2016-02-06,4.7,6.8,1.4,0.5,3.6,,,,2.4,,,,,
2016-02-07,1.6,5.3,-3.7,0.0,4.1,,,,1.9,,,,,
2016-02-08,3.4,7.7,-3.9,1.5,0.5,,,,2.9,,,,,
2016-02-09,6.2,9.5,3.6,1.5,1.5,,,,5.1,,,,,
2016-02-10,3.7,8.2,-1.9,0.0,5.2,,,,1.1,,,,,
2016-02-11,5.2,10.0,-3.0,0.0,8.9,,,,2.0,,,,,
2016-02-12,12.0,18.0,3.2,0.0,4.1,,,,1.6,,,,,
2016-02-13,14.1,18.0,10.3,9.5,2.5,,,,1.5,,,,,
2016-02-14,10.5,17.8,6.3,5.0,0.1,,,,5.1,,,,,
2016-02-15,2.8,6.4,0.7,9.0,0.8,,,,2.6,,,,,
2016-02-16,2.8,5.1,0.9,0.5,1.4,,,,4.3,,,,,
2016-02-17,3.3,5.7,-0.8,3.0,2.3,,,,2.8,,,,,
2016-02-18,7.0,10.0,-1.2,0.0,0.2,,,,3.4,,,,,
2016-02-19,9.8,12.5,6.4,0.0,7.8,,,,3.7,,,,,
2016-02-20,7.7,10.1,6.4,23.5,0.0,,,,1.5,,,,,
2016-02-21,4.7,6.5,-0.3,0.0,3.9,,,,2.9,,,,,
2016-02-22,3.6,8.8,-2.4,0.0,3.6,,,,0.7,,,,,
2016-02-23,6.9,10.6,2.3,2.5,0.4,,,,2.0,,,,,
2016-02-24,2.8,4.5,1.2,0.0,1.7,,,,3.8,,,,,
2016-02-25,2.9,6.4,-0.6,0.0,2.5,,,,2.2,,,,,
2016-02-26,5.4,8.2,0.4,0.5,5.0,,,,4.1,,,,,
2016-02-27,6.2,11.7,0.0,11.5,2.3,,,,2.5,,,,,
2016-02-28,8.3,13.4,-0.8,8.0,2.5,,,,2.2,,,,,
2016-02-29,3.7,8.7,-0.5,9.0,1.4,,,,4.7,,,,,
2016-03-01,2.4,4.7,0.3,0.5,2.7,,,,2.5,,,,,
2016-03-02,7.5,10.6,0.5,0.0,7.5,,,,3.3,,,,,
2016-03-03,9.9,13.3,3.7,0.0,10.3,,,,3.1,,,,,
2016-03-04,9.9,16.0,2.7,1.0,5.2,,,,0.8,,,,,
2016-03-05,13.8,19.2,8.3,0.5,9.1,,,,1.1,,,,,
2016-03-06,14.7,16.3,11.6,15.0,0.0,,,,1.8,,,,,
2016-03-07,11.4,14.0,8.7,0.0,5.3,,,,2.2,,,,,
2016-03-08,10.0,13.6,7.1,0.0,1.2,,,,1.3,,,,,
2016-03-09,6.4,7.6,5.4,6.0,0.0,,,,2.8,,,,,
2016-03-10,5.0,7.0,3.4,1.0,0.0,,,,2.8,,,,,
2016-03-11,4.0,6.4,0.1,0.0,2.8,,,,1.8,,,,,
2016-03-12,2.6,7.8,-1.5,0.0,5.7,,,,0.8,,,,,
2016-03-13,4.7,9.0,-1.4,2.0,0.0,,,,0.9,,,,,
2016-03-14,7.0,10.4,3.6,0.5,4.5,,,,2.2,,,,,
2016-03-15,5.8,10.8,-0.4,0.0,8.9,,,,1.9,,,,,
2016-03-16,8.6,15.0,-1.1,0.0,7.6,,,,1.8,,,,,
2016-03-17,13.2,18.4,7.8,0.0,9.9,,,,2.2,,,,,
2016-03-18,12.0,16.1,7.4,8.5,0.0,,,,1.1,,,,,
2016-03-19,11.4,13.5,8.4,3.0,4.8,,,,2.3,,,,,
2016-03-20,8.5,10.8,6.7,0.0,6.6,,,,2.9,,,,,
2016-03-21,6.5,10.5,0.4,0.0,9.6,,,,1.8,,,,,
2016-03-22,8.8,14.8,-0.3,0.0,4.6,,,,2.5,,,,,
2016-03-23,8.4,10.8,3.5,0.0,0.2,,,,2.7,,,,,
2016-03-24,7.3,10.2,5.5,0.0,6.7,,,,3.7,,,,,
2016-03-25,5.4,8.6,0.0,0.0,7.9,,,,2.3,,,,,
2016-03-26,4.2,11.5,-2.8,0.0,11.4,,,,1.0,,,,,
2016-03-27,6.8,13.9,0.3,0.0,7.4,,,,1.2,,,,,
2016-03-28,7.8,15.3,0.6,0.0,7.8,,,,1.1,,,,,
2016-03-29,12.8,16.4,2.9,0.0,4.2,,,,4.0,,,,,
2016-03-30,12.9,17.2,4.5,2.0,5.7,,,,3.1,,,,,
2016-03-31,11.9,18.2,4.8,0.0,5.9,,,,1.5,,,,,
2016-04-01,13.6,17.9,7.2,0.0,3.6,,,,2.5,,,,,
2016-04-02,14.2,19.9,6.9,0.0,9.5,,,,1.5,,,,,
2016-04-03,16.5,21.7,10.8,6.0,3.5,,,,1.6,,,,,
2016-04-04,10.8,13.3,8.3,9.0,0.0,,,,1.9,,,,,
2016-04-05,11.7,16.4,3.2,0.0,8.3,,,,1.8,,,,,
2016-04-06,15.3,19.3,12.3,0.0,7.8,,,,2.0,,,,,
2016-04-07,13.4,17.7,10.6,77.5,0.0,,,,3.0,,,,,
2016-04-08,14.7,18.9,8.1,0.0,10.0,,,,2.2,,,,,
2016-04-09,16.7,21.4,10.7,0.0,10.1,,,,2.7,,,,,
2016-04-10,14.7,18.2,9.5,0.0,4.0,,,,2.5,,,,,
2016-04-11,8.0,11.2,3.3,0.0,10.8,,,,3.0,,,,,
2016-04-12,9.6,14.1,2.7,0.0,9.7,,,,1.6,,,,,
2016-04-13,14.6,18.5,10.5,7.0,1.3,,,,1.5,,,,,
2016-04-14,14.4,18.9,8.6,0.0,8.0,,,,1.3,,,,,
2016-04-15,12.1,14.9,7.8,0.0,11.9,,,,2.5,,,,,
2016-04-16,15.9,23.6,5.9,0.0,8.0,,,,1.4,,,,,
2016-04-17,16.2,17.9,14.8,10.5,5.0,,,,6.9,,,,,
2016-04-18,13.0,15.4,5.6,0.0,1.1,,,,3.8,,,,,
2016-04-19,11.9,15.3,4.4,0.0,,,,,2.9,,,,,
2016-04-20,12.2,21.0,3.9,0.0,10.4,,,,1.2,,,,,
2016-04-21,14.4,17.9,11.0,35.5,0.0,,,,1.5,,,,,
2016-04-22,16.3,20.1,13.1,0.0,6.5,,,,2.2,,,,,
2016-04-23,15.5,17.8,11.4,0.0,1.7,,,,1.6,,,,,
2016-04-24,13.2,18.2,7.3,0.0,9.1,,,,1.1,,,,,
2016-04-25,13.3,19.9,7.3,0.0,10.7,,,,1.3,,,,,
2016-04-26,15.8,22.4,8.5,0.0,10.9,,,,1.3,,,,,
2016-04-27,15.1,17.3,13.6,28.0,0.0,,,,3.5,,,,,
2016-04-28,12.7,14.2,11.2,36.0,0.0,,,,4.4,,,,,
2016-04-29,11.4,14.5,7.4,0.0,7.9,,,,1.8,,,,,
2016-04-30,15.9,20.1,6.9,0.0,9.6,,,,3.7,,,,,
2016-05-01,18.2,21.5,16.1,0.0,8.8,,,,4.3,,,,,
2016-05-02,19.6,26.0,15.4,0.0,11.0,,,,2.6,,,,,
2016-05-03,18.4,20.6,14.4,5.5,0.0,,,,4.2,,,,,
2016-05-04,18.6,21.1,15.9,0.0,11.7,,,,8.2,,,,,
2016-05-05,17.6,21.7,11.7,0.0,11.3,,,,3.4,,,,,
2016-05-06,16.9,21.9,12.1,1.0,0.0,,,,1.9,,,,,
2016-05-07,17.5,19.9,11.0,0.0,9.2,,,,3.0,,,,,
2016-05-08,15.6,21.0,8.7,0.0,9.6,,,,1.7,,,,,
