calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.5,12.7,2.4,0.0,4.7,,,,1.8,,,,,
2016-01-02,9.6,14.7,5.7,0.0,2.7,,,,3.3,,,,,
2016-01-03,9.4,15.7,4.8,0.0,4.6,,,,1.5,,,,,
2016-01-04,8.8,14.4,3.2,0.0,5.2,,,,2.3,,,,,
2016-01-05,7.6,11.2,2.6,0.0,1.0,,,,1.7,,,,,
2016-01-06,7.1,11.1,3.6,0.0,1.8,,,,2.3,,,,,
2016-01-07,6.7,9.0,2.5,0.0,0.3,,,,2.7,,,,,
2016-01-08,4.7,6.1,3.2,4.0,0.0,,,,2.7,,,,,
2016-01-09,5.9,9.5,2.2,0.0,4.1,,,,3.3,,,,,
2016-01-10,6.9,8.7,3.9,0.0,0.4,,,,3.4,,,,,
2016-01-11,7.0,10.6,4.1,0.5,3.1,,,,2.3,,,,,
2016-01-12,3.6,7.3,1.9,23.5,0.0,,,,1.5,,,,,
2016-01-13,3.0,5.3,0.8,9.0,0.9,,,,3.2,,,,,
2016-01-14,4.4,6.3,2.0,0.5,0.5,,,,4.1,,,,,
2016-01-15,3.2,6.0,1.4,0.5,0.2,,,,1.8,,,,,
2016-01-16,4.3,9.9,0.4,0.5,5.9,,,,1.3,,,,,
2016-01-17,4.4,8.1,-0.1,10.5,0.0,,,,1.3,,,,,
2016-01-18,5.4,10.2,1.4,24.0,0.2,,,,5.2,,,,,
2016-01-19,-0.6,1.6,-2.4,1.5,0.1,,,,10.2,,,,,
2016-01-20,4.1,5.9,-0.1,8.5,1.4,,,,4.0,,,,,
2016-01-21,3.0,5.5,0.4,6.5,1.6,,,,1.4,,,,,
2016-01-22,2.7,6.0,0.4,12.5,0.3,,,,1.6,,,,,
2016-01-23,1.8,4.3,-0.5,6.5,0.0,,,,3.9,,,,,
2016-01-24,-3.5,0.0,-5.4,3.5,0.1,,,,6.9,,,,,
2016-01-25,0.5,2.8,-1.4,3.5,2.2,,,,4.2,,,,,
2016-01-26,1.5,3.0,-0.2,0.5,0.0,,,,2.4,,,,,
2016-01-27,5.2,8.1,1.9,0.0,0.4,,,,2.7,,,,,
2016-01-28,5.4,7.2,1.9,8.5,0.0,,,,0.9,,,,,
2016-01-29,7.7,9.1,5.3,36.5,0.0,,,,2.2,,,,,
2016-01-30,7.3,10.5,5.1,6.5,1.2,,,,3.0,,,,,
2016-01-31,5.8,9.9,0.2,1.0,2.8,,,,2.0,,,,,
2016-02-01,4.4,6.8,2.8,24.5,0.0,,,,2.3,,,,,
2016-02-02,2.6,4.8,0.8,31.0,0.0,,,,1.2,,,,,
2016-02-03,3.6,8.1,1.0,1.0,3.9,,,,1.0,,,,,
