calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.9,9.0,-2.5,0.5,3.7,,0,0,,,,,,
2016-01-02,3.9,12.7,-1.8,0.0,3.1,,0,0,1.0,,,,,
2016-01-03,5.2,16.0,-0.3,0.0,5.0,,0,0,0.7,,,,,
2016-01-04,4.7,13.3,-1.0,0.0,3.6,,0,0,1.1,,,,,
2016-01-05,2.2,6.5,-1.8,1.0,0.0,,0,0,0.5,,,,,
2016-01-06,3.4,8.5,-0.2,0.0,1.0,,0,0,1.1,,,,,
2016-01-07,2.7,6.0,-0.4,0.5,1.0,,0,0,1.2,,,,,
2016-01-08,1.0,3.0,-0.9,5.5,0.1,,0,0,1.0,,,,,
2016-01-09,1.0,4.6,-2.1,1.0,1.8,,0,0,0.9,,,,,
2016-01-10,2.6,7.3,-0.1,0.0,4.4,,0,0,1.7,,,,,
2016-01-11,3.0,9.0,-0.4,0.0,3.5,,0,0,1.0,,,,,
2016-01-12,2.2,6.2,0.0,1.0,0.4,,0,0,0.7,,,,,
2016-01-13,-0.2,2.3,-2.4,3.5,0.4,,0,0,,,,,,
2016-01-14,-0.4,1.9,-1.7,9.5,0.4,,4,5,,,,,,
2016-01-15,-0.3,2.7,-2.6,2.0,0.4,,4,9,,,,,,
2016-01-16,-0.5,6.4,-3.7,0.0,3.5,,0,0,,,,,,
2016-01-17,0.0,3.7,-2.7,14.5,0.0,,2,2,0.5,,,,,
2016-01-18,0.9,6.1,-3.1,38.5,0.5,,9,9,,,,,,
2016-01-19,-3.7,-2.2,-4.7,14.5,0.4,,20,16,5.6,,,,,
2016-01-20,-1.2,0.4,-4.5,26.5,0.1,,38,19,2.0,,,,,
2016-01-21,-0.4,2.1,-1.9,3.5,0.6,,36,2,,,,,,
2016-01-22,0.5,4.5,-1.8,1.0,3.3,,26,1,0.3,,,,,
2016-01-23,-1.8,1.1,-5.0,20.5,0.0,,57,42,1.4,,,,,
2016-01-24,-7.4,-4.7,-9.0,72.5,0.0,,102,51,3.1,,,,,
2016-01-25,-3.1,0.0,-5.9,,1.0,,100,6,1.4,,,,,
2016-01-26,-1.9,-0.1,-3.9,0.5,0.0,,76,0,0.4,,,,,
2016-01-27,-0.2,4.4,-2.5,0.0,0.7,,65,0,0.5,,,,,
2016-01-28,-0.2,2.6,-2.7,7.5,0.0,,53,2,0.3,,,,,
2016-01-29,0.9,2.4,0.0,22.0,0.0,,42,0,0.4,,,,,
2016-01-30,2.1,7.6,-1.6,1.0,1.2,,36,3,0.5,,,,,
2016-01-31,0.5,5.3,-2.6,1.0,0.4,,31,0,0.6,,,,,
2016-02-01,1.0,5.1,-1.2,7.5,0.9,,29,0,1.4,,,,,
2016-02-02,0.6,5.6,-3.0,0.5,2.4,,27,1,,,,,,
2016-02-03,-0.3,6.9,-4.3,0.0,2.7,,26,0,0.4,,,,,
2016-02-04,0.3,6.1,-4.2,0.0,5.7,,24,2,,,,,,
2016-02-05,0.2,6.9,-3.4,0.0,5.5,,22,0,0.7,,,,,
2016-02-06,0.0,4.2,-3.4,0.5,3.9,,21,6,1.4,,,,,
2016-02-07,-0.8,4.0,-5.2,0.5,5.9,,21,1,1.0,,,,,
2016-02-08,0.4,6.6,-6.1,0.0,4.8,,17,0,1.3,,,,,
2016-02-09,2.6,6.2,-3.2,1.5,4.6,,16,2,3.7,,,,,
2016-02-10,0.6,9.0,-4.8,0.0,9.8,,12,1,0.6,,,,,
2016-02-11,1.3,12.5,-6.3,0.0,9.7,,10,1,0.4,,,,,
2016-02-12,6.0,13.8,-2.5,2.0,3.0,,8,1,2.1,,,,,
2016-02-13,8.9,13.8,5.2,33.0,0.1,,0,0,2.0,,,,,
2016-02-14,7.9,14.0,2.7,5.5,0.1,,0,0,2.4,,,,,
2016-02-15,-1.1,2.7,-3.4,21.5,0.2,,18,20,2.8,,,,,
2016-02-16,-1.3,0.8,-3.1,8.5,1.7,,28,16,1.9,,,,,
2016-02-17,-0.3,2.5,-4.5,3.0,3.3,,19,4,1.5,,,,,
2016-02-18,-0.8,7.2,-7.3,0.0,10.0,,7,1,0.8,,,,,
2016-02-19,2.3,10.9,-4.2,0.0,4.6,,4,0,0.8,,,,,
2016-02-20,2.9,5.3,1.0,35.0,0.0,,0,0,0.8,,,,,
2016-02-21,0.9,5.3,-2.7,4.5,5.0,,0,0,1.6,,,,,
2016-02-22,1.2,7.0,-4.4,0.0,2.0,,0,0,0.7,,,,,
2016-02-23,2.5,7.3,-0.7,0.0,1.1,,0,0,0.8,,,,,
2016-02-24,0.2,2.4,-1.2,0.5,0.0,,0,0,0.9,,,,,
2016-02-25,-1.7,3.7,-4.6,1.5,2.2,,0,0,0.6,,,,,
2016-02-26,0.3,7.4,-5.9,0.0,4.1,,0,0,1.5,,,,,
2016-02-27,3.0,8.2,-1.6,1.0,1.2,,0,0,1.1,,,,,
2016-02-28,6.8,13.6,0.4,0.0,7.0,,0,0,1.8,,,,,
2016-02-29,0.7,9.5,-3.0,19.0,0.2,,5,5,2.9,,,,,
2016-03-01,-1.8,0.6,-4.1,5.0,0.0,,12,9,,,,,,
2016-03-02,1.0,8.6,-3.9,0.0,7.8,,1,1,0.9,,,,,
2016-03-03,3.8,14.2,-4.2,0.0,9.2,,0,0,1.0,,,,,
2016-03-04,4.6,9.1,-0.9,1.0,0.1,,0,0,0.6,,,,,
2016-03-05,11.2,18.9,2.6,0.0,9.4,,0,0,2.0,,,,,
2016-03-06,13.3,16.5,10.3,6.5,0.0,,0,0,2.4,,,,,
2016-03-07,12.9,20.6,9.2,0.0,5.3,,0,0,0.9,,,,,
2016-03-08,8.8,10.9,7.1,0.5,0.0,,0,0,0.9,,,,,
2016-03-09,5.0,7.4,3.5,30.5,0.0,,0,0,0.9,,,,,
2016-03-10,4.4,8.5,0.5,0.0,0.9,,0,0,1.2,,,,,
2016-03-11,2.2,7.6,-0.4,0.0,1.4,,0,0,1.0,,,,,
2016-03-12,1.7,9.8,-3.1,0.5,5.4,,0,0,0.8,,,,,
2016-03-13,3.2,9.8,-2.6,3.0,0.9,,0,0,0.7,,,,,
2016-03-14,3.4,7.7,1.0,5.0,0.9,,0,0,1.3,,,,,
2016-03-15,4.2,12.4,-2.0,0.0,10.9,,0,0,1.4,,,,,
2016-03-16,5.4,16.3,-1.7,0.0,4.9,,0,0,0.9,,,,,
2016-03-17,8.1,19.2,-2.9,0.0,10.5,,0,0,1.1,,,,,
2016-03-18,10.6,12.3,9.6,7.0,0.0,,0,0,2.1,,,,,
2016-03-19,10.4,15.7,5.8,13.0,4.2,,0,0,1.3,,,,,
2016-03-20,6.2,12.7,1.4,0.0,9.4,,0,0,1.6,,,,,
2016-03-21,3.9,12.5,-2.3,0.0,11.5,,0,0,1.2,,,,,
2016-03-22,6.1,19.8,-3.9,0.0,10.6,,0,0,0.9,,,,,
2016-03-23,7.4,17.8,-0.1,0.0,5.2,,0,0,1.3,,,,,
2016-03-24,3.1,9.9,-2.0,0.0,3.9,,0,0,1.5,,,,,
2016-03-25,1.8,9.2,-4.2,0.0,9.2,,0,0,1.1,,,,,
2016-03-26,2.9,13.6,-5.3,0.0,11.6,,0,0,0.9,,,,,
2016-03-27,3.2,11.1,-1.7,1.5,3.2,,0,0,0.9,,,,,
2016-03-28,5.3,14.9,-0.6,0.0,7.2,,0,0,1.4,,,,,
2016-03-29,7.3,17.8,-3.0,0.0,5.6,,0,0,1.0,,,,,
2016-03-30,8.7,17.9,1.6,1.5,2.0,,0,0,1.4,,,,,
2016-03-31,10.2,17.9,2.5,2.5,2.0,,0,0,0.7,,,,,
2016-04-01,11.6,14.4,9.4,10.5,0.0,,0,0,0.9,,,,,
2016-04-02,13.7,19.2,7.7,0.0,3.9,,0,0,1.6,,,,,
2016-04-03,14.2,18.9,9.4,2.0,0.5,,0,0,1.5,,,,,
2016-04-04,11.2,13.7,8.0,4.5,0.0,,0,0,0.9,,,,,
2016-04-05,10.2,18.5,4.0,0.0,10.0,,0,0,0.9,,,,,
2016-04-06,11.6,21.8,0.6,1.0,7.0,,0,0,1.4,,,,,
2016-04-07,12.5,17.3,9.0,30.5,0.0,,0,0,2.2,,,,,
2016-04-08,11.7,20.3,5.8,0.0,6.1,,0,0,0.8,,,,,
2016-04-09,13.1,23.8,4.2,0.0,9.8,,0,0,0.9,,,,,
2016-04-10,11.6,19.7,4.4,0.0,1.9,,0,0,0.9,,,,,
2016-04-11,7.8,14.5,-0.6,0.0,7.9,,0,0,1.9,,,,,
2016-04-12,8.5,16.8,-1.9,0.0,9.1,,0,0,1.9,,,,,
2016-04-13,12.6,18.9,6.9,17.0,2.7,,0,0,2.4,,,,,
2016-04-14,13.9,20.4,10.3,0.0,4.4,,0,0,1.1,,,,,
2016-04-15,12.6,21.5,5.3,0.0,11.6,,0,0,1.3,,,,,
