calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,0.5,3.5,-3.0,0.0,6.0,,,,2.4,,,,,
2016-01-02,0.9,10.0,-4.1,0.0,3.8,,,,1.1,,,,,
2016-01-03,3.3,12.3,-1.8,0.0,6.2,,,,1.0,,,,,
2016-01-04,4.5,12.1,-1.8,0.0,6.4,,,,1.5,,,,,
2016-01-05,5.2,11.1,1.3,0.0,5.3,,,,1.5,,,,,
2016-01-06,2.5,7.0,-0.3,0.0,1.2,,,,1.7,,,,,
2016-01-07,0.7,4.8,-1.5,0.0,5.0,,,,1.7,,,,,
2016-01-08,0.6,6.1,-3.0,0.0,6.5,,,,1.4,,,,,
2016-01-09,0.2,3.7,-2.5,0.0,6.5,,,,1.5,,,,,
2016-01-10,0.6,6.7,-4.6,0.0,5.1,,,,1.7,,,,,
2016-01-11,-0.3,2.0,-2.4,0.0,6.1,,,,2.6,,,,,
2016-01-12,-1.1,1.8,-3.0,0.0,4.8,,,,2.6,,,,,
2016-01-13,-0.8,4.5,-3.8,0.0,6.4,,,,1.7,,,,,
2016-01-14,-0.9,3.1,-5.4,0.0,3.3,,,,1.2,,,,,
2016-01-15,-0.2,3.3,-2.6,0.0,1.6,,,,1.1,,,,,
2016-01-16,-1.4,3.5,-5.4,0.0,4.8,,,,2.2,,,,,
2016-01-17,-0.7,5.2,-5.6,1.0,4.5,,,,1.4,,,,,
2016-01-18,0.5,3.0,-1.3,37.0,0.0,,,,,,,,,
2016-01-19,-0.5,2.4,-6.0,0.0,6.4,,,,2.3,,,,,
2016-01-20,-3.7,0.7,-8.4,3.0,0.6,,,,2.5,,,,,
2016-01-21,-1.5,1.7,-3.7,0.0,4.1,,,,1.9,,,,,
2016-01-22,-2.5,0.0,-5.5,0.0,3.0,,,,1.6,,,,,
2016-01-23,-2.4,0.6,-4.6,0.0,5.1,,,,1.9,,,,,
2016-01-24,-3.8,-0.6,-6.5,0.5,5.3,,,,2.1,,,,,
2016-01-25,-4.2,-2.0,-6.5,2.0,0.3,,,,,,,,,
2016-01-26,-4.2,3.4,-10.2,0.0,7.1,,,,0.9,,,,,
2016-01-27,-1.8,6.3,-8.7,0.0,5.2,,,,1.1,,,,,
2016-01-28,0.3,7.5,-5.0,0.0,6.3,,,,1.1,,,,,
2016-01-29,0.0,2.4,-1.9,8.0,0.0,,,,1.1,,,,,
2016-01-30,-0.4,2.5,-2.4,4.5,0.3,,,,,,,,,
2016-01-31,-0.6,4.1,-4.5,0.0,5.4,,,,1.4,,,,,
2016-02-01,-1.0,2.6,-4.3,0.0,2.7,,,,2.2,,,,,
2016-02-02,-2.0,1.2,-5.5,0.0,4.7,,,,1.8,,,,,
2016-02-03,-1.8,1.9,-5.1,0.0,5.5,,,,1.6,,,,,
2016-02-04,-2.6,3.3,-7.6,0.0,6.1,,,,1.4,,,,,
2016-02-05,0.3,5.7,-5.0,0.0,6.8,,,,1.0,,,,,
2016-02-06,1.0,4.5,-2.1,0.0,2.6,,,,1.8,,,,,
2016-02-07,-2.6,-0.1,-6.2,0.0,7.3,,,,2.9,,,,,
