calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,1.9,7.7,-2.3,0.0,8.5,,,,1.5,,,,,
2016-01-02,2.7,9.5,-2.4,0.0,6.6,,,,1.3,,,,,
2016-01-03,6.4,14.6,0.7,0.0,8.4,,,,1.7,,,,,
2016-01-04,6.2,12.7,1.0,0.0,8.4,,,,1.4,,,,,
2016-01-05,5.1,11.4,-0.2,0.0,6.3,,,,1.2,,,,,
2016-01-06,2.7,5.7,0.5,0.0,0.0,,,,0.9,,,,,
2016-01-07,2.7,9.3,-1.9,0.0,6.9,,,,1.3,,,,,
2016-01-08,1.2,7.1,-3.4,0.0,7.6,,,,1.4,,,,,
2016-01-09,2.0,7.9,-2.6,0.0,8.6,,,,1.3,,,,,
2016-01-10,3.6,10.7,-2.1,0.0,7.9,,,,1.6,,,,,
2016-01-11,1.6,6.9,-1.8,0.0,6.8,,,,1.2,,,,,
2016-01-12,0.2,3.3,-3.0,0.0,1.6,,,,1.1,,,,,
2016-01-13,-0.7,5.0,-4.3,0.0,7.3,,,,1.5,,,,,
2016-01-14,1.5,8.1,-3.9,0.0,6.8,,,,1.2,,,,,
2016-01-15,0.8,5.2,-2.4,0.0,2.8,,,,0.9,,,,,
2016-01-16,0.7,7.1,-4.2,0.0,6.2,,,,0.9,,,,,
2016-01-17,1.0,5.6,-4.0,2.5,4.7,,,,0.9,,,,,
2016-01-18,1.1,4.1,-0.6,48.5,0.1,,,,,,,,,
2016-01-19,0.4,4.7,-5.7,0.0,7.4,,,,2.2,,,,,
2016-01-20,-1.6,2.7,-8.6,0.5,1.4,,,,1.2,,,,,
2016-01-21,-0.4,4.7,-5.5,0.0,6.5,,,,1.4,,,,,
2016-01-22,-0.8,4.5,-4.9,0.0,5.7,,,,1.3,,,,,
2016-01-23,-1.6,2.4,-5.4,0.0,3.6,,,,1.4,,,,,
2016-01-24,-2.2,2.8,-8.1,0.0,7.2,,,,2.2,,,,,
2016-01-25,-2.6,2.9,-8.2,0.0,5.5,,,,1.4,,,,,
