calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.5,10.7,-2.6,0.0,9.5,,,,1.2,,,,,
2016-01-02,2.7,10.6,-2.3,0.0,6.9,,,,1.0,,,,,
2016-01-03,4.1,15.0,-4.1,0.0,9.0,,,,0.7,,,,,
2016-01-04,5.8,15.3,-2.4,0.0,9.0,,,,1.1,,,,,
2016-01-05,6.7,15.1,-1.9,0.0,7.4,,,,1.7,,,,,
2016-01-06,4.1,8.3,0.5,0.0,0.0,,,,0.7,,,,,
2016-01-07,3.7,12.5,-2.5,0.0,8.5,,,,1.5,,,,,
2016-01-08,2.5,10.1,-4.3,0.0,8.2,,,,0.9,,,,,
2016-01-09,3.5,10.6,-4.2,0.0,9.4,,,,1.1,,,,,
2016-01-10,4.7,13.5,-3.3,0.0,9.3,,,,1.4,,,,,
2016-01-11,3.1,9.6,-3.8,0.0,8.2,,,,1.6,,,,,
2016-01-12,1.4,4.2,-4.1,0.0,0.0,,,,0.9,,,,,
2016-01-13,-0.4,8.2,-7.5,0.0,9.1,,,,0.9,,,,,
2016-01-14,2.4,11.5,-7.8,0.0,8.0,,,,1.3,,,,,
2016-01-15,2.4,9.5,-2.4,0.0,4.9,,,,1.6,,,,,
2016-01-16,2.9,10.4,-3.7,0.0,9.3,,,,1.5,,,,,
2016-01-17,2.9,7.7,-4.7,2.0,5.2,,,,1.4,,,,,
2016-01-18,1.6,5.8,-1.4,29.0,0.0,,,,1.8,,,,,
2016-01-19,2.2,6.3,-3.2,0.0,9.4,,,,3.4,,,,,
2016-01-20,1.6,7.4,-2.8,0.0,6.2,,,,2.0,,,,,
2016-01-21,0.6,7.8,-6.6,0.0,7.2,,,,0.9,,,,,
2016-01-22,1.1,8.2,-5.7,0.0,8.1,,,,0.9,,,,,
2016-01-23,-0.7,3.8,-6.2,1.5,0.7,,,,0.9,,,,,
2016-01-24,0.7,6.3,-5.4,0.0,7.7,,,,1.8,,,,,
2016-01-25,-1.4,6.2,-9.5,0.0,8.1,,,,1.2,,,,,
2016-01-26,-0.5,8.3,-8.9,0.0,9.8,,,,0.8,,,,,
2016-01-27,1.5,11.7,-7.5,0.0,9.8,,,,1.0,,,,,
2016-01-28,3.2,12.4,-5.6,0.0,9.6,,,,0.8,,,,,
2016-01-29,2.8,6.4,0.1,13.5,0.0,,,,1.7,,,,,
2016-01-30,1.0,3.0,-0.3,5.5,0.0,,,,,,,,,
2016-01-31,1.9,8.5,-2.3,0.0,6.6,,,,0.9,,,,,
2016-02-01,2.2,5.8,0.1,0.0,1.1,,,,1.1,,,,,
2016-02-02,1.9,8.5,-3.8,0.0,9.2,,,,1.0,,,,,
2016-02-03,0.3,7.2,-7.3,0.0,10.0,,,,1.0,,,,,
2016-02-04,1.5,8.6,-5.9,0.0,9.9,,,,1.3,,,,,
2016-02-05,2.9,12.1,-5.9,0.0,9.5,,,,1.2,,,,,
2016-02-06,4.1,8.7,0.8,2.0,2.0,,,,2.0,,,,,
2016-02-07,1.7,7.3,-3.6,0.0,7.6,,,,1.6,,,,,
2016-02-08,-0.1,6.2,-5.5,0.0,3.4,,,,1.1,,,,,
2016-02-09,2.4,11.3,-6.8,0.0,9.0,,,,1.6,,,,,
2016-02-10,1.5,9.2,-5.4,0.0,8.3,,,,1.4,,,,,
2016-02-11,1.3,9.5,-7.6,0.0,10.2,,,,0.9,,,,,
2016-02-12,3.3,10.7,-4.7,0.0,4.5,,,,0.9,,,,,
2016-02-13,10.5,17.4,4.6,0.5,3.8,,,,0.8,,,,,
2016-02-14,14.3,20.1,10.6,9.0,2.3,,,,2.2,,,,,
2016-02-15,4.4,11.0,-2.3,3.5,0.0,,,,2.3,,,,,
2016-02-16,1.3,7.9,-5.3,0.0,10.1,,,,1.5,,,,,
2016-02-17,1.6,11.0,-5.5,0.0,8.5,,,,1.9,,,,,
2016-02-18,2.0,9.4,-6.7,0.0,10.0,,,,1.2,,,,,
2016-02-19,7.2,16.3,-1.9,0.0,9.9,,,,1.9,,,,,
2016-02-20,6.8,10.7,3.2,18.0,0.1,,,,1.2,,,,,
