calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,-2.6,2.0,-6.0,0.0,8.6,,,,3.7,2.8,873.9,56,,
2016-01-02,1.0,6.3,-6.3,,6.3,,,,3.7,3.7,871.8,55,,
2016-01-03,4.0,8.6,-0.4,,8.6,,,,4.7,4.3,869.2,55,,
2016-01-04,3.9,9.7,-1.7,0.0,8.6,,,,6.2,4.3,866.3,54,,
2016-01-05,2.3,5.5,0.5,0.0,7.4,,,,9.1,4.0,867.8,56,,
2016-01-06,-1.1,0.9,-2.5,,0.0,,,,3.7,4.5,867.6,80,,
2016-01-07,-1.2,1.9,-6.2,,6.6,,,,5.3,3.2,863.3,57,,
2016-01-08,-1.7,2.0,-4.2,0.0,7.0,,,,3.7,3.5,863.9,64,,
2016-01-09,-2.0,0.9,-5.7,,8.8,,,,3.5,3.1,867.2,59,,
2016-01-10,-0.8,2.2,-3.5,0.0,4.0,,,,7.7,3.4,866.5,60,,
2016-01-11,-2.2,1.5,-5.4,0.0,7.4,,2,2,4.5,3.4,866.7,67,,
2016-01-12,-4.3,-1.1,-8.6,0.0,1.8,,1,,3.0,3.4,863.7,76,,
2016-01-13,-5.0,-0.3,-9.8,,8.4,,,,2.2,2.7,862.5,65,,
2016-01-14,-2.7,0.8,-5.8,0.0,5.4,,,,4.1,3.0,862.3,60,,
2016-01-15,-3.7,-0.6,-6.4,0.0,2.6,,1,1,2.4,3.4,865.5,75,,
2016-01-16,-2.8,1.2,-7.4,0.0,7.9,,,,4.0,2.9,867.7,58,,
2016-01-17,-3.5,-1.0,-6.9,2.0,4.4,,4,4,2.8,2.9,870.7,63,,
2016-01-18,-1.4,2.8,-5.3,33.5,0.3,,33,29,7.6,4.7,852.7,85,,
2016-01-19,-5.7,0.2,-10.1,0.0,4.7,,27,3,6.5,2.4,850.7,60,,
2016-01-20,-7.0,-4.1,-11.5,7.0,0.1,,44,20,5.2,2.7,857.0,74,,
2016-01-21,-5.0,-1.8,-9.2,0.0,6.7,,36,,4.0,2.4,865.5,57,,
2016-01-22,-6.0,-2.8,-11.1,0.0,4.7,,32,,5.3,2.3,867.2,59,,
2016-01-23,-6.0,-1.1,-11.0,0.0,4.3,,24,2,2.6,2.8,865.2,70,,
2016-01-24,-7.8,-3.6,-12.1,1.5,3.4,,24,4,6.3,2.3,853.1,66,,
2016-01-25,-8.8,-5.7,-12.6,0.5,1.0,,26,3,4.7,2.1,862.9,66,,
2016-01-26,-7.3,-1.6,-12.6,,9.2,,25,,2.5,2.4,870.7,69,,
2016-01-27,-2.1,1.8,-9.1,,8.9,,24,,4.7,3.0,872.6,58,,
2016-01-28,-0.6,4.5,-6.4,,7.7,,24,,2.9,3.0,875.3,53,,
2016-01-29,-2.1,-0.3,-4.5,11.5,0.0,,38,16,1.5,4.6,873.0,89,,
2016-01-30,-3.6,-1.5,-5.8,6.0,0.0,,41,3,1.5,4.5,868.6,97,,
2016-01-31,-3.3,1.4,-8.0,0.0,8.3,,40,,2.7,3.8,869.3,81,,
2016-02-01,-3.4,0.1,-7.4,0.0,2.6,,38,,3.5,3.3,868.1,71,,
2016-02-02,-5.4,-1.9,-10.7,0.0,6.8,,37,1,4.9,2.0,866.2,50,,
2016-02-03,-6.7,-1.5,-12.1,0.0,7.4,,35,,1.8,2.6,869.2,70,,
2016-02-04,-5.6,-1.3,-12.0,,9.3,,35,,2.3,2.8,868.2,69,,
2016-02-05,-1.6,2.5,-5.1,0.0,9.2,,34,,3.7,3.5,866.0,67,,
2016-02-06,-2.5,1.3,-6.9,0.0,5.6,,34,1,2.9,3.9,862.8,77,,
2016-02-07,-6.1,-2.7,-9.5,0.0,9.6,,32,,3.8,2.2,864.2,58,,
2016-02-08,-6.2,-1.8,-9.0,0.0,4.8,,33,2,3.0,3.1,866.6,82,,
2016-02-09,-3.6,0.6,-8.6,1.0,5.5,,35,4,6.2,3.1,859.8,66,,
2016-02-10,-5.9,-3.9,-10.4,0.0,7.1,,32,,7.5,2.3,866.1,58,,
2016-02-11,-4.9,0.7,-11.4,,9.9,,32,,2.2,2.7,877.4,64,,
2016-02-12,-0.3,6.4,-6.2,,9.2,,31,,3.4,4.5,879.4,75,,
2016-02-13,6.5,12.3,2.9,0.0,2.1,,27,,2.8,6.5,872.5,67,,
2016-02-14,9.0,14.0,4.4,14.5,2.2,,20,,6.3,9.2,856.9,80,,
2016-02-15,-2.3,4.8,-7.8,0.0,0.6,,,,6.3,3.1,854.4,58,,
2016-02-16,-5.2,-1.3,-10.0,0.0,7.2,,,,4.5,2.3,860.4,56,,
2016-02-17,-4.9,-0.7,-9.2,0.0,8.0,,,,4.7,2.4,863.8,56,,
2016-02-18,-3.7,2.5,-10.3,,10.0,,,,2.4,2.9,872.9,62,,
2016-02-19,1.4,5.6,-3.6,,9.9,,,,5.5,2.8,875.1,42,,
2016-02-20,2.7,7.3,-1.2,25.0,0.0,,1,1,2.3,5.9,872.0,77,,
2016-02-21,0.6,7.5,-4.5,0.0,8.6,,,,7.3,4.0,865.2,59,,
2016-02-22,-2.5,1.2,-7.1,,7.2,,,,2.0,3.6,876.4,70,,
2016-02-23,-0.4,2.6,-3.0,0.0,4.3,,,,2.9,5.0,871.1,84,,
2016-02-24,-4.1,-0.2,-6.8,0.0,6.8,,4,4,5.4,2.5,869.9,57,,
2016-02-25,-6.3,-3.0,-10.9,0.0,9.3,,5,1,4.4,2.1,872.3,55,,
2016-02-26,-4.2,-0.3,-7.5,,7.4,,,,4.9,2.3,872.0,53,,
2016-02-27,-2.1,3.4,-9.1,0.0,9.9,,,,3.3,2.8,873.0,54,,
