calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,5.2,12.0,-0.6,0.0,8.9,,,,1.3,,,,,
2016-01-02,4.1,11.4,-1.0,0.0,7.1,,,,1.4,,,,,
2016-01-03,5.6,15.5,-2.2,0.0,8.6,,,,1.1,,,,,
2016-01-04,6.8,15.6,0.0,0.0,8.7,,,,1.3,,,,,
2016-01-05,7.6,15.7,-0.1,0.0,7.5,,,,1.6,,,,,
2016-01-06,5.6,9.1,2.1,0.0,0.0,,,,0.8,,,,,
2016-01-07,5.2,13.5,-0.8,0.0,9.0,,,,1.3,,,,,
2016-01-08,3.7,10.7,-1.4,0.0,8.6,,,,1.0,,,,,
2016-01-09,4.6,11.7,-3.2,0.0,9.2,,,,1.3,,,,,
2016-01-10,6.0,14.1,-1.9,0.0,9.2,,,,1.8,,,,,
2016-01-11,4.6,10.5,-0.5,0.0,8.5,,,,1.8,,,,,
2016-01-12,2.1,4.3,-3.0,0.0,0.0,,,,1.2,,,,,
2016-01-13,1.0,8.6,-5.6,0.0,8.9,,,,1.1,,,,,
2016-01-14,3.2,12.6,-5.6,0.0,9.3,,,,1.5,,,,,
2016-01-15,4.1,10.4,-0.1,0.0,7.7,,,,1.8,,,,,
2016-01-16,5.0,12.4,-2.4,0.0,9.1,,,,2.0,,,,,
2016-01-17,4.0,8.1,-1.7,2.5,4.8,,,,1.2,,,,,
2016-01-18,2.7,5.8,0.4,34.5,0.0,,,,2.8,,,,,
2016-01-19,3.4,7.3,-0.4,0.0,9.2,,,,4.3,,,,,
2016-01-20,2.0,6.9,-2.5,0.0,8.7,,,,3.2,,,,,
2016-01-21,2.2,9.4,-4.4,0.0,7.2,,,,1.6,,,,,
2016-01-22,3.2,10.0,-3.5,0.0,9.4,,,,2.2,,,,,
2016-01-23,0.8,4.6,-3.2,0.0,0.4,,,,1.2,,,,,
2016-01-24,1.7,7.1,-1.6,0.0,8.7,,,,3.4,,,,,
2016-01-25,0.9,7.4,-6.6,0.0,9.6,,,,3.4,,,,,
2016-01-26,1.2,9.6,-6.6,0.0,9.7,,,,1.0,,,,,
2016-01-27,3.4,14.2,-5.8,0.0,9.7,,,,1.4,,,,,
2016-01-28,4.4,13.7,-4.4,0.0,9.6,,,,0.9,,,,,
2016-01-29,3.9,7.8,0.4,12.0,0.1,,,,1.8,,,,,
2016-01-30,2.1,4.1,0.5,5.5,0.1,,,,1.2,,,,,
2016-01-31,3.3,10.0,-1.4,0.0,6.4,,,,0.9,,,,,
2016-02-01,3.1,5.7,1.3,0.0,0.5,,,,1.2,,,,,
2016-02-02,3.4,10.4,-2.1,0.0,8.6,,,,1.6,,,,,
2016-02-03,1.6,8.1,-5.1,0.0,9.4,,,,1.1,,,,,
2016-02-04,2.6,9.6,-4.6,0.0,9.9,,,,1.3,,,,,
2016-02-05,4.5,13.7,-3.7,0.0,9.3,,,,1.3,,,,,
2016-02-06,5.2,9.7,1.4,2.5,2.2,,,,2.0,,,,,
2016-02-07,3.2,9.7,-0.8,0.0,9.9,,,,1.8,,,,,
2016-02-08,1.9,7.3,-2.7,0.0,5.2,,,,1.2,,,,,
2016-02-09,3.3,12.7,-4.4,0.0,8.6,,,,1.6,,,,,
2016-02-10,4.3,9.7,-1.9,0.0,9.8,,,,3.7,,,,,
2016-02-11,2.7,9.9,-5.0,0.0,10.1,,,,1.0,,,,,
2016-02-12,4.3,10.8,-2.4,0.0,3.7,,,,1.0,,,,,
2016-02-13,11.2,18.0,5.3,0.5,4.1,,,,1.1,,,,,
2016-02-14,13.9,21.5,9.3,4.5,2.9,,,,1.6,,,,,
2016-02-15,5.5,12.3,-0.9,4.0,0.0,,,,1.7,,,,,
2016-02-16,2.7,8.7,-2.9,0.5,10.1,,,,1.9,,,,,
2016-02-17,3.7,12.2,-2.8,0.0,9.3,,,,2.0,,,,,
2016-02-18,3.4,10.3,-4.3,0.0,9.8,,,,1.5,,,,,
2016-02-19,8.0,17.4,-1.7,0.0,10.0,,,,1.9,,,,,
2016-02-20,7.6,11.3,5.4,16.0,0.0,,,,1.5,,,,,
2016-02-21,9.0,15.5,5.9,0.0,6.4,,,,2.0,,,,,
2016-02-22,5.8,10.0,-0.4,0.0,5.8,,,,1.9,,,,,
2016-02-23,5.9,10.3,2.1,0.0,1.9,,,,1.1,,,,,
2016-02-24,4.2,8.3,0.4,0.0,0.6,,,,1.9,,,,,
2016-02-25,2.5,9.1,-2.8,1.0,7.4,,,,1.0,,,,,
2016-02-26,4.2,11.2,-3.6,0.0,10.4,,,,1.7,,,,,
2016-02-27,4.8,12.5,-3.4,0.0,10.5,,,,2.0,,,,,
2016-02-28,6.2,14.1,-1.0,0.0,10.1,,,,2.3,,,,,
2016-02-29,6.5,11.7,2.5,3.5,1.0,,,,1.4,,,,,
2016-03-01,3.6,8.1,-0.4,0.0,10.9,,,,3.7,,,,,
2016-03-02,3.7,12.2,-5.2,0.0,10.6,,,,1.6,,,,,
2016-03-03,7.1,17.6,-2.9,0.0,10.7,,,,1.8,,,,,
2016-03-04,7.6,14.6,0.1,0.0,9.3,,,,1.8,,,,,
2016-03-05,8.6,13.5,5.2,0.0,0.1,,,,1.4,,,,,
2016-03-06,12.8,18.1,7.8,0.0,3.8,,,,1.5,,,,,
2016-03-07,13.4,15.6,11.8,4.5,0.0,,,,1.0,,,,,
2016-03-08,14.6,19.6,10.2,0.0,2.8,,,,1.2,,,,,
