calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.7,10.5,-0.5,0.0,9.5,11.35,,,2.7,4.5,1007.9,55,1025.4,1.0
2016-01-02,4.2,11.1,-0.5,,7.2,9.78,,,2.6,4.5,1004.3,57,1021.8,5.0
2016-01-03,6.1,14.8,-1.1,,9.2,10.91,,,2.1,5.7,999.3,64,1016.5,1.3
2016-01-04,7.7,14.7,0.7,,9.2,10.66,,,2.8,6.8,996.5,66,1013.5,0.3
2016-01-05,7.7,15.4,1.5,,8.1,10.34,,,2.7,6.4,999.2,63,1016.3,2.8
2016-01-06,5.3,8.9,2.4,,0.3,4.64,,,1.5,6.1,1000.3,69,1017.6,10.0
2016-01-07,5.1,12.5,0.2,,8.1,10.52,,,2.6,5.0,995.4,59,1012.6,3.3
2016-01-08,3.8,10.0,-1.1,,8.2,10.64,,,2.3,4.5,996.6,58,1013.9,2.8
2016-01-09,4.8,10.8,-0.8,0.0,9.6,11.79,,,2.8,4.3,1000.1,53,1017.4,2.5
2016-01-10,6.0,13.8,-1.1,0.0,9.3,11.66,,,3.3,4.4,999.0,51,1016.3,0.8
2016-01-11,4.0,9.8,-0.6,,8.1,10.92,,,2.9,4.4,1000.2,57,1017.6,5.5
2016-01-12,2.2,4.1,-1.6,0.0,0.0,3.45,,,1.8,4.1,997.9,58,1015.3,7.5
2016-01-13,1.2,8.0,-4.1,,9.4,11.86,,,2.3,4.0,996.1,63,1013.6,0.0
2016-01-14,3.4,10.8,-3.5,,8.1,11.26,,,2.8,4.1,994.9,55,1012.2,3.8
2016-01-15,3.3,9.8,-0.8,0.0,6.6,10.59,,,3.2,4.9,999.4,64,1016.8,4.3
2016-01-16,3.5,10.6,-2.3,0.0,9.4,12.17,,,2.9,4.1,1001.8,53,1019.3,4.8
2016-01-17,3.4,7.8,-2.3,1.0,5.1,8.68,,,2.1,4.5,1005.2,60,1022.7,5.8
2016-01-18,2.3,6.3,0.5,22.5,0.0,1.77,6,6,6.0,6.4,982.8,88,1000.0,7.8
2016-01-19,2.8,7.2,-0.6,0.0,9.5,13.18,3,,6.1,3.6,982.6,51,999.7,2.5
2016-01-20,2.0,7.1,-2.7,0.0,5.1,9.97,0,,3.5,3.8,990.9,52,1008.2,5.8
2016-01-21,1.9,7.9,-3.4,,7.0,10.21,,,1.9,3.9,999.8,58,1017.3,5.8
2016-01-22,2.2,8.6,-2.6,,8.1,11.79,,,2.0,3.6,1002.1,53,1019.6,4.3
2016-01-23,0.3,4.4,-3.4,0.0,0.9,6.39,1,1,1.8,4.0,1000.3,65,1017.9,10.0
2016-01-24,0.8,6.2,-3.1,0.0,8.1,13.31,1,,4.0,3.6,986.4,59,1003.7,4.3
2016-01-25,-0.1,6.8,-6.2,,8.2,11.45,,,2.3,2.8,998.3,49,1015.9,3.8
2016-01-26,1.0,8.2,-5.4,,9.9,13.73,,,2.0,3.1,1005.4,50,1023.1,0.0
2016-01-27,3.0,11.9,-3.9,,9.9,13.39,,,2.0,4.0,1006.0,55,1023.6,0.3
2016-01-28,5.1,12.5,-2.4,,9.5,13.16,,,2.4,4.1,1008.2,50,1025.7,0.3
2016-01-29,3.5,6.5,0.3,13.0,0.0,2.61,4,4,3.2,6.0,1007.2,78,1024.7,10.0
2016-01-30,1.6,3.3,0.0,4.0,0.0,6.38,5,1,3.2,5.8,1003.5,84,1021.1,10.0
2016-01-31,2.8,8.2,-1.8,,9.4,13.46,2,,2.1,5.6,1003.4,76,1020.9,5.0
2016-02-01,3.1,5.9,1.3,0.0,1.2,6.86,,,2.5,4.9,1002.6,64,1020.0,9.5
2016-02-02,2.9,8.9,-2.4,,9.4,14.59,,,2.0,3.8,1000.7,54,1018.1,4.0
2016-02-03,1.8,8.2,-4.3,,10.1,14.83,,,2.2,3.8,1004.2,57,1021.8,1.0
2016-02-04,2.2,8.8,-2.9,,10.1,14.44,,,2.2,4.1,1002.7,61,1020.3,0.3
2016-02-05,4.3,12.1,-2.5,,9.6,14.07,,,2.8,4.6,998.8,58,1016.1,4.5
2016-02-06,4.6,9.6,2.3,2.5,3.1,8.89,,,3.5,6.0,996.0,71,1013.2,10.0
2016-02-07,2.5,7.7,-1.6,,8.2,14.19,,,3.2,3.6,998.9,51,1016.3,3.5
2016-02-08,1.4,6.7,-2.5,0.0,3.7,9.40,,,2.7,4.3,1001.4,63,1019.0,6.5
2016-02-09,3.2,11.8,-3.5,0.0,8.4,13.73,,,3.5,4.5,992.4,63,1009.6,1.0
2016-02-10,3.0,8.9,-1.7,,9.2,14.55,,,3.7,3.1,1001.0,44,1018.4,1.0
2016-02-11,2.9,9.3,-3.5,,10.4,15.77,,,2.2,3.6,1012.9,50,1030.5,0.0
