calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,8.2,11.5,4.9,0.0,9.1,,,,2.6,,,,,
2016-01-02,8.4,12.4,4.1,0.0,1.9,,,,1.8,,,,,
2016-01-03,10.6,15.0,7.9,1.5,3.3,,,,1.6,,,,,
2016-01-04,11.6,16.9,7.7,0.0,9.2,,,,1.9,,,,,
2016-01-05,11.0,12.6,9.3,0.0,0.0,,,,2.1,,,,,
2016-01-06,10.5,12.0,9.2,0.0,0.5,,,,1.9,,,,,
2016-01-07,9.7,12.6,7.7,0.0,7.8,,,,2.3,,,,,
2016-01-08,8.4,13.2,5.8,0.0,3.4,,,,2.5,,,,,
2016-01-09,7.8,11.1,5.4,0.0,9.0,,,,3.1,,,,,
2016-01-10,9.1,12.5,6.5,0.0,7.1,,,,2.1,,,,,
2016-01-11,9.2,11.9,7.2,0.0,4.3,,,,2.2,,,,,
2016-01-12,7.8,9.3,5.8,0.0,1.2,,,,2.7,,,,,
2016-01-13,6.9,10.8,4.0,0.0,4.3,,,,2.5,,,,,
2016-01-14,6.9,12.0,2.9,0.0,8.0,,,,2.4,,,,,
2016-01-15,6.5,9.6,4.5,0.0,7.2,,,,2.6,,,,,
2016-01-16,7.1,10.1,4.8,0.0,9.2,,,,2.4,,,,,
2016-01-17,7.2,9.9,4.0,6.5,3.3,,,,3.1,,,,,
2016-01-18,9.0,13.4,5.8,8.5,6.9,,,,3.9,,,,,
2016-01-19,3.8,8.6,0.4,0.0,9.1,,,,2.8,,,,,
2016-01-20,4.8,8.3,0.1,0.0,8.3,,,,5.1,,,,,
2016-01-21,6.3,8.2,4.2,0.0,3.7,,,,2.3,,,,,
2016-01-22,6.6,8.7,5.4,0.0,4.7,,,,3.2,,,,,
2016-01-23,5.0,6.6,2.0,0.0,0.0,,,,2.5,,,,,
2016-01-24,-1.2,2.3,-3.3,0.0,8.4,,,,3.5,,,,,
2016-01-25,2.4,6.6,-2.4,0.0,7.7,,,,2.9,,,,,
2016-01-26,4.0,9.9,0.0,0.0,6.4,,,,1.9,,,,,
2016-01-27,7.1,11.1,2.0,0.0,6.8,,,,2.2,,,,,
2016-01-28,8.2,12.7,4.4,0.5,4.6,,,,1.7,,,,,
2016-01-29,9.5,11.1,8.7,78.5,0.0,,,,2.0,,,,,
2016-01-30,8.3,9.1,7.4,5.5,0.0,,,,3.3,,,,,
