calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.5,9.3,-1.5,0.0,5.7,,,,0.3,,,,,
2016-01-02,2.8,9.1,-2.7,0.0,0.2,,,,0.1,,,,,
2016-01-03,7.0,15.6,2.9,0.0,3.2,,,,0.2,,,,,
2016-01-04,5.4,14.7,0.0,0.0,5.7,,,,0.3,,,,,
2016-01-05,4.1,6.8,1.7,0.5,0.0,,,,0.1,,,,,
2016-01-06,5.3,9.1,1.9,0.0,1.0,,,,0.2,,,,,
2016-01-07,3.2,6.9,1.0,0.5,0.6,,,,0.5,,,,,
2016-01-08,3.2,6.7,0.0,0.0,0.3,,,,0.6,,,,,
2016-01-09,2.3,7.1,-1.6,0.0,5.6,,,,0.6,,,,,
2016-01-10,1.6,8.6,-2.0,0.0,5.8,,,,0.4,,,,,
2016-01-11,3.5,10.6,-1.4,0.0,3.8,,,,0.3,,,,,
2016-01-12,2.5,5.1,-0.2,0.5,0.0,,,,0.3,,,,,
2016-01-13,1.5,6.1,-0.9,0.0,2.5,,,,0.6,,,,,
2016-01-14,1.2,6.6,-2.5,0.5,3.4,,,,0.7,,,,,
2016-01-15,0.6,4.7,-2.1,0.0,3.3,,,,0.4,,,,,
2016-01-16,-0.1,8.5,-4.3,0.0,6.3,,,,0.3,,,,,
2016-01-17,1.9,6.8,-2.6,7.5,1.4,,,,0.2,,,,,
2016-01-18,4.1,6.8,0.0,4.5,0.0,,,,1.5,,,,,
2016-01-19,-1.2,0.3,-3.6,0.0,0.3,,,,2.6,,,,,
2016-01-20,-1.5,1.2,-4.3,5.0,0.0,,,,1.2,,,,,
2016-01-21,0.4,4.2,-2.8,0.0,2.0,,,,0.3,,,,,
2016-01-22,1.2,6.8,-1.9,0.5,3.2,,,,0.4,,,,,
2016-01-23,-0.4,4.7,-3.3,0.5,0.1,,,,0.6,,,,,
2016-01-24,-6.3,-3.3,-7.8,11.5,0.0,,,,1.4,,,,,
2016-01-25,-3.5,0.8,-7.3,8.0,3.0,,,,0.8,,,,,
2016-01-26,-1.0,2.5,-4.4,0.0,0.0,,,,0.2,,,,,
