calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.8,12.2,3.5,,9.3,,,,3.1,6.3,1029.1,61,1029.9,1.3
2016-01-02,7.9,13.2,2.0,0.0,4.3,,,,1.4,7.4,1025.1,69,1025.9,7.5
2016-01-03,10.8,15.6,7.6,0.0,4.0,,,,1.2,9.6,1018.9,75,1019.7,6.3
2016-01-04,11.8,18.2,5.3,,9.2,,,,2.0,9.0,1017.8,68,1018.6,2.8
2016-01-05,10.3,12.8,8.8,0.0,0.0,,,,2.5,8.1,1021.2,65,1022.0,8.5
2016-01-06,10.2,12.7,8.0,,1.4,,,,2.7,7.2,1018.9,58,1019.7,10.0
2016-01-07,9.3,12.5,7.0,,5.9,,,,3.4,6.3,1017.4,55,1018.2,5.0
2016-01-08,7.8,12.0,3.7,0.0,6.1,,,,3.4,6.1,1017.2,59,1018.0,7.5
2016-01-09,7.6,11.1,4.6,,9.3,,,,3.2,5.0,1021.3,48,1022.1,3.8
2016-01-10,7.9,12.6,4.3,,3.8,,,,2.7,5.5,1022.1,53,1022.9,5.8
2016-01-11,8.8,12.5,5.3,,5.3,,,,2.8,6.1,1019.9,54,1020.7,9.0
2016-01-12,7.7,10.3,5.3,1.0,2.9,,,,3.6,6.5,1015.7,63,1016.5,9.5
2016-01-13,6.4,10.7,3.0,0.0,8.5,,,,3.7,6.0,1015.5,64,1016.3,3.8
2016-01-14,6.3,10.8,1.9,,6.3,,,,3.1,5.3,1017.6,56,1018.4,7.0
2016-01-15,6.1,9.6,3.9,,6.2,,,,3.4,5.0,1019.8,54,1020.6,7.5
2016-01-16,5.8,10.6,2.4,,9.8,,,,3.0,4.8,1021.4,53,1022.2,0.3
2016-01-17,6.1,9.8,1.4,5.0,2.8,,,,1.4,6.5,1017.1,69,1017.9,10.0
2016-01-18,8.6,13.0,5.3,8.5,5.8,,,,5.0,7.5,1000.6,67,1001.4,6.3
2016-01-19,1.8,5.9,0.0,0.5,6.9,,0,,4.7,5.0,1010.5,72,1011.3,8.8
2016-01-20,4.3,8.6,-0.4,0.0,6.4,,0,,5.9,4.7,1018.9,57,1019.7,4.3
2016-01-21,5.9,8.6,2.6,,3.3,,,,3.1,5.7,1021.3,62,1022.1,8.0
2016-01-22,5.8,8.6,3.8,0.0,2.9,,,,3.5,6.1,1022.1,66,1022.9,10.0
2016-01-23,4.3,7.1,1.4,0.0,0.0,,,,3.0,5.7,1019.1,68,1019.9,10.0
2016-01-24,-2.1,1.4,-4.1,1.0,1.4,,2,3,3.2,3.9,1015.6,75,1016.4,7.8
2016-01-25,1.4,5.8,-3.4,0.0,9.7,,1,,3.8,4.1,1023.1,62,1023.9,3.5
2016-01-26,3.9,8.2,-0.8,,4.8,,,,2.4,5.4,1025.4,67,1026.2,6.8
2016-01-27,7.1,11.5,1.8,0.0,7.7,,,,2.5,6.0,1028.2,61,1029.0,9.5
2016-01-28,7.6,11.4,2.3,0.0,3.6,,,,1.6,7.6,1027.9,72,1028.7,5.3
2016-01-29,8.6,9.8,7.2,28.5,0.0,,,,2.0,10.4,1017.7,94,1018.5,10.0
2016-01-30,8.4,9.6,7.4,5.0,0.0,,,,3.8,8.2,1019.5,74,1020.3,10.0
2016-01-31,8.1,11.4,6.0,0.0,5.2,,,,2.4,6.9,1023.1,64,1023.9,6.8
