calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.4,11.2,2.0,0.0,6.8,,,,2.1,,,,,
2016-01-02,9.6,15.4,4.9,0.0,5.2,,,,2.2,,,,,
2016-01-03,9.4,15.0,4.8,0.0,4.9,,,,2.1,,,,,
2016-01-04,9.4,15.1,4.3,0.0,5.4,,,,2.9,,,,,
2016-01-05,7.9,10.9,4.9,0.0,0.6,,,,2.1,,,,,
2016-01-06,7.8,11.7,3.8,0.0,3.3,,,,2.3,,,,,
2016-01-07,5.6,8.0,2.9,25.0,0.1,,,,2.3,,,,,
2016-01-08,4.6,7.8,1.6,0.5,0.0,,,,2.9,,,,,
2016-01-09,6.2,9.7,3.6,0.0,2.0,,,,2.2,,,,,
2016-01-10,7.1,9.9,4.0,0.0,3.2,,,,3.0,,,,,
2016-01-11,6.7,10.4,4.1,5.5,3.1,,,,2.4,,,,,
2016-01-12,2.6,6.4,0.4,39.0,0.0,,,,2.4,,,,,
2016-01-13,2.8,6.8,0.1,0.5,1.1,,,,2.6,,,,,
2016-01-14,3.7,6.9,0.6,2.5,3.4,,,,3.7,,,,,
2016-01-15,3.7,7.0,0.7,4.0,2.7,,,,2.3,,,,,
2016-01-16,4.2,8.6,1.3,3.0,4.9,,,,1.9,,,,,
2016-01-17,4.4,8.9,0.3,7.0,0.3,,,,1.8,,,,,
2016-01-18,4.6,9.2,0.3,27.0,0.1,,,,3.7,,,,,
2016-01-19,-0.8,0.8,-2.4,2.5,1.8,,,,6.4,,,,,
2016-01-20,4.7,6.7,-1.9,11.0,0.7,,,,7.6,,,,,
2016-01-21,2.3,3.9,1.3,7.5,0.0,,,,1.6,,,,,
2016-01-22,2.4,5.0,0.3,13.0,0.0,,,,2.9,,,,,
2016-01-23,1.4,6.7,-1.6,13.0,0.9,,,,3.7,,,,,
2016-01-24,-3.9,1.1,-5.4,5.5,1.1,,,,4.8,,,,,
2016-01-25,0.4,3.7,-2.7,3.0,6.8,,,,4.3,,,,,
2016-01-26,2.4,7.3,-1.9,0.0,1.2,,,,2.0,,,,,
2016-01-27,4.7,8.7,1.5,0.0,2.4,,,,2.2,,,,,
2016-01-28,5.2,10.9,0.9,2.0,0.2,,,,1.9,,,,,
2016-01-29,6.3,8.7,4.3,42.5,0.0,,,,2.7,,,,,
2016-01-30,7.4,9.2,6.2,7.5,0.4,,,,4.5,,,,,
2016-01-31,6.4,10.2,2.6,0.0,3.7,,,,2.5,,,,,
2016-02-01,4.3,6.5,2.7,4.0,0.0,,,,2.0,,,,,
2016-02-02,2.4,4.8,0.7,26.0,0.0,,,,2.6,,,,,
2016-02-03,2.7,7.1,0.5,5.0,4.2,,,,2.0,,,,,
2016-02-04,4.5,9.7,0.1,0.0,5.3,,,,2.1,,,,,
2016-02-05,5.2,9.8,1.3,0.0,4.4,,,,2.5,,,,,
2016-02-06,3.9,7.0,1.3,12.5,3.2,,,,3.4,,,,,
2016-02-07,1.8,5.1,-1.8,4.5,2.5,,,,3.6,,,,,
2016-02-08,2.5,10.1,-2.8,0.0,5.4,,,,2.6,,,,,
2016-02-09,5.3,7.3,1.6,6.0,0.2,,,,5.5,,,,,
2016-02-10,4.8,8.4,-0.5,0.0,4.0,,,,3.2,,,,,
2016-02-11,3.9,10.4,-1.4,0.0,9.8,,,,2.7,,,,,
2016-02-12,9.3,17.8,-0.3,0.0,6.1,,,,2.3,,,,,
2016-02-13,12.3,15.1,10.0,14.0,0.2,,,,1.4,,,,,
2016-02-14,12.2,20.5,6.2,3.5,0.1,,,,3.5,,,,,
2016-02-15,2.1,6.6,0.0,39.0,0.0,,,,3.2,,,,,
2016-02-16,1.7,4.3,-1.1,0.0,6.0,,,,2.2,,,,,
