calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.1,11.9,3.9,0.0,5.5,,,,1.2,7.7,1028.7,77,1029.2,
2016-01-02,9.9,14.8,4.1,0.0,4.2,,,,2.4,9.0,1022.8,74,1023.3,
2016-01-03,9.2,16.2,4.2,,6.2,,,,1.3,9.9,1018.3,85,1018.8,
2016-01-04,8.5,14.0,4.6,,2.7,,,,1.6,9.1,1018.4,84,1018.9,
2016-01-05,6.9,10.6,3.0,0.0,0.7,,,,1.1,8.5,1021.8,87,1022.3,
2016-01-06,7.4,11.7,3.1,,1.8,,,,1.6,8.0,1019.8,79,1020.3,
2016-01-07,6.7,8.5,2.8,1.0,0.0,,,,2.0,7.2,1018.3,73,1018.8,
2016-01-08,4.5,5.6,2.9,2.0,0.0,,,,1.6,7.3,1017.8,87,1018.3,
2016-01-09,6.0,9.4,2.9,0.0,3.9,,,,2.5,6.4,1021.2,70,1021.7,
2016-01-10,6.8,8.3,4.3,0.0,0.2,,,,2.1,6.5,1022.4,66,1022.9,
2016-01-11,7.0,11.2,4.8,1.5,3.6,,,,1.8,7.1,1020.8,72,1021.3,
2016-01-12,3.8,7.4,1.0,32.0,0.0,,,,1.8,7.2,1018.0,90,1018.5,
2016-01-13,3.3,4.9,2.1,3.5,0.6,,,,2.3,6.9,1015.9,89,1016.4,
2016-01-14,4.3,5.7,2.0,3.0,0.7,,,,3.2,5.8,1017.9,70,1018.4,
2016-01-15,3.2,5.1,1.4,2.5,0.2,,,,1.2,6.5,1020.2,85,1020.7,
2016-01-16,5.1,9.6,0.8,0.5,7.5,,,,1.3,6.7,1022.1,78,1022.6,
2016-01-17,5.5,9.0,1.5,10.5,0.0,,,,1.5,7.5,1017.4,84,1017.9,
2016-01-18,5.7,9.7,0.9,31.5,0.2,,,,4.2,7.6,1002.7,81,1003.2,
2016-01-19,-0.7,1.4,-2.4,5.0,0.2,,6,7,6.9,4.2,1010.2,73,1010.7,
2016-01-20,4.0,6.4,-0.1,8.5,2.8,,6,1,4.0,5.9,1020.4,73,1020.9,
2016-01-21,3.0,5.9,1.3,15.0,0.1,,,,1.3,6.9,1022.1,91,1022.6,
2016-01-22,2.7,5.4,0.4,43.0,0.4,,1,1,2.1,6.7,1023.9,91,1024.4,
2016-01-23,1.9,4.2,0.1,12.5,0.0,,,,3.2,5.6,1020.3,80,1020.8,
2016-01-24,-3.5,0.3,-5.2,7.0,0.0,,10,10,5.4,3.2,1015.8,69,1016.3,
2016-01-25,0.6,3.5,-1.2,6.5,4.2,,18,10,2.8,5.4,1022.9,85,1023.4,
2016-01-26,2.0,3.7,0.2,0.5,0.0,,9,,1.2,6.4,1024.0,91,1024.5,
2016-01-27,4.3,8.0,1.6,0.0,1.0,,4,,1.1,7.0,1027.7,85,1028.2,
2016-01-28,4.5,7.2,0.6,7.5,0.0,,,,0.6,8.0,1027.5,95,1028.0,
2016-01-29,8.1,9.1,5.3,43.5,0.0,,,,3.4,10.1,1020.1,94,1020.6,
2016-01-30,7.8,11.0,6.9,6.5,1.2,,,,4.0,7.8,1021.9,74,1022.4,
2016-01-31,6.6,10.5,2.6,0.5,4.3,,,,1.9,7.6,1023.5,78,1024.0,
2016-02-01,4.8,5.9,3.2,23.0,0.0,,,,2.8,7.8,1021.2,91,1021.7,
2016-02-02,3.9,5.5,1.3,34.5,0.0,,,,2.8,7.1,1021.9,88,1022.4,
2016-02-03,4.2,9.0,1.2,4.5,5.4,,,,1.2,6.7,1024.0,83,1024.5,
2016-02-04,5.1,9.8,1.2,0.0,3.7,,,,2.2,6.6,1021.7,77,1022.2,
2016-02-05,5.3,10.5,1.9,0.0,3.2,,,,1.7,6.6,1018.8,76,1019.3,
2016-02-06,3.3,6.3,2.0,7.5,1.2,,,,2.1,6.7,1017.3,86,1017.8,
2016-02-07,2.7,5.9,-1.0,5.0,3.0,,,,1.9,5.1,1020.2,70,1020.7,
2016-02-08,3.4,9.4,-2.5,1.5,3.3,,,,2.1,6.1,1016.9,80,1017.4,
2016-02-09,6.0,8.9,3.2,3.0,1.6,,,,4.7,5.8,1016.2,63,1016.7,
2016-02-10,5.5,8.3,0.7,0.0,3.3,,,,1.6,6.0,1025.9,67,1026.4,
2016-02-11,5.0,11.9,-1.9,,10.0,,,,1.7,6.4,1029.0,76,1029.5,
2016-02-12,11.7,19.2,2.8,0.0,4.0,,,,2.0,7.9,1023.8,58,1024.3,
2016-02-13,14.6,18.7,11.2,13.5,1.7,,,,1.5,14.1,1012.6,85,1013.0,
2016-02-14,10.9,16.4,6.0,6.0,0.0,,,,4.1,11.7,1004.9,87,1005.4,
2016-02-15,2.6,6.0,0.4,25.5,0.1,,3,3,3.0,6.0,1012.3,82,1012.8,
2016-02-16,1.7,4.6,-0.1,6.0,1.2,,6,4,3.0,6.0,1015.9,87,1016.4,
2016-02-17,3.5,6.6,-0.1,9.0,1.8,,,,2.7,6.0,1020.9,78,1021.4,
2016-02-18,4.8,11.3,-1.9,0.0,9.2,,,,1.6,6.0,1023.9,72,1024.4,
2016-02-19,8.6,14.9,1.8,0.0,6.5,,,,2.0,8.2,1025.9,76,1026.4,
2016-02-20,7.6,9.0,6.5,33.0,0.0,,,,2.1,9.5,1018.2,91,1018.7,
2016-02-21,6.2,8.7,2.3,0.0,4.0,,,,3.2,5.0,1025.4,53,1025.9,
2016-02-22,5.4,10.5,0.4,,5.7,,,,1.2,5.2,1030.0,60,1030.5,
2016-02-23,7.1,10.4,4.2,0.5,0.4,,,,1.8,7.2,1024.9,72,1025.4,
2016-02-24,3.6,7.1,2.3,0.0,0.1,,,,3.5,5.2,1028.3,66,1028.8,
2016-02-25,3.5,6.3,1.0,0.5,3.6,,,,2.4,4.8,1030.0,62,1030.5,
2016-02-26,4.3,9.2,-0.3,2.5,3.9,,1,1,2.3,5.8,1028.7,72,1029.2,
2016-02-27,6.3,11.8,3.4,4.5,1.1,,,,1.7,8.2,1024.9,86,1025.4,
2016-02-28,8.5,16.1,1.2,0.0,6.8,,,,1.4,8.6,1021.1,79,1021.6,
2016-02-29,4.0,12.8,0.0,16.0,0.1,,2,2,4.4,6.3,1017.3,75,1017.8,
2016-03-01,1.9,3.7,1.0,2.0,0.5,,1,,2.0,5.5,1024.1,78,1024.6,
2016-03-02,6.0,11.7,1.2,0.0,9.4,,,,2.2,6.3,1024.3,71,1024.8,
2016-03-03,9.5,15.8,2.4,,10.5,,,,2.3,8.6,1024.9,73,1025.4,
2016-03-04,10.0,17.2,3.1,2.0,3.0,,,,1.0,9.7,1027.4,80,1027.9,
2016-03-05,15.5,23.5,8.3,1.0,9.2,,,,1.6,11.5,1024.6,69,1025.1,
2016-03-06,15.7,17.9,13.7,5.5,0.0,,,,2.2,13.6,1018.9,77,1019.4,
2016-03-07,12.5,16.0,9.3,0.0,6.0,,,,2.7,11.8,1017.4,82,1017.9,
2016-03-08,11.6,14.8,9.2,0.0,0.1,,,,1.8,11.2,1017.9,81,1018.4,
2016-03-09,7.2,10.1,6.1,15.0,0.0,,,,3.7,8.4,1017.6,83,1018.1,
2016-03-10,7.1,9.4,5.8,0.0,0.1,,,,3.4,6.2,1019.7,61,1020.2,
2016-03-11,5.0,7.0,2.9,1.0,0.5,,,,2.1,5.8,1021.4,67,1021.9,
2016-03-12,5.2,9.6,1.6,0.5,9.4,,,,1.7,6.4,1023.9,74,1024.4,
2016-03-13,6.5,11.4,1.8,3.0,2.2,,,,1.2,7.0,1022.8,74,1023.3,
2016-03-14,7.9,10.5,5.6,10.5,1.3,,,,2.6,7.5,1017.6,71,1018.1,
2016-03-15,7.0,10.9,2.3,,9.5,,,,2.1,5.7,1022.1,58,1022.6,
2016-03-16,8.2,16.1,1.3,,3.1,,,,1.3,7.5,1021.3,72,1021.8,
2016-03-17,10.3,18.5,2.3,,10.9,,,,1.4,9.0,1021.1,75,1021.6,
2016-03-18,12.5,16.5,7.4,13.0,0.1,,,,1.0,11.9,1013.7,83,1014.2,
2016-03-19,12.4,15.6,9.2,5.0,4.5,,,,2.0,12.1,1011.3,84,1011.8,
2016-03-20,9.5,12.4,7.3,0.0,8.4,,,,2.4,6.9,1019.7,59,1020.2,
2016-03-21,7.7,11.3,3.5,,9.6,,,,1.8,6.0,1022.5,58,1023.0,
2016-03-22,10.0,18.6,1.2,,11.2,,,,2.8,7.5,1017.0,65,1017.5,
2016-03-23,9.9,11.9,8.3,0.0,0.0,,,,2.8,8.5,1016.7,70,1017.2,
2016-03-24,7.9,10.4,5.9,0.0,2.4,,,,3.4,5.4,1021.4,51,1021.9,
2016-03-25,6.6,9.9,3.0,0.0,8.8,,,,2.2,4.9,1023.7,50,1024.2,
2016-03-26,6.1,11.9,-0.2,,11.7,,,,1.7,5.8,1021.5,65,1022.0,
2016-03-27,7.3,13.8,2.1,1.0,4.9,,,,1.4,7.8,1018.6,78,1019.1,
2016-03-28,9.2,15.3,2.5,,11.2,,,,1.5,8.4,1020.7,75,1021.2,
2016-03-29,11.7,18.7,4.1,,7.0,,,,2.8,8.4,1021.6,64,1022.1,
2016-03-30,13.0,19.2,8.3,0.0,4.3,,,,2.5,11.1,1019.1,75,1019.6,
2016-03-31,13.5,21.0,7.3,,6.5,,,,1.5,12.2,1017.2,80,1017.7,
2016-04-01,13.6,16.0,10.9,1.5,0.0,,,,1.6,14.1,1014.2,91,1014.7,
2016-04-02,15.0,22.2,8.9,,7.9,,,,1.2,14.0,1018.9,84,1019.4,
2016-04-03,17.3,22.0,13.5,3.0,0.7,,,,1.6,15.3,1017.0,79,1017.5,
2016-04-04,11.6,15.7,10.1,12.0,0.0,,,,3.4,12.7,1011.7,93,1012.2,
2016-04-05,12.3,17.7,7.2,,7.9,,,,1.6,11.6,1015.1,82,1015.6,
2016-04-06,13.6,18.8,6.7,0.0,6.4,,,,1.5,11.4,1017.7,75,1018.2,
2016-04-07,14.8,19.9,12.1,42.0,0.0,,,,2.8,15.6,1006.4,91,1006.9,
2016-04-08,14.8,21.6,10.1,,7.9,,,,1.9,13.1,1013.5,80,1014.0,
2016-04-09,17.0,25.2,10.7,,9.5,,,,1.8,11.0,1013.5,62,1013.9,
