calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,2.9,9.7,-0.5,1.5,4.2,,0,0,0.8,,,,,
2016-01-02,4.5,12.2,-1.0,0.0,6.0,,0,0,1.3,,,,,
2016-01-03,6.2,15.4,0.0,0.0,4.5,,0,0,0.8,,,,,
2016-01-04,6.4,13.8,2.0,0.0,2.7,,0,0,1.2,,,,,
2016-01-05,4.1,7.8,0.8,0.0,0.1,,0,0,0.5,,,,,
2016-01-06,4.6,11.1,1.0,0.0,2.6,,0,0,0.5,,,,,
2016-01-07,3.5,9.1,-0.9,0.5,2.3,,0,0,0.9,,,,,
2016-01-08,1.8,8.0,-2.2,0.0,0.2,,0,0,0.6,,,,,
2016-01-09,1.3,8.8,-2.9,0.0,1.5,,1,1,0.5,,,,,
2016-01-10,2.1,9.1,-3.4,0.0,1.8,,0,0,0.7,,,,,
2016-01-11,3.9,9.7,-0.9,0.5,2.5,,0,0,0.8,,,,,
2016-01-12,2.7,4.1,0.8,2.0,0.8,,0,0,1.6,,,,,
2016-01-13,1.7,6.1,-2.6,0.0,1.8,,0,0,0.7,,,,,
2016-01-14,1.0,6.4,-3.4,0.0,2.4,,1,1,0.7,,,,,
2016-01-15,0.9,7.4,-2.8,0.0,3.5,,1,1,0.6,,,,,
2016-01-16,1.7,8.7,-2.5,0.0,6.2,,0,0,0.8,,,,,
2016-01-17,1.7,7.6,-3.7,7.0,0.2,,0,0,0.3,,,,,
2016-01-18,2.2,6.9,0.1,16.0,0.2,,0,0,,,,,,
2016-01-19,-1.3,0.9,-4.0,0.5,1.0,,0,0,1.6,,,,,
2016-01-20,0.5,4.4,-3.1,8.5,1.2,,6,8,1.1,,,,,
2016-01-21,0.8,3.1,-0.5,2.0,0.0,,3,4,,,,,,
2016-01-22,1.3,3.6,-0.5,0.5,1.3,,0,0,1.7,,,,,
2016-01-23,0.9,5.9,-2.3,0.5,1.6,,0,0,1.3,,,,,
2016-01-24,-4.7,-2.0,-6.8,0.5,3.4,,2,4,1.9,,,,,
2016-01-25,-3.1,2.8,-7.3,6.5,4.2,,16,14,0.7,,,,,
2016-01-26,-1.4,4.3,-8.4,0.0,0.7,,1,1,0.7,,,,,
2016-01-27,1.1,5.6,-2.0,0.0,1.4,,0,0,0.5,,,,,
2016-01-28,1.6,6.9,-3.8,3.5,1.1,,0,0,0.7,,,,,
2016-01-29,3.2,5.9,1.8,42.0,0.0,,0,0,0.7,,,,,
2016-01-30,5.5,8.6,4.2,5.5,1.0,,0,0,2.0,,,,,
2016-01-31,4.2,9.9,0.6,0.0,3.5,,0,0,1.0,,,,,
2016-02-01,2.9,4.8,1.5,1.0,0.0,,0,0,0.5,,,,,
2016-02-02,2.3,4.1,0.8,5.0,0.2,,0,0,1.6,,,,,
2016-02-03,1.7,6.4,-1.1,0.0,3.7,,0,0,0.8,,,,,
2016-02-04,1.9,9.5,-3.3,0.0,5.4,,0,0,0.7,,,,,
2016-02-05,2.2,10.2,-2.9,0.0,5.1,,0,0,0.7,,,,,
2016-02-06,1.2,5.9,-2.8,5.5,2.7,,1,1,0.7,,,,,
2016-02-07,0.2,3.6,-2.7,11.0,5.6,,20,19,1.6,,,,,
2016-02-08,-0.2,7.1,-5.9,0.0,6.6,,4,0,1.2,,,,,
2016-02-09,0.6,5.5,-2.6,9.0,0.9,,0,0,0.8,,,,,
2016-02-10,1.3,5.5,-0.1,4.5,2.2,,2,4,,,,,,
2016-02-11,1.9,10.6,-3.3,0.0,9.1,,0,0,1.2,,,,,
2016-02-12,8.0,15.3,-1.5,0.0,4.0,,0,0,1.4,,,,,
2016-02-13,12.5,15.7,9.1,9.5,0.0,,0,0,0.9,,,,,
2016-02-14,12.1,17.1,5.9,9.0,0.1,,0,0,1.6,,,,,
2016-02-15,1.5,6.0,-1.1,5.5,0.0,,0,0,1.3,,,,,
2016-02-16,0.3,5.0,-4.1,0.0,5.0,,0,0,,,,,,
2016-02-17,0.9,3.3,-1.1,2.0,0.6,,0,0,1.0,,,,,
2016-02-18,1.5,9.3,-3.5,0.0,9.3,,0,0,,,,,,
2016-02-19,5.2,13.3,-2.3,0.0,6.0,,0,0,1.5,,,,,
2016-02-20,5.3,7.0,4.2,22.5,0.0,,0,0,1.0,,,,,
2016-02-21,2.7,6.5,-0.1,4.5,2.6,,0,0,1.5,,,,,
