calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.1,10.8,2.7,0.0,5.3,,,,1.5,,,,,
2016-01-02,8.9,14.3,3.4,0.0,5.8,,,,2.0,,,,,
2016-01-03,9.2,14.8,4.0,0.0,3.8,,,,1.6,,,,,
2016-01-04,,,,0.0,2.9,,,,2.5,,,,,
2016-01-05,,,,2.0,0.2,,,,1.3,,,,,
2016-01-06,,,,0.0,,,,,1.8,,,,,
2016-01-07,5.0,6.9,2.2,18.5,0.1,,,,1.5,,,,,
2016-01-08,4.4,8.8,0.1,0.0,2.3,,,,2.9,,,,,
2016-01-09,4.9,9.1,0.7,2.0,1.5,,,,1.6,,,,,
2016-01-10,6.0,8.1,1.4,0.0,0.5,,,,2.4,,,,,
2016-01-11,5.9,10.6,3.3,3.0,2.3,,,,2.2,,,,,
2016-01-12,2.0,4.4,0.4,41.5,0.0,,,,1.2,,,,,
2016-01-13,3.0,8.6,0.0,0.0,3.1,,,,2.5,,,,,
2016-01-14,3.0,5.5,-0.2,8.5,1.4,,,,2.6,,,,,
2016-01-15,2.4,6.1,0.4,7.5,1.5,,,,1.6,,,,,
2016-01-16,3.1,8.2,0.1,0.0,3.5,,,,1.4,,,,,
2016-01-17,4.3,9.2,-0.5,2.0,0.6,,,,1.3,,,,,
2016-01-18,4.6,9.1,0.7,23.5,0.1,,,,3.7,,,,,
2016-01-19,-0.6,1.6,-2.8,6.0,3.2,,,,5.6,,,,,
2016-01-20,3.2,6.6,-2.5,8.5,1.4,,,,5.6,,,,,
2016-01-21,1.6,3.2,0.5,5.5,0.0,,,,0.9,,,,,
2016-01-22,1.1,2.9,-0.2,21.0,0.0,,,,1.2,,,,,
2016-01-23,1.4,6.8,-1.5,11.0,1.5,,,,3.2,,,,,
