calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,0.0,,,11,0,,,,,,
2016-01-02,,,,0.0,,,8,0,,,,,,
2016-01-03,,,,0.0,,,2,0,,,,,,
2016-01-04,,,,0.0,,,0,0,,,,,,
2016-01-05,,,,0.0,,,0,0,,,,,,
2016-01-06,,,,0.0,,,0,0,,,,,,
2016-01-07,,,,1.5,,,0,0,,,,,,
2016-01-08,,,,2.5,,,3,4,,,,,,
2016-01-09,,,,0.0,,,3,0,,,,,,
2016-01-10,,,,0.0,,,2,0,,,,,,
2016-01-11,,,,3.0,,,5,5,,,,,,
2016-01-12,,,,3.0,,,24,19,,,,,,
2016-01-13,,,,4.0,,,28,6,,,,,,
2016-01-14,,,,1.0,,,30,6,,,,,,
2016-01-15,,,,1.5,,,34,6,,,,,,
2016-01-16,,,,0.0,,,32,1,,,,,,
2016-01-17,,,,3.5,,,31,6,,,,,,
2016-01-18,,,,27.5,,,44,18,,,,,,
2016-01-19,,,,2.5,,,51,12,,,,,,
2016-01-20,,,,18.0,,,66,19,,,,,,
2016-01-21,,,,4.0,,,67,8,,,,,,
2016-01-22,,,,14.5,,,100,33,,,,,,
2016-01-23,,,,12.5,,,107,17,,,,,,
2016-01-24,,,,8.0,,,131,30,,,,,,
2016-01-25,,,,14.5,,,147,18,,,,,,
2016-01-26,,,,0.0,,,132,0,,,,,,
2016-01-27,,,,0.0,,,120,0,,,,,,
2016-01-28,,,,4.0,,,112,0,,,,,,
2016-01-29,,,,25.0,,,94,0,,,,,,
2016-01-30,,,,4.0,,,79,17,,,,,,
2016-01-31,,,,0.5,,,79,0,,,,,,
2016-02-01,,,,4.5,,,79,5,,,,,,
2016-02-02,,,,18.5,,,116,37,,,,,,
2016-02-03,,,,0.0,,,117,1,,,,,,
2016-02-04,,,,0.0,,,110,0,,,,,,
2016-02-05,,,,0.0,,,105,0,,,,,,
2016-02-06,,,,7.5,,,114,15,,,,,,
2016-02-07,,,,6.5,,,152,39,,,,,,
2016-02-08,,,,0.0,,,145,0,,,,,,
2016-02-09,,,,1.5,,,137,3,,,,,,
2016-02-10,,,,0.5,,,135,0,,,,,,
2016-02-11,,,,0.0,,,131,0,,,,,,
2016-02-12,,,,0.0,,,125,0,,,,,,
2016-02-13,,,,24.0,,,99,0,,,,,,
2016-02-14,,,,25.0,,,64,0,,,,,,
2016-02-15,,,,21.5,,,95,43,,,,,,
2016-02-16,,,,3.5,,,99,10,,,,,,
2016-02-17,,,,14.0,,,119,21,,,,,,
2016-02-18,,,,0.0,,,114,0,,,,,,
2016-02-19,,,,0.0,,,104,0,,,,,,
2016-02-20,,,,55.0,,,92,1,,,,,,
2016-02-21,,,,0.0,,,82,4,,,,,,
2016-02-22,,,,0.0,,,77,0,,,,,,
2016-02-23,,,,1.0,,,75,2,,,,,,
2016-02-24,,,,5.0,,,106,32,,,,,,
2016-02-25,,,,0.0,,,105,1,,,,,,
2016-02-26,,,,1.0,,,104,4,,,,,,
2016-02-27,,,,4.0,,,103,2,,,,,,
2016-02-28,,,,0.0,,,94,0,,,,,,
2016-02-29,,,,21.0,,,104,23,,,,,,
2016-03-01,,,,2.0,,,108,7,,,,,,
2016-03-02,,,,0.0,,,103,0,,,,,,
2016-03-03,,,,0.0,,,93,0,,,,,,
2016-03-04,,,,3.0,,,86,0,,,,,,
2016-03-05,,,,1.0,,,79,0,,,,,,
2016-03-06,,,,0.0,,,64,0,,,,,,
2016-03-07,,,,0.0,,,42,0,,,,,,
2016-03-08,,,,2.0,,,35,0,,,,,,
2016-03-09,,,,15.5,,,34,5,,,,,,
2016-03-10,,,,0.0,,,34,0,,,,,,
2016-03-11,,,,2.5,,,43,10,,,,,,
2016-03-12,,,,1.5,,,47,5,,,,,,
2016-03-13,,,,2.0,,,41,3,,,,,,
2016-03-14,,,,3.0,,,45,6,,,,,,
2016-03-15,,,,0.0,,,44,0,,,,,,
2016-03-16,,,,0.0,,,39,0,,,,,,
2016-03-17,,,,0.0,,,36,0,,,,,,
2016-03-18,,,,16.5,,,29,0,,,,,,
2016-03-19,,,,17.0,,,12,0,,,,,,
2016-03-20,,,,0.0,,,2,0,,,,,,
2016-03-21,,,,0.0,,,0,0,,,,,,
2016-03-22,,,,0.0,,,0,0,,,,,,
2016-03-23,,,,0.0,,,0,0,,,,,,
2016-03-24,,,,0.0,,,0,0,,,,,,
2016-03-25,,,,0.0,,,0,0,,,,,,
2016-03-26,,,,0.0,,,0,0,,,,,,
2016-03-27,,,,0.5,,,0,0,,,,,,
2016-03-28,,,,0.0,,,0,0,,,,,,
2016-03-29,,,,0.0,,,0,0,,,,,,
2016-03-30,,,,3.5,,,0,0,,,,,,
2016-03-31,,,,0.0,,,0,0,,,,,,
2016-04-01,,,,6.0,,,0,0,,,,,,
2016-04-02,,,,0.0,,,0,0,,,,,,
2016-04-03,,,,5.5,,,0,0,,,,,,
2016-04-04,,,,3.5,,,0,0,,,,,,
2016-04-05,,,,0.0,,,0,0,,,,,,
2016-04-06,,,,0.0,,,0,0,,,,,,
2016-04-07,,,,33.0,,,0,0,,,,,,
2016-04-08,,,,0.0,,,0,0,,,,,,
2016-04-09,,,,0.0,,,0,0,,,,,,
2016-04-10,,,,0.0,,,0,0,,,,,,
2016-04-11,,,,1.5,,,0,0,,,,,,
2016-04-12,,,,0.0,,,0,0,,,,,,
2016-04-13,,,,12.0,,,0,0,,,,,,
2016-04-14,,,,0.0,,,0,0,,,,,,
2016-04-15,,,,0.0,,,0,0,,,,,,
2016-04-16,,,,0.0,,,0,0,,,,,,
2016-04-17,,,,1.5,,,0,0,,,,,,
2016-04-18,,,,0.0,,,0,0,,,,,,
2016-04-19,,,,0.0,,,0,0,,,,,,
2016-04-20,,,,0.0,,,0,0,,,,,,
2016-04-21,,,,27.5,,,0,0,,,,,,
2016-04-22,,,,5.0,,,0,0,,,,,,
2016-04-23,,,,0.0,,,0,0,,,,,,
2016-04-24,,,,0.0,,,0,0,,,,,,
2016-04-25,,,,0.0,,,0,0,,,,,,
2016-04-26,,,,0.0,,,0,0,,,,,,
2016-04-27,,,,39.5,,,0,0,,,,,,
2016-04-28,,,,15.5,,,0,0,,,,,,
2016-04-29,,,,0.0,,,0,0,,,,,,
2016-04-30,,,,0.0,,,0,0,,,,,,
2016-05-01,,,,0.0,,,0,0,,,,,,
2016-05-02,,,,0.0,,,0,0,,,,,,
2016-05-03,,,,0.0,,,0,0,,,,,,
2016-05-04,,,,0.0,,,0,0,,,,,,
2016-05-05,,,,0.0,,,0,0,,,,,,
2016-05-06,,,,4.0,,,0,0,,,,,,
2016-05-07,,,,3.0,,,0,0,,,,,,
2016-05-08,,,,0.0,,,0,0,,,,,,
2016-05-09,,,,6.5,,,0,0,,,,,,
2016-05-10,,,,14.0,,,0,0,,,,,,
2016-05-11,,,,34.0,,,0,0,,,,,,
2016-05-12,,,,0.0,,,0,0,,,,,,
2016-05-13,,,,0.0,,,0,0,,,,,,
2016-05-14,,,,0.0,,,0,0,,,,,,
2016-05-15,,,,0.0,,,0,0,,,,,,
2016-05-16,,,,39.0,,,0,0,,,,,,
2016-05-17,,,,0.0,,,0,0,,,,,,
2016-05-18,,,,0.0,,,0,0,,,,,,
2016-05-19,,,,0.0,,,0,0,,,,,,
2016-05-20,,,,0.0,,,0,0,,,,,,
2016-05-21,,,,0.0,,,0,0,,,,,,
2016-05-22,,,,0.0,,,0,0,,,,,,
2016-05-23,,,,0.0,,,0,0,,,,,,
2016-05-24,,,,2.0,,,0,0,,,,,,
2016-05-25,,,,1.0,,,0,0,,,,,,
2016-05-26,,,,12.0,,,0,0,,,,,,
2016-05-27,,,,0.0,,,0,0,,,,,,
2016-05-28,,,,0.0,,,0,0,,,,,,
2016-05-29,,,,10.0,,,0,0,,,,,,
2016-05-30,,,,11.0,,,0,0,,,,,,
2016-05-31,,,,0.0,,,0,0,,,,,,
2016-06-01,,,,0.0,,,0,0,,,,,,
2016-06-02,,,,0.0,,,0,0,,,,,,
2016-06-03,,,,0.0,,,0,0,,,,,,
2016-06-04,,,,5.0,,,0,0,,,,,,
2016-06-05,,,,5.0,,,0,0,,,,,,
2016-06-06,,,,0.0,,,0,0,,,,,,
2016-06-07,,,,0.0,,,0,0,,,,,,
2016-06-08,,,,2.5,,,0,0,,,,,,
2016-06-09,,,,31.5,,,0,0,,,,,,
2016-06-10,,,,0.0,,,0,0,,,,,,
2016-06-11,,,,0.0,,,0,0,,,,,,
2016-06-12,,,,38.5,,,0,0,,,,,,
2016-06-13,,,,21.0,,,0,0,,,,,,
2016-06-14,,,,0.0,,,0,0,,,,,,
2016-06-15,,,,0.0,,,0,0,,,,,,
2016-06-16,,,,14.0,,,0,0,,,,,,
2016-06-17,,,,0.0,,,0,0,,,,,,
2016-06-18,,,,0.0,,,0,0,,,,,,
2016-06-19,,,,10.5,,,0,0,,,,,,
2016-06-20,,,,0.5,,,0,0,,,,,,
2016-06-21,,,,7.0,,,0,0,,,,,,
2016-06-22,,,,6.5,,,0,0,,,,,,
2016-06-23,,,,13.0,,,0,0,,,,,,
2016-06-24,,,,42.5,,,0,0,,,,,,
2016-06-25,,,,1.5,,,0,0,,,,,,
2016-06-26,,,,0.0,,,0,0,,,,,,
2016-06-27,,,,1.0,,,0,0,,,,,,
2016-06-28,,,,1.0,,,0,0,,,,,,
2016-06-29,,,,3.5,,,0,0,,,,,,
2016-06-30,,,,1.0,,,0,0,,,,,,
2016-07-01,,,,0.0,,,0,0,,,,,,
2016-07-02,,,,1.5,,,0,0,,,,,,
2016-07-03,,,,63.0,,,0,0,,,,,,
2016-07-04,,,,12.5,,,0,0,,,,,,
2016-07-05,,,,1.0,,,0,0,,,,,,
2016-07-06,,,,16.0,,,0,0,,,,,,
2016-07-07,,,,0.0,,,0,0,,,,,,
2016-07-08,,,,9.0,,,0,0,,,,,,
2016-07-09,,,,8.5,,,0,0,,,,,,
2016-07-10,,,,0.0,,,0,0,,,,,,
2016-07-11,,,,1.0,,,0,0,,,,,,
2016-07-12,,,,18.5,,,0,0,,,,,,
2016-07-13,,,,20.5,,,0,0,,,,,,
2016-07-14,,,,2.0,,,0,0,,,,,,
2016-07-15,,,,14.0,,,0,0,,,,,,
2016-07-16,,,,0.0,,,0,0,,,,,,
2016-07-17,,,,13.5,,,0,0,,,,,,
2016-07-18,,,,0.0,,,0,0,,,,,,
2016-07-19,,,,0.0,,,0,0,,,,,,
2016-07-20,,,,0.0,,,0,0,,,,,,
2016-07-21,,,,0.0,,,0,0,,,,,,
2016-07-22,,,,0.0,,,0,0,,,,,,
2016-07-23,,,,0.0,,,0,0,,,,,,
2016-07-24,,,,0.0,,,0,0,,,,,,
2016-07-25,,,,0.5,,,0,0,,,,,,
2016-07-26,,,,1.0,,,0,0,,,,,,
2016-07-27,,,,2.5,,,0,0,,,,,,
2016-07-28,,,,0.0,,,0,0,,,,,,
2016-07-29,,,,0.0,,,0,0,,,,,,
2016-07-30,,,,0.0,,,0,0,,,,,,
2016-07-31,,,,0.0,,,0,0,,,,,,
2016-08-01,,,,0.0,,,0,0,,,,,,
2016-08-02,,,,0.0,,,0,0,,,,,,
2016-08-03,,,,0.0,,,0,0,,,,,,
2016-08-04,,,,0.0,,,0,0,,,,,,
2016-08-05,,,,0.0,,,0,0,,,,,,
2016-08-06,,,,0.0,,,0,0,,,,,,
2016-08-07,,,,0.0,,,0,0,,,,,,
2016-08-08,,,,0.0,,,0,0,,,,,,
2016-08-09,,,,0.0,,,0,0,,,,,,
2016-08-10,,,,0.0,,,0,0,,,,,,
2016-08-11,,,,0.0,,,0,0,,,,,,
2016-08-12,,,,0.0,,,0,0,,,,,,
2016-08-13,,,,0.0,,,0,0,,,,,,
2016-08-14,,,,0.0,,,0,0,,,,,,
2016-08-15,,,,6.5,,,0,0,,,,,,
2016-08-16,,,,46.0,,,0,0,,,,,,
2016-08-17,,,,6.0,,,0,0,,,,,,
2016-08-18,,,,0.0,,,0,0,,,,,,
2016-08-19,,,,0.0,,,0,0,,,,,,
2016-08-20,,,,4.0,,,0,0,,,,,,
2016-08-21,,,,12.0,,,0,0,,,,,,
2016-08-22,,,,23.0,,,0,0,,,,,,
2016-08-23,,,,0.0,,,0,0,,,,,,
2016-08-24,,,,0.0,,,0,0,,,,,,
2016-08-25,,,,5.0,,,0,0,,,,,,
2016-08-26,,,,81.0,,,0,0,,,,,,
