calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,6.9,11.8,2.2,0.0,5.7,,,,2.1,6.9,1028.3,72,1029.3,
2016-01-02,11.0,15.9,7.6,,5.0,,,,3.1,7.9,1022.5,60,1023.5,
2016-01-03,10.4,16.3,5.1,,5.8,,,,2.1,9.5,1017.9,76,1018.9,
2016-01-04,9.1,14.5,4.6,,5.1,,,,2.4,8.6,1018.0,75,1019.0,
2016-01-05,6.7,10.5,2.7,0.0,0.2,,,,1.8,7.7,1021.4,79,1022.4,
2016-01-06,7.6,11.9,4.0,,2.0,,,,2.3,7.4,1019.4,72,1020.4,
2016-01-07,6.3,8.7,4.5,1.0,0.3,,,,2.1,6.9,1018.0,72,1019.0,
2016-01-08,4.9,5.8,3.5,0.0,0.0,,,,2.4,6.4,1017.5,74,1018.5,
2016-01-09,6.1,9.6,3.1,0.0,4.4,,,,2.8,5.6,1020.9,60,1021.9,
2016-01-10,6.7,9.2,3.6,0.0,0.3,,,,2.5,6.0,1022.0,62,1023.0,
2016-01-11,6.7,10.8,4.0,1.0,4.0,,,,2.5,6.5,1020.4,68,1021.4,
2016-01-12,3.2,4.8,1.9,26.0,0.0,,,,1.3,6.9,1017.6,90,1018.6,
2016-01-13,3.1,5.1,1.9,4.0,0.9,,,,2.6,6.4,1015.5,84,1016.5,
2016-01-14,3.6,6.1,1.7,5.0,1.5,,,,2.7,5.8,1017.7,74,1018.7,
2016-01-15,2.8,6.9,0.4,1.5,0.9,,,,2.2,5.9,1019.9,79,1020.9,
2016-01-16,4.3,9.8,0.1,0.0,8.4,,,,1.9,5.8,1021.6,71,1022.6,
2016-01-17,5.0,9.0,0.9,10.5,0.0,,,,1.5,6.5,1016.9,76,1017.9,
2016-01-18,4.7,9.7,0.5,29.0,0.2,,,,4.1,7.2,1002.5,82,1003.5,
2016-01-19,-0.4,1.4,-2.3,0.5,0.9,,2,2,7.7,3.9,1010.1,65,1011.1,
2016-01-20,2.2,6.0,-1.4,11.0,1.7,,7,5,3.3,5.8,1020.2,82,1021.2,
2016-01-21,3.0,6.2,0.8,2.0,0.4,,,,1.6,6.5,1021.6,86,1022.6,
2016-01-22,1.6,4.4,0.1,31.0,0.1,,2,2,1.7,6.2,1023.5,90,1024.5,
2016-01-23,1.2,3.4,-0.8,11.0,0.0,,1,1,2.9,5.4,1020.1,81,1021.1,
2016-01-24,-4.4,-0.4,-5.8,8.5,0.0,,14,14,5.1,3.2,1015.8,72,1016.8,
2016-01-25,-0.2,3.1,-4.7,4.5,4.5,,18,4,2.4,5.0,1022.7,83,1023.7,
2016-01-26,2.5,5.3,-0.2,0.0,0.1,,11,,2.2,5.6,1023.6,76,1024.6,
2016-01-27,4.4,7.8,1.7,0.0,0.9,,6,,2.1,6.2,1027.3,75,1028.3,
2016-01-28,4.7,7.9,1.0,5.5,0.0,,2,,1.1,7.1,1027.0,83,1028.0,
2016-01-29,6.2,8.8,4.1,36.5,0.0,,,,2.3,8.8,1019.3,92,1020.3,
2016-01-30,7.6,10.7,5.7,6.5,1.4,,,,4.6,7.7,1021.2,74,1022.2,
2016-01-31,5.8,10.5,1.4,0.0,3.9,,,,2.1,7.3,1023.1,79,1024.1,
2016-02-01,4.8,6.6,3.5,1.0,0.0,,,,2.1,7.2,1020.6,83,1021.6,
2016-02-02,3.3,4.7,1.7,21.0,0.0,,,,2.8,6.8,1021.5,88,1022.5,
2016-02-03,4.1,8.9,0.7,0.5,6.6,,,,1.7,6.3,1023.5,78,1024.5,
2016-02-04,5.3,10.0,1.2,,4.4,,,,2.8,5.8,1021.3,67,1022.3,
2016-02-05,5.9,11.1,1.7,0.0,6.0,,,,2.3,5.8,1018.4,64,1019.4,
2016-02-06,2.9,8.0,-0.9,3.5,5.7,,,,2.5,5.8,1016.8,77,1017.8,
2016-02-07,2.1,6.9,-1.0,9.0,5.9,,1,1,2.8,5.4,1019.9,77,1020.9,
2016-02-08,4.2,10.1,-2.1,0.0,2.8,,,,2.8,5.1,1016.5,63,1017.5,
2016-02-09,6.5,9.7,4.0,3.0,4.9,,,,5.5,5.1,1015.7,53,1016.7,
2016-02-10,4.9,9.7,0.4,0.0,6.1,,,,1.9,5.3,1025.4,62,1026.4,
2016-02-11,4.7,12.0,-2.1,,9.7,,,,1.9,5.7,1028.4,69,1029.4,
2016-02-12,13.4,18.9,3.2,0.0,4.5,,,,4.3,6.9,1023.3,45,1024.3,
2016-02-13,15.3,18.4,12.3,18.0,1.0,,,,3.0,13.6,1012.0,78,1013.0,
2016-02-14,11.6,19.0,6.1,6.5,0.0,,,,4.0,11.8,1004.4,84,1005.4,
2016-02-15,1.8,6.1,0.0,21.0,0.0,,4,6,3.0,5.7,1012.1,83,1013.1,
2016-02-16,1.2,3.9,-1.3,5.0,2.9,,7,4,3.1,5.6,1015.8,85,1016.8,
2016-02-17,2.9,6.4,0.0,5.5,2.5,,,,3.0,5.8,1020.6,78,1021.6,
2016-02-18,4.9,11.5,-1.1,,9.5,,,,2.6,5.2,1023.5,62,1024.5,
2016-02-19,9.2,14.8,3.1,,5.8,,,,2.8,7.2,1025.5,62,1026.5,
2016-02-20,7.2,8.4,6.1,33.5,0.0,,,,1.8,8.9,1017.8,87,1018.8,
2016-02-21,5.6,9.1,0.7,0.0,3.3,,,,3.2,4.9,1025.1,55,1026.1,
2016-02-22,4.9,10.3,-0.3,,4.6,,,,1.7,4.8,1029.6,58,1030.6,
2016-02-23,6.6,10.6,3.4,0.5,1.0,,,,1.9,6.7,1024.4,69,1025.4,
2016-02-24,2.7,6.9,0.8,4.0,0.0,,,,4.0,5.6,1027.8,76,1028.8,
2016-02-25,2.7,6.9,-0.4,0.0,4.5,,,,2.6,4.7,1029.7,65,1030.7,
2016-02-26,4.3,10.0,-1.0,1.5,6.0,,3,3,3.2,5.2,1028.3,64,1029.3,
2016-02-27,7.1,13.0,3.7,3.5,1.0,,,,2.5,7.4,1024.4,75,1025.4,
2016-02-28,9.6,17.0,1.5,,7.0,,,,2.7,7.8,1020.6,69,1021.6,
2016-02-29,3.9,13.7,-0.7,11.5,0.1,,6,6,4.7,6.2,1017.1,74,1018.1,
2016-03-01,1.6,4.0,-0.2,1.0,2.4,,5,2,2.6,5.1,1023.7,74,1024.7,
2016-03-02,5.7,11.7,0.5,0.0,8.5,,,,2.6,5.8,1023.9,65,1024.9,
2016-03-03,9.1,15.6,3.1,,7.8,,,,3.1,7.4,1024.5,65,1025.5,
2016-03-04,10.3,16.8,2.9,2.5,2.0,,,,1.2,9.1,1026.9,73,1027.9,
2016-03-05,16.2,23.4,8.6,1.0,9.4,,,,3.3,10.5,1024.2,61,1025.1,
2016-03-06,16.3,18.6,13.6,2.5,0.1,,,,3.2,12.2,1018.2,66,1019.2,
2016-03-07,12.7,16.2,8.9,,3.9,,,,2.8,11.8,1016.8,81,1017.8,
2016-03-08,11.2,14.6,9.1,0.0,0.2,,,,2.1,10.7,1017.5,80,1018.5,
2016-03-09,7.1,10.1,5.7,18.5,0.0,,,,4.2,8.1,1016.9,80,1017.9,
2016-03-10,7.2,9.6,5.4,0.0,1.4,,,,4.0,5.8,1018.9,58,1019.9,
2016-03-11,4.7,7.1,2.9,3.0,0.9,,,,2.5,6.0,1020.9,71,1021.9,
2016-03-12,4.6,10.1,0.3,0.0,9.3,,,,2.2,5.8,1023.4,71,1024.4,
2016-03-13,6.1,12.1,0.8,2.5,2.2,,,,1.6,6.4,1022.3,70,1023.3,
2016-03-14,7.5,11.3,4.6,9.0,1.8,,,,3.2,7.3,1017.0,72,1018.0,
2016-03-15,7.0,11.1,1.8,,8.6,,,,3.0,5.2,1021.6,53,1022.6,
2016-03-16,8.3,16.3,0.3,,2.1,,,,1.6,6.6,1020.8,63,1021.8,
2016-03-17,10.8,18.6,2.6,,10.3,,,,1.9,7.9,1020.6,63,1021.6,
