calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.6,10.0,2.0,0.5,4.7,,,,,6.5,1027.3,78,1028.9,
2016-01-02,8.0,14.6,3.2,0.0,1.4,,,,,7.5,1020.7,70,1022.3,
2016-01-03,9.5,16.8,4.3,0.0,6.8,,,,,8.9,1016.5,76,1018.1,
2016-01-04,9.2,15.0,5.2,0.0,2.3,,,,,8.7,1015.4,75,1017.0,
2016-01-05,7.7,11.7,5.7,1.0,0.3,,,,,8.5,1019.1,82,1020.7,
2016-01-06,6.7,10.3,4.6,0.5,0.3,,,,,8.5,1017.8,87,1019.4,
2016-01-07,4.4,6.5,2.5,13.0,0.0,,,,,7.8,1015.6,93,1017.2,
2016-01-08,4.2,7.0,2.3,16.5,0.0,,,,,7.7,1014.4,93,1016.0,
2016-01-09,4.2,6.6,1.9,6.5,1.0,,,,,7.2,1018.6,87,1020.2,
2016-01-10,5.3,8.9,3.8,10.5,1.3,,,,,7.8,1018.9,88,1020.5,
2016-01-11,3.2,4.3,0.8,14.5,0.0,,,,,7.0,1019.6,91,1021.2,
2016-01-12,2.3,3.6,-0.1,5.0,0.0,,,,,6.0,1016.5,84,1018.1,
2016-01-13,2.3,7.3,-0.7,17.0,0.9,,,,,6.3,1012.7,87,1014.3,
2016-01-14,1.6,3.6,0.3,32.0,0.0,,1,1,,6.7,1013.8,97,1015.4,
2016-01-15,1.9,4.1,0.4,17.0,0.4,,,,,6.7,1017.1,95,1018.8,
2016-01-16,2.6,4.7,1.2,18.0,0.3,,,,,6.8,1020.4,92,1022.1,
2016-01-17,3.9,6.6,-0.1,0.5,3.3,,,,,6.6,1019.6,83,1021.2,
2016-01-18,5.4,8.0,3.4,34.0,0.0,,,,,8.3,997.5,92,999.1,
2016-01-19,0.4,5.4,-1.6,42.0,0.5,,26,27,,5.4,1002.5,86,1004.1,
2016-01-20,2.2,6.0,-1.1,9.0,1.3,,29,5,,5.9,1012.7,83,1014.3,
2016-01-21,1.1,2.8,-0.2,6.0,0.6,,23,4,,6.0,1020.7,91,1022.4,
2016-01-22,0.3,2.2,-1.5,1.5,0.8,,20,3,,5.6,1023.2,89,1024.9,
2016-01-23,0.7,4.0,-2.0,18.0,1.5,,19,4,,5.5,1016.6,86,1018.3,
2016-01-24,-1.4,1.2,-3.8,64.0,0.5,,79,64,,4.8,1007.6,87,1009.3,
2016-01-25,-1.4,0.7,-4.0,10.5,0.4,,80,7,,5.3,1019.3,96,1021.0,
2016-01-26,2.0,6.2,-1.8,0.0,5.5,,73,,,5.6,1021.6,80,1023.3,
2016-01-27,4.2,7.7,1.8,0.5,2.3,,54,,,6.4,1025.0,77,1026.7,
2016-01-28,5.2,9.2,1.9,0.0,2.1,,38,,,6.9,1026.4,79,1028.0,
2016-01-29,4.7,6.6,3.5,39.5,0.0,,32,,,7.8,1021.7,91,1023.3,
2016-01-30,4.3,6.7,1.8,6.0,1.2,,18,,,6.9,1020.8,83,1022.4,
2016-01-31,4.4,7.5,1.2,4.5,4.8,,16,,,6.7,1021.9,82,1023.5,
2016-02-01,2.5,3.4,1.1,1.0,0.0,,12,,,5.8,1021.9,79,1023.6,
2016-02-02,1.8,3.7,0.5,0.5,0.0,,11,1,,5.6,1021.2,82,1022.9,
2016-02-03,2.1,6.4,0.3,0.0,2.6,,11,,,5.6,1022.9,79,1024.6,
2016-02-04,3.0,8.5,-1.4,7.0,2.3,,8,,,6.1,1019.2,81,1020.9,
2016-02-05,5.2,9.2,2.7,6.5,4.7,,4,,,7.4,1016.8,84,1018.4,
2016-02-06,3.3,8.5,0.9,8.0,2.3,,,,,6.8,1014.4,88,1016.0,
2016-02-07,1.0,4.7,-1.6,0.0,2.8,,,,,5.1,1018.8,78,1020.5,
2016-02-08,2.9,9.2,-3.4,0.0,9.8,,,,,4.7,1016.1,65,1017.7,
2016-02-09,1.5,4.1,0.3,44.5,0.0,,3,4,,6.5,1012.0,96,1013.7,
2016-02-10,1.5,4.6,0.0,1.0,3.9,,4,3,,5.8,1024.6,85,1026.3,
2016-02-11,3.2,8.2,-2.1,,10.1,,,,,5.7,1030.1,76,1031.7,
2016-02-12,8.6,18.1,-1.1,,7.3,,,,,7.4,1025.3,69,1027.0,
2016-02-13,12.8,16.7,9.7,2.5,0.1,,,,,11.5,1014.1,78,1015.7,
2016-02-14,11.1,15.8,6.4,18.0,0.0,,,,,12.4,1001.0,93,1002.6,
2016-02-15,2.0,6.4,-0.5,6.0,0.0,,,,,6.0,1009.3,83,1010.9,
2016-02-16,0.4,2.9,-1.3,17.5,1.3,,1,1,,5.9,1012.5,94,1014.2,
2016-02-17,0.9,2.4,0.2,20.0,1.5,,7,7,,6.2,1017.8,95,1019.5,
2016-02-18,4.0,9.6,-0.2,,9.0,,5,,,5.8,1022.7,72,1024.4,
2016-02-19,7.3,13.6,0.9,0.0,5.1,,,,,7.0,1024.5,69,1026.2,
2016-02-20,6.9,8.7,5.1,22.0,0.0,,,,,8.4,1017.1,84,1018.7,
2016-02-21,5.8,9.0,1.7,4.0,3.3,,,,,7.0,1020.7,75,1022.4,
2016-02-22,3.9,6.6,1.5,0.0,0.8,,,,,6.4,1029.2,80,1030.8,
2016-02-23,6.2,10.3,3.2,6.5,0.0,,,,,7.1,1022.3,76,1023.9,
2016-02-24,2.5,5.5,-0.1,0.0,3.1,,,,,4.7,1026.0,64,1027.7,
2016-02-25,2.5,8.1,-0.5,3.5,5.3,,,,,4.8,1027.1,69,1028.7,
2016-02-26,0.9,2.2,0.0,19.5,0.4,,7,8,,6.2,1026.5,96,1028.2,
2016-02-27,4.7,10.3,-0.6,1.5,5.8,,4,,,6.4,1023.5,75,1025.1,
2016-02-28,6.6,10.8,1.7,,9.5,,,,,7.1,1021.9,74,1023.5,
2016-02-29,4.9,14.8,-0.7,19.0,0.0,,5,5,,7.1,1011.5,83,1013.1,
2016-03-01,-0.6,0.5,-1.4,8.5,0.8,,15,12,,5.4,1021.1,91,1022.8,
2016-03-02,1.7,5.0,-1.4,4.0,2.7,,18,4,,6.3,1022.5,91,1024.2,
2016-03-03,5.1,11.4,0.0,0.5,2.3,,4,,,7.1,1023.6,80,1025.2,
2016-03-04,5.9,11.3,0.1,,10.0,,,,,7.8,1028.4,85,1030.0,
2016-03-05,8.7,12.4,5.0,0.0,4.1,,,,,9.4,1026.9,83,1028.5,
2016-03-06,15.5,23.3,6.2,1.0,5.9,,,,,10.4,1018.7,61,1020.3,
2016-03-07,11.5,15.7,10.1,0.5,0.2,,,,,11.4,1016.9,84,1018.5,
2016-03-08,11.2,16.4,8.4,0.0,1.4,,,,,11.0,1015.7,83,1017.3,
2016-03-09,5.2,9.5,3.1,10.5,0.0,,,,,7.2,1017.8,82,1019.4,
2016-03-10,5.0,6.9,2.6,0.0,0.5,,,,,5.3,1019.3,61,1020.9,
2016-03-11,4.6,8.3,1.1,1.0,5.2,,,,,5.2,1019.1,62,1020.7,
2016-03-12,3.6,7.7,0.6,15.0,4.8,,,,,6.0,1022.8,78,1024.4,
2016-03-13,5.1,11.1,-0.4,2.0,3.7,,,,,6.0,1022.5,70,1024.2,
2016-03-14,4.8,7.1,2.6,8.5,0.4,,,,,7.6,1015.9,89,1017.5,
2016-03-15,5.3,8.8,1.9,0.0,5.2,,,,,5.8,1019.1,66,1020.7,
2016-03-16,8.5,16.8,0.2,,7.7,,,,,5.4,1020.5,53,1022.1,
2016-03-17,11.0,18.3,4.4,,11.0,,,,,7.8,1020.5,61,1022.1,
2016-03-18,12.8,20.3,5.2,2.5,2.4,,,,,9.0,1014.4,66,1016.0,
2016-03-19,11.4,14.3,8.2,8.5,0.0,,,,,12.5,1008.1,92,1009.7,
2016-03-20,8.0,11.4,5.5,1.0,0.8,,,,,8.0,1016.0,74,1017.6,
2016-03-21,6.2,10.1,3.5,,6.6,,,,,5.2,1020.1,56,1021.7,
2016-03-22,9.4,16.9,0.7,0.0,11.0,,,,,6.0,1015.3,55,1017.0,
2016-03-23,7.9,10.7,4.6,3.5,0.0,,,,,7.4,1016.4,70,1018.0,
2016-03-24,4.8,9.4,1.6,0.0,4.3,,,,,6.4,1018.0,76,1019.6,
2016-03-25,3.9,7.1,1.4,0.0,2.5,,,,,6.2,1020.8,77,1022.4,
2016-03-26,6.3,10.6,0.6,,9.7,,,,,6.0,1020.2,65,1021.9,
2016-03-27,7.2,11.3,1.3,,11.6,,,,,7.1,1018.0,71,1019.6,
2016-03-28,8.5,13.4,4.2,0.0,8.7,,,,,8.5,1019.3,77,1020.9,
2016-03-29,10.9,16.8,4.1,,9.8,,,,,7.5,1021.0,61,1022.6,
2016-03-30,12.3,19.6,6.7,0.0,1.6,,,,,8.8,1017.8,63,1019.4,
2016-03-31,10.7,17.2,4.5,,10.4,,,,,7.8,1017.5,62,1019.1,
2016-04-01,11.2,15.3,6.2,,9.5,,,,,9.6,1015.9,73,1017.5,
2016-04-02,12.6,18.0,6.8,,10.9,,,,,10.7,1018.9,74,1020.5,
2016-04-03,17.4,24.5,11.6,0.0,3.3,,,,,12.2,1017.0,64,1018.5,
2016-04-04,9.8,13.0,8.8,26.5,0.0,,,,,11.3,1010.2,93,1011.8,
2016-04-05,11.5,17.6,8.0,0.0,6.5,,,,,9.6,1013.4,72,1015.0,
2016-04-06,11.3,16.2,6.2,,9.9,,,,,10.3,1018.1,77,1019.7,
2016-04-07,12.7,17.7,10.4,24.5,0.0,,,,,13.2,1006.2,89,1007.8,
2016-04-08,13.6,18.3,10.5,,4.9,,,,,12.3,1011.5,80,1013.1,
2016-04-09,15.9,23.7,7.4,,11.2,,,,,8.5,1012.0,51,1013.5,
2016-04-10,14.2,22.2,9.9,0.0,3.1,,,,,10.0,1009.9,64,1011.5,
2016-04-11,6.5,10.2,3.7,10.0,2.7,,,,,6.4,1018.5,68,1020.1,
2016-04-12,7.6,11.6,2.3,,10.1,,,,,6.5,1019.8,63,1021.4,
2016-04-13,14.9,24.9,7.1,25.5,6.6,,,,,11.8,1010.4,72,1011.9,
2016-04-14,14.0,19.1,12.1,2.0,4.5,,,,,13.9,1006.6,87,1008.1,
2016-04-15,11.6,15.0,9.5,,10.3,,,,,8.6,1018.6,64,1020.2,
2016-04-16,12.4,19.3,5.6,,11.6,,,,,9.0,1016.6,64,1018.2,
2016-04-17,19.5,29.8,14.5,0.5,7.0,,,,,10.5,1002.3,47,1003.8,
2016-04-18,13.9,16.6,9.7,,0.8,,,,,10.0,1011.6,63,1013.2,
2016-04-19,12.3,18.4,6.6,0.0,9.8,,,,,8.6,1019.2,63,1020.8,
2016-04-20,12.2,15.8,5.8,,11.0,,,,,9.4,1021.4,68,1023.0,
2016-04-21,14.7,20.8,11.8,22.0,0.2,,,,,12.2,1009.3,74,1010.9,
2016-04-22,14.0,18.1,11.6,2.5,0.8,,,,,14.9,1006.7,93,1008.3,
2016-04-23,16.5,24.1,10.5,0.0,7.2,,,,,12.4,1009.3,68,1010.9,
2016-04-24,13.4,15.6,11.7,0.0,6.5,,,,,12.5,1013.7,81,1015.3,
2016-04-25,12.7,15.9,9.5,,9.0,,,,,11.3,1017.7,78,1019.3,
2016-04-26,13.9,19.9,9.3,,11.8,,,,,12.8,1016.1,81,1017.7,
2016-04-27,13.8,16.6,12.2,3.5,7.4,,,,,12.5,1010.9,80,1012.5,
2016-04-28,12.4,13.5,11.0,42.5,0.0,,,,,13.9,999.6,96,1001.1,
2016-04-29,11.1,15.3,7.9,0.5,4.6,,,,,9.6,1007.7,73,1009.3,
2016-04-30,13.2,18.6,6.8,1.0,5.0,,,,,9.4,1012.6,64,1014.2,
2016-05-01,16.6,21.5,12.0,0.0,2.0,,,,,12.6,1013.6,69,1015.1,
2016-05-02,16.4,22.0,11.3,,11.8,,,,,13.5,1016.4,73,1017.9,
2016-05-03,22.1,28.3,12.8,0.0,4.7,,,,,10.7,1006.0,44,1007.5,
2016-05-04,20.4,25.7,13.5,2.5,10.3,,,,,9.9,1002.2,46,1003.7,
2016-05-05,17.8,22.3,12.0,,10.6,,,,,10.2,1012.6,51,1014.1,
2016-05-06,16.6,21.2,10.7,0.0,3.6,,,,,10.0,1011.5,54,1013.0,
2016-05-07,17.8,23.5,14.0,2.0,4.5,,,,,15.0,1008.1,74,1009.6,
2016-05-08,15.8,22.1,11.0,,11.9,,,,,12.0,1017.3,71,1018.9,
2016-05-09,14.9,17.3,12.0,0.0,2.4,,,,,13.8,1012.4,81,1014.0,
2016-05-10,15.2,16.9,14.5,12.0,0.0,,,,,15.1,1004.1,87,1005.6,
2016-05-11,15.5,19.3,13.3,8.0,0.1,,,,,16.3,1000.9,92,1002.4,
2016-05-12,15.1,19.4,12.3,0.0,12.1,,,,,14.0,1014.3,82,1015.9,
2016-05-13,18.2,26.2,11.2,,9.1,,,,,14.6,1017.6,73,1019.2,
2016-05-14,15.5,17.5,14.3,,1.6,,,,,14.8,1022.9,84,1024.5,
2016-05-15,17.3,20.7,12.1,,12.7,,,,,15.6,1015.5,80,1017.1,
2016-05-16,21.3,29.8,12.7,0.5,8.9,,,,,14.7,1007.1,61,1008.7,
2016-05-17,14.2,18.2,11.6,6.0,8.1,,,,,13.4,1014.2,83,1015.8,
2016-05-18,16.0,20.5,10.2,,13.5,,,,,13.4,1017.7,75,1019.2,
2016-05-19,16.9,19.7,13.7,,10.8,,,,,15.6,1018.1,81,1019.7,
2016-05-20,18.7,25.1,13.4,,12.6,,,,,16.1,1016.2,76,1017.8,
2016-05-21,18.3,23.5,14.1,,13.2,,,,,15.3,1016.5,74,1018.1,
2016-05-22,17.9,21.1,14.0,,13.1,,,,,16.2,1016.6,79,1018.1,
2016-05-23,18.7,23.9,15.2,,11.0,,,,,15.8,1014.5,74,1016.0,
2016-05-24,21.2,26.7,13.0,0.0,8.4,,,,,14.2,1009.4,59,1010.9,
