calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,4.0,,,,,,,,,,
2016-01-02,,,,0.0,,,,,,,,,,
2016-01-03,,,,0.0,,,,,,,,,,
2016-01-04,,,,0.0,,,,,,,,,,
2016-01-05,,,,5.0,,,,,,,,,,
2016-01-06,,,,0.0,,,,,,,,,,
2016-01-07,,,,19.0,,,,,,,,,,
2016-01-08,,,,10.0,,,,,,,,,,
2016-01-09,,,,7.0,,,,,,,,,,
2016-01-10,,,,6.5,,,,,,,,,,
2016-01-11,,,,5.0,,,,,,,,,,
2016-01-12,,,,1.5,,,,,,,,,,
2016-01-13,,,,9.0,,,,,,,,,,
2016-01-14,,,,27.0,,,,,,,,,,
2016-01-15,,,,5.0,,,,,,,,,,
2016-01-16,,,,5.0,,,,,,,,,,
2016-01-17,,,,1.0,,,,,,,,,,
2016-01-18,,,,34.0,,,,,,,,,,
2016-01-19,,,,27.5,,,,,,,,,,
2016-01-20,,,,31.0,,,,,,,,,,
2016-01-21,,,,7.5,,,,,,,,,,
2016-01-22,,,,2.5,,,,,,,,,,
2016-01-23,,,,4.0,,,,,,,,,,
2016-01-24,,,,11.0,,,,,,,,,,
2016-01-25,,,,13.5,,,,,,,,,,
2016-01-26,,,,0.0,,,,,,,,,,
2016-01-27,,,,0.5,,,,,,,,,,
2016-01-28,,,,0.0,,,,,,,,,,
2016-01-29,,,,33.5,,,,,,,,,,
2016-01-30,,,,6.5,,,,,,,,,,
2016-01-31,,,,2.0,,,,,,,,,,
2016-02-01,,,,1.0,,,,,,,,,,
2016-02-02,,,,1.0,,,,,,,,,,
2016-02-03,,,,0.5,,,,,,,,,,
2016-02-04,,,,0.0,,,,,,,,,,
2016-02-05,,,,2.0,,,,,,,,,,
2016-02-06,,,,14.5,,,,,,,,,,
2016-02-07,,,,5.0,,,,,,,,,,
2016-02-08,,,,0.0,,,,,,,,,,
2016-02-09,,,,26.0,,,,,,,,,,
2016-02-10,,,,9.5,,,,,,,,,,
2016-02-11,,,,0.0,,,,,,,,,,
2016-02-12,,,,0.0,,,,,,,,,,
2016-02-13,,,,6.5,,,,,,,,,,
2016-02-14,,,,23.5,,,,,,,,,,
2016-02-15,,,,12.5,,,,,,,,,,
2016-02-16,,,,6.0,,,,,,,,,,
2016-02-17,,,,20.0,,,,,,,,,,
2016-02-18,,,,0.0,,,,,,,,,,
2016-02-19,,,,0.0,,,,,,,,,,
2016-02-20,,,,19.0,,,,,,,,,,
2016-02-21,,,,22.5,,,,,,,,,,
2016-02-22,,,,0.5,,,,,,,,,,
