calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,,,,2.5,,,0,0,,,,,,
2016-01-02,,,,0.0,,,0,0,,,,,,
2016-01-03,,,,0.0,,,0,0,,,,,,
2016-01-04,,,,0.0,,,0,0,,,,,,
2016-01-05,,,,2.0,,,0,0,,,,,,
2016-01-06,,,,0.0,,,0,0,,,,,,
2016-01-07,,,,10.5,,,0,0,,,,,,
2016-01-08,,,,3.0,,,0,0,,,,,,
2016-01-09,,,,4.0,,,0,0,,,,,,
2016-01-10,,,,4.0,,,0,0,,,,,,
2016-01-11,,,,4.0,,,0,0,,,,,,
2016-01-12,,,,0.0,,,0,0,,,,,,
2016-01-13,,,,1.5,,,0,0,,,,,,
2016-01-14,,,,2.0,,,0,0,,,,,,
2016-01-15,,,,1.0,,,0,0,,,,,,
2016-01-16,,,,2.5,,,2,2,,,,,,
2016-01-17,,,,0.5,,,0,0,,,,,,
2016-01-18,,,,26.0,,,0,0,,,,,,
2016-01-19,,,,3.0,,,6,8,,,,,,
2016-01-20,,,,8.0,,,15,12,,,,,,
2016-01-21,,,,3.5,,,18,9,,,,,,
2016-01-22,,,,1.0,,,17,6,,,,,,
2016-01-23,,,,1.5,,,15,4,,,,,,
2016-01-24,,,,13.5,,,35,25,,,,,,
2016-01-25,,,,9.5,,,50,23,,,,,,
2016-01-26,,,,0.0,,,42,1,,,,,,
2016-01-27,,,,0.0,,,26,1,,,,,,
2016-01-28,,,,0.0,,,18,0,,,,,,
2016-01-29,,,,24.0,,,14,0,,,,,,
2016-01-30,,,,5.0,,,11,4,,,,,,
2016-01-31,,,,1.0,,,8,0,,,,,,
2016-02-01,,,,1.0,,,8,2,,,,,,
2016-02-02,,,,0.5,,,10,3,,,,,,
2016-02-03,,,,0.0,,,10,0,,,,,,
2016-02-04,,,,0.0,,,7,0,,,,,,
2016-02-05,,,,0.0,,,6,2,,,,,,
2016-02-06,,,,4.0,,,6,6,,,,,,
2016-02-07,,,,9.0,,,33,27,,,,,,
2016-02-08,,,,0.0,,,19,0,,,,,,
2016-02-09,,,,19.5,,,21,10,,,,,,
2016-02-10,,,,6.5,,,35,16,,,,,,
2016-02-11,,,,0.0,,,25,0,,,,,,
2016-02-12,,,,0.0,,,18,0,,,,,,
2016-02-13,,,,3.0,,,5,0,,,,,,
2016-02-14,,,,17.5,,,0,0,,,,,,
2016-02-15,,,,10.0,,,,,,,,,,
2016-02-16,,,,0.0,,,,,,,,,,
2016-02-17,,,,7.0,,,,,,,,,,
2016-02-18,,,,0.0,,,,,,,,,,
2016-02-19,,,,0.0,,,,,,,,,,
2016-02-20,,,,17.0,,,1,0,,,,,,
2016-02-21,,,,7.5,,,0,0,,,,,,
2016-02-22,,,,0.0,,,,,,,,,,
2016-02-23,,,,3.5,,,,,,,,,,
2016-02-24,,,,0.5,,,,,,,,,,
2016-02-25,,,,2.0,,,3,3,,,,,,
2016-02-26,,,,6.5,,,8,9,,,,,,
2016-02-27,,,,1.5,,,1,0,,,,,,
2016-02-28,,,,0.0,,,0,0,,,,,,
2016-02-29,,,,18.0,,,16,16,,,,,,
2016-03-01,,,,5.0,,,34,20,,,,,,
2016-03-02,,,,0.0,,,25,1,,,,,,
2016-03-03,,,,0.0,,,10,0,,,,,,
2016-03-04,,,,0.0,,,6,0,,,,,,
2016-03-05,,,,0.0,,,0,0,,,,,,
2016-03-06,,,,0.0,,,0,0,,,,,,
2016-03-07,,,,0.0,,,0,0,,,,,,
2016-03-08,,,,0.0,,,0,0,,,,,,
2016-03-09,,,,10.0,,,0,0,,,,,,
2016-03-10,,,,0.5,,,0,0,,,,,,
2016-03-11,,,,0.0,,,0,0,,,,,,
2016-03-12,,,,0.0,,,0,0,,,,,,
2016-03-13,,,,0.0,,,0,0,,,,,,
2016-03-14,,,,6.0,,,0,0,,,,,,
2016-03-15,,,,6.5,,,0,0,,,,,,
2016-03-16,,,,0.0,,,0,0,,,,,,
2016-03-17,,,,0.0,,,0,0,,,,,,
2016-03-18,,,,4.5,,,0,0,,,,,,
2016-03-19,,,,20.0,,,0,0,,,,,,
2016-03-20,,,,1.5,,,0,0,,,,,,
2016-03-21,,,,1.0,,,0,0,,,,,,
2016-03-22,,,,0.0,,,0,0,,,,,,
2016-03-23,,,,2.0,,,0,0,,,,,,
2016-03-24,,,,2.0,,,0,0,,,,,,
2016-03-25,,,,1.0,,,0,0,,,,,,
2016-03-26,,,,0.0,,,0,0,,,,,,
2016-03-27,,,,0.0,,,0,0,,,,,,
2016-03-28,,,,0.0,,,0,0,,,,,,
2016-03-29,,,,0.0,,,0,0,,,,,,
2016-03-30,,,,2.0,,,0,0,,,,,,
2016-03-31,,,,0.0,,,0,0,,,,,,
2016-04-01,,,,0.0,,,0,0,,,,,,
2016-04-02,,,,0.0,,,0,0,,,,,,
2016-04-03,,,,0.0,,,0,0,,,,,,
2016-04-04,,,,20.0,,,0,0,,,,,,
2016-04-05,,,,0.0,,,0,0,,,,,,
2016-04-06,,,,0.0,,,0,0,,,,,,
2016-04-07,,,,27.5,,,0,0,,,,,,
2016-04-08,,,,0.5,,,0,0,,,,,,
2016-04-09,,,,0.0,,,0,0,,,,,,
2016-04-10,,,,0.0,,,0,0,,,,,,
2016-04-11,,,,6.0,,,0,0,,,,,,
2016-04-12,,,,0.0,,,0,0,,,,,,
2016-04-13,,,,6.5,,,0,0,,,,,,
2016-04-14,,,,4.0,,,0,0,,,,,,
2016-04-15,,,,0.0,,,0,0,,,,,,
2016-04-16,,,,0.0,,,0,0,,,,,,
2016-04-17,,,,5.5,,,0,0,,,,,,
2016-04-18,,,,0.0,,,0,0,,,,,,
2016-04-19,,,,0.0,,,0,0,,,,,,
2016-04-20,,,,0.0,,,0,0,,,,,,
2016-04-21,,,,12.5,,,0,0,,,,,,
2016-04-22,,,,3.0,,,0,0,,,,,,
2016-04-23,,,,0.0,,,0,0,,,,,,
2016-04-24,,,,1.0,,,0,0,,,,,,
2016-04-25,,,,0.0,,,0,0,,,,,,
2016-04-26,,,,0.0,,,0,0,,,,,,
2016-04-27,,,,4.5,,,0,0,,,,,,
2016-04-28,,,,57.5,,,0,0,,,,,,
2016-04-29,,,,5.0,,,0,0,,,,,,
2016-04-30,,,,1.0,,,0,0,,,,,,
2016-05-01,,,,0.0,,,0,0,,,,,,
2016-05-02,,,,0.0,,,0,0,,,,,,
2016-05-03,,,,0.0,,,0,0,,,,,,
2016-05-04,,,,5.5,,,0,0,,,,,,
2016-05-05,,,,0.5,,,0,0,,,,,,
2016-05-06,,,,0.0,,,0,0,,,,,,
2016-05-07,,,,0.0,,,0,0,,,,,,
2016-05-08,,,,0.0,,,0,0,,,,,,
2016-05-09,,,,0.0,,,0,0,,,,,,
2016-05-10,,,,1.5,,,0,0,,,,,,
2016-05-11,,,,22.0,,,0,0,,,,,,
2016-05-12,,,,0.0,,,0,0,,,,,,
2016-05-13,,,,0.0,,,0,0,,,,,,
2016-05-14,,,,0.0,,,0,0,,,,,,
2016-05-15,,,,0.0,,,0,0,,,,,,
2016-05-16,,,,1.5,,,0,0,,,,,,
2016-05-17,,,,16.5,,,0,0,,,,,,
2016-05-18,,,,0.0,,,0,0,,,,,,
2016-05-19,,,,0.0,,,0,0,,,,,,
2016-05-20,,,,0.0,,,0,0,,,,,,
2016-05-21,,,,0.0,,,0,0,,,,,,
2016-05-22,,,,0.0,,,0,0,,,,,,
2016-05-23,,,,0.0,,,0,0,,,,,,
2016-05-24,,,,0.0,,,0,0,,,,,,
2016-05-25,,,,0.0,,,0,0,,,,,,
2016-05-26,,,,0.0,,,0,0,,,,,,
2016-05-27,,,,5.5,,,0,0,,,,,,
2016-05-28,,,,0.0,,,0,0,,,,,,
2016-05-29,,,,3.5,,,0,0,,,,,,
2016-05-30,,,,3.5,,,0,0,,,,,,
2016-05-31,,,,0.0,,,0,0,,,,,,
2016-06-01,,,,0.0,,,0,0,,,,,,
2016-06-02,,,,0.0,,,0,0,,,,,,
2016-06-03,,,,0.0,,,0,0,,,,,,
2016-06-04,,,,0.0,,,0,0,,,,,,
2016-06-05,,,,0.0,,,0,0,,,,,,
2016-06-06,,,,0.0,,,0,0,,,,,,
2016-06-07,,,,0.0,,,0,0,,,,,,
2016-06-08,,,,0.0,,,0,0,,,,,,
2016-06-09,,,,2.5,,,0,0,,,,,,
2016-06-10,,,,0.0,,,0,0,,,,,,
2016-06-11,,,,0.0,,,0,0,,,,,,
2016-06-12,,,,1.0,,,0,0,,,,,,
2016-06-13,,,,22.0,,,0,0,,,,,,
2016-06-14,,,,5.5,,,0,0,,,,,,
2016-06-15,,,,0.0,,,0,0,,,,,,
2016-06-16,,,,3.5,,,0,0,,,,,,
2016-06-17,,,,2.0,,,0,0,,,,,,
2016-06-18,,,,0.0,,,0,0,,,,,,
2016-06-19,,,,0.5,,,0,0,,,,,,
2016-06-20,,,,0.0,,,0,0,,,,,,
2016-06-21,,,,0.0,,,0,0,,,,,,
2016-06-22,,,,2.0,,,0,0,,,,,,
2016-06-23,,,,13.5,,,0,0,,,,,,
2016-06-24,,,,10.5,,,0,0,,,,,,
2016-06-25,,,,21.0,,,0,0,,,,,,
2016-06-26,,,,15.5,,,0,0,,,,,,
2016-06-27,,,,0.5,,,0,0,,,,,,
2016-06-28,,,,9.5,,,0,0,,,,,,
2016-06-29,,,,1.0,,,0,0,,,,,,
2016-06-30,,,,0.0,,,0,0,,,,,,
2016-07-01,,,,0.0,,,0,0,,,,,,
2016-07-02,,,,0.5,,,0,0,,,,,,
2016-07-03,,,,6.5,,,0,0,,,,,,
2016-07-04,,,,19.5,,,0,0,,,,,,
2016-07-05,,,,1.0,,,0,0,,,,,,
2016-07-06,,,,4.0,,,0,0,,,,,,
2016-07-07,,,,0.0,,,0,0,,,,,,
2016-07-08,,,,3.0,,,0,0,,,,,,
2016-07-09,,,,9.0,,,0,0,,,,,,
2016-07-10,,,,0.0,,,0,0,,,,,,
2016-07-11,,,,0.0,,,0,0,,,,,,
2016-07-12,,,,0.5,,,0,0,,,,,,
2016-07-13,,,,22.0,,,0,0,,,,,,
2016-07-14,,,,6.0,,,0,0,,,,,,
2016-07-15,,,,27.5,,,0,0,,,,,,
2016-07-16,,,,0.0,,,0,0,,,,,,
2016-07-17,,,,1.5,,,0,0,,,,,,
2016-07-18,,,,0.0,,,0,0,,,,,,
2016-07-19,,,,0.0,,,0,0,,,,,,
2016-07-20,,,,1.0,,,0,0,,,,,,
2016-07-21,,,,0.0,,,0,0,,,,,,
2016-07-22,,,,0.0,,,0,0,,,,,,
2016-07-23,,,,0.0,,,0,0,,,,,,
2016-07-24,,,,0.0,,,0,0,,,,,,
2016-07-25,,,,7.0,,,0,0,,,,,,
2016-07-26,,,,16.5,,,0,0,,,,,,
2016-07-27,,,,9.5,,,0,0,,,,,,
2016-07-28,,,,0.0,,,0,0,,,,,,
2016-07-29,,,,0.0,,,0,0,,,,,,
2016-07-30,,,,0.0,,,0,0,,,,,,
2016-07-31,,,,0.0,,,0,0,,,,,,
2016-08-01,,,,0.0,,,0,0,,,,,,
2016-08-02,,,,0.5,,,0,0,,,,,,
2016-08-03,,,,0.5,,,0,0,,,,,,
2016-08-04,,,,0.0,,,0,0,,,,,,
2016-08-05,,,,0.0,,,0,0,,,,,,
2016-08-06,,,,0.0,,,0,0,,,,,,
2016-08-07,,,,0.0,,,0,0,,,,,,
2016-08-08,,,,0.0,,,0,0,,,,,,
2016-08-09,,,,3.5,,,0,0,,,,,,
2016-08-10,,,,0.0,,,0,0,,,,,,
2016-08-11,,,,0.0,,,0,0,,,,,,
2016-08-12,,,,0.0,,,0,0,,,,,,
2016-08-13,,,,0.0,,,0,0,,,,,,
2016-08-14,,,,0.0,,,0,0,,,,,,
2016-08-15,,,,6.5,,,0,0,,,,,,
2016-08-16,,,,5.0,,,0,0,,,,,,
2016-08-17,,,,7.5,,,0,0,,,,,,
2016-08-18,,,,0.0,,,0,0,,,,,,
2016-08-19,,,,0.0,,,0,0,,,,,,
2016-08-20,,,,0.0,,,0,0,,,,,,
2016-08-21,,,,0.0,,,0,0,,,,,,
2016-08-22,,,,95.0,,,0,0,,,,,,
2016-08-23,,,,9.5,,,0,0,,,,,,
2016-08-24,,,,0.0,,,0,0,,,,,,
2016-08-25,,,,0.0,,,0,0,,,,,,
2016-08-26,,,,41.5,,,0,0,,,,,,
2016-08-27,,,,23.0,,,0,0,,,,,,
2016-08-28,,,,4.5,,,0,0,,,,,,
