calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.1,8.3,0.6,0.5,4.7,,0,0,2.2,,,,,
2016-01-02,8.6,12.9,1.2,0.0,1.3,,0,0,2.6,,,,,
2016-01-03,10.0,15.2,5.9,0.0,5.3,,0,0,2.9,,,,,
2016-01-04,9.4,15.5,6.3,0.0,2.2,,0,0,3.0,,,,,
2016-01-05,7.2,10.5,5.0,3.0,0.2,,0,0,2.2,,,,,
2016-01-06,6.1,10.3,3.4,2.0,0.3,,0,0,1.3,,,,,
2016-01-07,3.5,6.3,2.1,21.0,0.2,,0,0,1.6,,,,,
2016-01-08,3.9,5.8,1.5,10.0,0.0,,0,0,2.5,,,,,
2016-01-09,3.6,6.7,0.1,7.5,1.9,,0,0,1.7,,,,,
2016-01-10,5.3,8.7,3.8,6.5,2.8,,0,0,3.6,,,,,
2016-01-11,2.2,4.2,0.5,7.5,0.2,,0,0,2.0,,,,,
2016-01-12,-0.1,1.6,-2.4,16.5,0.0,,9,10,,,,,,
2016-01-13,1.5,4.1,-3.6,12.5,2.3,,5,1,2.6,,,,,
2016-01-14,1.7,5.3,0.2,24.0,1.1,,2,2,2.7,,,,,
2016-01-15,2.2,3.8,0.6,2.0,0.3,,0,0,2.3,,,,,
2016-01-16,1.9,6.2,-0.2,9.0,1.2,,1,1,,,,,,
2016-01-17,1.6,4.7,-2.2,0.5,3.0,,0,0,,,,,,
2016-01-18,5.0,7.7,2.1,28.5,0.0,,0,0,3.3,,,,,
2016-01-19,-0.7,4.4,-2.3,21.5,0.1,,15,18,6.2,,,,,
2016-01-20,1.0,3.4,-1.2,9.5,0.4,,14,1,3.1,,,,,
2016-01-21,0.6,2.7,-2.1,4.0,1.9,,16,10,1.3,,,,,
2016-01-22,-1.1,1.8,-4.9,1.5,0.0,,13,4,1.8,,,,,
2016-01-23,-0.7,2.1,-3.8,8.0,1.8,,18,9,1.7,,,,,
2016-01-24,-2.1,0.9,-4.4,10.5,0.4,,28,15,6.2,,,,,
2016-01-25,-1.5,0.7,-6.0,6.5,1.3,,33,8,2.0,,,,,
2016-01-26,1.4,5.7,-6.2,0.0,5.7,,29,2,1.9,,,,,
2016-01-27,5.2,7.2,2.2,0.0,2.8,,23,0,3.4,,,,,
2016-01-28,5.1,9.6,3.0,0.0,2.0,,13,2,2.2,,,,,
2016-01-29,2.6,4.1,1.7,37.0,0.0,,8,0,1.8,,,,,
2016-01-30,2.7,5.9,0.3,11.5,2.7,,4,2,1.6,,,,,
2016-01-31,3.5,7.9,0.9,3.5,5.3,,0,0,1.5,,,,,
2016-02-01,0.5,1.7,-0.4,4.0,0.0,,0,0,1.8,,,,,
2016-02-02,0.5,1.9,-0.4,1.0,0.2,,0,0,1.2,,,,,
2016-02-03,1.1,5.6,-1.3,0.0,4.3,,0,0,1.1,,,,,
2016-02-04,3.1,7.6,-0.8,1.0,4.0,,0,0,3.2,,,,,
2016-02-05,4.4,8.7,2.1,4.0,5.0,,0,0,1.9,,,,,
2016-02-06,2.4,7.0,-0.2,12.5,4.7,,0,0,3.2,,,,,
2016-02-07,0.2,4.0,-2.5,0.5,5.7,,0,0,1.7,,,,,
2016-02-08,1.9,8.2,-3.4,0.0,9.8,,1,1,2.6,,,,,
2016-02-09,1.8,4.6,0.2,25.5,0.2,,0,0,2.5,,,,,
