calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,4.8,9.9,1.5,1.0,6.7,9.19,,,2.5,5.5,1026.9,66,1029.1,5.3
2016-01-02,8.5,11.6,4.6,0.0,0.3,2.61,,,4.4,5.2,1020.5,46,1022.7,10.0
2016-01-03,10.3,16.7,6.8,0.0,4.6,6.89,,,3.5,7.0,1016.2,56,1018.3,5.3
2016-01-04,9.7,16.4,5.9,0.0,2.0,4.64,,,3.3,7.2,1015.1,60,1017.2,6.5
2016-01-05,8.1,11.7,5.6,3.0,0.2,3.94,,,2.7,7.9,1018.8,73,1020.9,9.8
2016-01-06,7.0,10.9,4.7,0.5,0.9,5.03,,,1.8,7.9,1017.3,80,1019.4,10.0
2016-01-07,4.5,6.7,2.7,15.5,0.0,1.75,,,1.8,7.2,1015.1,86,1017.3,10.0
2016-01-08,4.4,6.8,2.3,12.5,0.0,1.53,,,2.1,7.1,1014.0,85,1016.2,10.0
2016-01-09,4.5,8.0,0.8,11.0,2.4,7.07,,,2.1,6.6,1018.1,78,1020.3,10.0
2016-01-10,5.9,10.3,4.2,8.5,1.5,5.18,,,3.3,6.6,1018.7,71,1020.9,8.3
2016-01-11,3.2,4.5,1.5,12.0,0.0,2.55,,,2.6,6.5,1019.1,84,1021.3,10.0
2016-01-12,2.1,4.2,-0.3,3.5,0.0,2.86,,,3.2,6.0,1016.0,84,1018.2,7.5
2016-01-13,2.8,7.7,-0.9,10.0,1.2,5.21,,,3.5,5.5,1012.3,74,1014.5,7.8
2016-01-14,2.3,5.3,0.4,27.5,1.0,4.36,0,,2.6,6.2,1013.4,86,1015.5,9.3
2016-01-15,2.6,4.3,1.0,9.5,0.2,4.02,,,2.7,6.2,1016.6,84,1018.8,9.3
2016-01-16,3.0,6.8,0.9,5.0,1.0,3.43,,,2.7,6.2,1019.9,82,1022.1,8.8
2016-01-17,3.2,6.7,-0.7,0.5,3.0,6.04,,,1.9,5.9,1019.0,77,1021.2,9.8
2016-01-18,5.3,7.7,3.3,34.5,0.0,1.55,,,3.1,7.5,997.2,84,999.3,10.0
2016-01-19,0.1,5.0,-1.7,26.5,0.2,2.83,27,27,6.2,5.1,1002.8,83,1005.0,10.0
2016-01-20,1.8,4.4,-1.5,7.5,0.7,5.19,29,2,3.4,5.5,1012.3,79,1014.5,10.0
2016-01-21,1.5,4.3,-0.1,4.0,2.4,7.48,15,3,1.9,5.6,1020.3,82,1022.5,10.0
2016-01-22,0.0,2.3,-1.9,1.0,0.7,4.89,11,,2.3,5.1,1022.8,83,1025.0,7.8
2016-01-23,0.9,4.1,-1.8,12.5,0.5,6.28,15,6,2.6,4.6,1016.2,72,1018.4,10.0
2016-01-24,-1.4,1.0,-3.8,26.5,0.8,3.12,42,32,5.5,4.3,1007.7,77,1009.9,8.5
2016-01-25,-0.9,1.8,-3.9,10.5,1.0,6.93,51,12,2.5,4.7,1019.0,82,1021.2,9.3
2016-01-26,2.4,6.3,-2.2,0.0,5.2,11.47,41,,3.2,4.6,1021.3,63,1023.5,6.8
2016-01-27,5.2,9.1,2.6,0.0,3.9,9.74,29,,3.3,5.1,1024.7,58,1026.9,8.8
2016-01-28,5.5,10.4,2.8,0.0,1.9,6.50,20,,2.5,5.7,1026.0,63,1028.2,10.0
2016-01-29,3.3,4.3,2.4,35.0,0.0,1.50,16,,2.6,6.8,1020.9,88,1023.1,10.0
2016-01-30,3.7,6.8,1.4,7.5,2.8,8.05,11,,2.4,6.1,1020.2,77,1022.4,9.8
2016-01-31,4.6,8.0,2.1,3.0,6.6,11.47,7,,2.2,6.0,1021.4,72,1023.5,9.3
2016-02-01,1.2,3.2,0.5,21.0,0.0,1.25,6,4,2.0,5.8,1021.5,87,1023.7,10.0
2016-02-02,1.4,3.0,0.6,1.5,0.0,4.09,6,,1.7,5.7,1020.7,84,1022.9,10.0
2016-02-03,2.2,6.2,-0.3,0.0,4.1,10.44,5,,2.0,4.7,1022.4,67,1024.6,7.8
2016-02-04,3.9,9.9,-0.7,1.5,4.0,9.22,3,,3.8,4.7,1018.9,59,1021.1,5.5
2016-02-05,5.4,9.9,2.7,6.0,3.9,9.72,,,2.5,6.4,1016.4,73,1018.6,9.3
2016-02-06,3.5,9.7,1.3,10.5,3.0,8.53,,,4.1,6.2,1013.9,80,1016.0,9.3
2016-02-07,1.2,4.5,-1.4,1.5,2.6,8.36,1,1,2.9,4.8,1018.3,72,1020.5,7.5
2016-02-08,3.0,9.4,-2.8,0.0,9.8,15.13,,,3.1,3.7,1015.7,51,1017.8,3.5
2016-02-09,2.1,5.4,0.4,29.0,0.0,1.37,2,2,3.5,6.0,1011.7,85,1013.9,10.0
2016-02-10,1.5,4.6,-0.4,2.0,2.9,9.19,5,4,2.3,5.4,1024.2,80,1026.4,6.5
2016-02-11,2.7,8.3,-2.0,,10.0,15.04,0,,2.7,4.8,1029.6,65,1031.8,0.8
2016-02-12,9.9,17.2,-1.1,,6.9,12.66,,,4.9,6.6,1024.9,56,1027.0,7.5
2016-02-13,15.2,18.2,12.9,4.0,0.0,3.75,,,6.5,9.9,1013.7,57,1015.8,10.0
2016-02-14,12.3,17.8,6.9,24.5,0.0,1.61,,,5.2,11.7,1000.7,81,1002.8,10.0
2016-02-15,1.7,7.1,-0.6,22.0,0.0,2.30,8,9,2.9,5.9,1008.8,85,1011.0,10.0
2016-02-16,1.4,4.5,-1.3,8.5,1.7,6.96,7,1,3.5,5.2,1012.1,78,1014.3,10.0
2016-02-17,1.3,2.5,0.3,12.5,0.4,4.79,4,3,2.7,5.7,1017.3,85,1019.5,9.5
2016-02-18,4.4,10.9,0.1,,9.5,16.54,2,,3.5,4.8,1022.3,59,1024.5,3.3
2016-02-19,8.8,14.4,1.1,0.0,6.7,12.55,,,4.2,5.3,1024.1,47,1026.2,4.8
2016-02-20,6.8,8.1,5.2,16.0,0.0,1.91,,,2.0,7.5,1016.6,76,1018.8,10.0
2016-02-21,5.8,9.1,2.4,7.0,1.9,7.62,,,3.8,6.6,1020.5,72,1022.6,9.3
2016-02-22,3.9,6.9,0.8,1.0,1.2,8.40,,,1.7,5.9,1028.7,73,1030.9,9.8
2016-02-23,6.7,10.7,3.6,2.5,0.5,5.65,,,3.0,6.3,1021.9,66,1024.1,10.0
2016-02-24,2.3,5.3,-0.5,7.5,1.3,7.37,8,8,3.0,4.7,1025.5,66,1027.7,9.8
2016-02-25,2.5,7.6,-1.0,2.5,7.1,16.87,7,1,2.7,4.6,1026.7,66,1028.9,8.3
2016-02-26,1.6,4.1,0.2,11.0,1.6,5.15,2,1,2.9,5.8,1026.1,84,1028.3,10.0
2016-02-27,5.5,11.2,0.0,0.5,5.5,10.76,,,4.7,5.5,1023.2,62,1025.3,5.0
2016-02-28,7.9,12.3,2.0,0.0,9.6,15.57,,,2.8,5.6,1021.5,56,1023.6,4.5
2016-02-29,5.4,12.9,-0.7,21.5,0.0,2.39,7,7,5.2,6.6,1011.3,75,1013.4,10.0
2016-03-01,-0.2,1.4,-1.4,5.0,1.8,9.24,13,6,2.4,4.8,1020.8,80,1023.0,9.8
2016-03-02,2.4,5.9,-1.0,1.0,2.9,8.79,9,3,2.7,5.4,1022.3,74,1024.5,8.0
2016-03-03,6.2,12.1,2.7,0.0,1.0,7.02,0,,3.2,5.5,1023.3,58,1025.5,5.5
