calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,3.8,8.6,0.8,1.5,6.0,,,,1.8,,,,,
2016-01-02,7.0,12.0,1.9,0.0,0.5,,,,1.8,,,,,
2016-01-03,8.0,15.7,3.2,0.0,5.4,,,,2.2,,,,,
2016-01-04,8.1,16.7,3.5,0.0,2.5,,,,2.3,,,,,
2016-01-05,6.9,11.0,4.5,3.0,0.3,,,,1.9,,,,,
2016-01-06,6.3,10.9,3.3,1.0,0.6,,,,1.2,,,,,
2016-01-07,3.3,5.3,1.2,15.5,0.0,,,,1.3,,,,,
2016-01-08,3.8,5.5,2.0,14.0,0.0,,,,1.4,,,,,
2016-01-09,3.7,7.3,0.7,8.5,2.5,,,,1.3,,,,,
2016-01-10,4.7,9.6,2.3,11.0,2.5,,,,2.1,,,,,
2016-01-11,2.5,3.8,1.1,7.0,0.0,,,,1.6,,,,,
2016-01-12,0.8,2.1,-0.3,10.5,0.0,,,,,,,,,
2016-01-13,2.0,7.5,-1.5,6.0,2.3,,,,1.9,,,,,
2016-01-14,1.8,6.0,0.4,21.5,1.3,,,,1.3,,,,,
2016-01-15,2.1,4.5,0.7,3.5,0.7,,,,1.5,,,,,
2016-01-16,2.3,6.1,0.1,4.0,1.1,,,,1.7,,,,,
2016-01-17,2.2,5.7,-1.5,0.0,3.0,,,,1.4,,,,,
2016-01-18,4.9,7.3,2.5,32.0,0.0,,,,2.3,,,,,
2016-01-19,-0.5,3.6,-2.2,26.5,0.0,,,,2.7,,,,,
2016-01-20,1.0,2.9,-1.8,12.0,0.2,,,,2.0,,,,,
2016-01-21,0.8,3.6,-1.1,4.0,1.7,,,,1.2,,,,,
2016-01-22,-1.0,1.4,-3.6,2.5,0.0,,,,1.4,,,,,
2016-01-23,0.0,3.4,-3.0,3.0,1.2,,,,1.4,,,,,
2016-01-24,-1.9,1.1,-4.2,20.0,0.0,,,,,,,,,
2016-01-25,-1.7,1.6,-4.2,12.0,1.8,,,,1.1,,,,,
2016-01-26,0.9,5.7,-5.0,0.0,5.7,,,,1.6,,,,,
2016-01-27,4.2,8.6,1.1,0.0,4.9,,,,2.2,,,,,
2016-01-28,3.9,9.7,1.4,0.0,1.3,,,,1.7,,,,,
2016-01-29,2.6,3.7,1.9,39.0,0.0,,,,1.3,,,,,
2016-01-30,2.7,6.1,0.5,10.5,1.6,,,,1.5,,,,,
2016-01-31,3.9,8.1,1.2,2.5,6.4,,,,1.4,,,,,
2016-02-01,0.6,1.5,0.2,17.0,0.0,,,,,,,,,
2016-02-02,0.8,2.1,-0.2,1.0,0.0,,,,1.0,,,,,
2016-02-03,1.1,5.0,-1.2,0.0,5.0,,,,1.3,,,,,
2016-02-04,2.8,8.9,-1.8,0.0,5.7,,,,2.0,,,,,
2016-02-05,4.4,9.3,1.7,2.5,4.3,,,,1.7,,,,,
2016-02-06,2.9,7.7,0.6,10.0,3.4,,,,2.2,,,,,
2016-02-07,0.1,3.5,-2.7,12.0,6.2,,,,1.3,,,,,
2016-02-08,0.8,7.8,-5.0,0.0,9.6,,,,1.6,,,,,
2016-02-09,1.6,4.0,0.3,30.0,0.0,,,,,,,,,
2016-02-10,0.7,4.4,-1.5,7.0,2.9,,,,,,,,,
2016-02-11,1.6,7.3,-2.7,0.0,9.8,,,,1.6,,,,,
2016-02-12,8.5,15.9,-1.3,0.0,7.0,,,,2.6,,,,,
2016-02-13,13.6,18.6,9.1,3.0,0.1,,,,2.8,,,,,
2016-02-14,11.5,18.1,6.7,21.5,0.0,,,,2.6,,,,,
2016-02-15,0.8,6.8,-1.4,26.5,0.0,,,,,,,,,
2016-02-16,1.1,5.6,-1.8,3.0,2.6,,,,,,,,,
2016-02-17,0.8,1.5,-0.6,13.0,0.0,,,,1.3,,,,,
2016-02-18,3.2,10.3,-1.1,0.0,9.6,,,,2.1,,,,,
2016-02-19,6.4,13.4,-0.3,0.0,7.2,,,,2.3,,,,,
2016-02-20,5.7,7.3,3.9,13.5,0.0,,,,1.7,,,,,
2016-02-21,4.5,7.5,1.6,12.5,1.1,,,,1.9,,,,,
2016-02-22,3.0,6.4,0.3,0.0,1.5,,,,1.3,,,,,
2016-02-23,6.0,10.3,2.3,4.5,0.5,,,,1.6,,,,,
2016-02-24,1.2,3.8,-0.7,3.5,1.1,,,,1.7,,,,,
2016-02-25,2.1,6.5,-0.8,2.0,6.2,,,,1.4,,,,,
2016-02-26,1.0,2.9,-0.9,11.5,1.2,,,,1.4,,,,,
2016-02-27,4.8,10.5,-1.6,0.0,5.6,,,,2.1,,,,,
2016-02-28,7.0,12.7,0.2,0.0,9.8,,,,2.2,,,,,
2016-02-29,5.2,12.5,-1.1,22.0,0.0,,,,3.0,,,,,
2016-03-01,-1.1,0.8,-2.2,13.0,0.9,,,,,,,,,
2016-03-02,1.2,4.6,-2.4,1.0,2.6,,,,1.5,,,,,
2016-03-03,3.8,9.7,-1.0,0.0,1.9,,,,1.9,,,,,
2016-03-04,5.0,13.2,-0.7,0.0,9.9,,,,1.8,,,,,
2016-03-05,10.1,18.2,2.7,0.0,5.5,,,,1.8,,,,,
2016-03-06,17.7,21.0,10.5,0.0,6.7,,,,4.3,,,,,
2016-03-07,11.3,17.3,8.0,2.0,0.4,,,,1.5,,,,,
2016-03-08,10.2,13.9,6.0,0.0,1.3,,,,2.1,,,,,
2016-03-09,3.6,9.2,1.1,23.0,0.0,,,,1.9,,,,,
2016-03-10,3.6,6.8,0.9,4.0,1.0,,,,1.5,,,,,
2016-03-11,3.7,8.2,0.1,0.5,3.8,,,,1.8,,,,,
2016-03-12,2.7,6.3,-0.1,0.0,1.2,,,,1.4,,,,,
2016-03-13,4.6,9.7,-1.4,0.5,2.5,,,,1.7,,,,,
2016-03-14,3.5,4.9,1.7,9.5,0.0,,,,1.1,,,,,
2016-03-15,3.9,7.4,-0.3,7.0,1.4,,,,1.4,,,,,
2016-03-16,6.7,16.0,-1.3,0.0,8.2,,,,1.6,,,,,
2016-03-17,10.1,19.4,2.3,0.0,10.9,,,,1.9,,,,,
2016-03-18,13.3,19.3,5.3,2.5,4.2,,,,2.4,,,,,
2016-03-19,11.2,13.9,7.4,12.0,0.1,,,,1.6,,,,,
2016-03-20,7.2,10.6,4.8,2.5,0.5,,,,1.6,,,,,
2016-03-21,5.4,9.5,0.8,0.0,2.9,,,,1.5,,,,,
2016-03-22,7.8,16.0,-0.7,0.0,11.0,,,,2.1,,,,,
2016-03-23,7.1,10.2,4.2,2.5,0.0,,,,1.7,,,,,
2016-03-24,4.2,8.3,0.9,4.0,2.6,,,,1.7,,,,,
2016-03-25,3.3,7.4,0.5,2.0,2.9,,,,1.5,,,,,
2016-03-26,4.8,10.8,-0.6,0.0,8.4,,,,1.6,,,,,
2016-03-27,6.9,13.4,-0.3,0.0,11.2,,,,1.9,,,,,
2016-03-28,7.9,14.0,3.2,0.0,8.6,,,,1.8,,,,,
2016-03-29,9.9,16.5,1.6,0.0,9.6,,,,1.9,,,,,
2016-03-30,12.3,18.4,6.7,2.0,2.2,,,,2.8,,,,,
2016-03-31,11.3,19.9,2.9,0.0,9.8,,,,1.9,,,,,
2016-04-01,11.3,19.0,4.8,0.0,8.4,,,,1.8,,,,,
2016-04-02,14.8,23.0,5.3,0.0,11.1,,,,2.0,,,,,
2016-04-03,18.7,21.2,16.4,0.0,1.1,,,,3.6,,,,,
2016-04-04,9.7,18.4,8.0,39.5,0.0,,,,1.4,,,,,
2016-04-05,10.6,16.2,5.9,0.5,6.1,,,,1.6,,,,,
2016-04-06,11.5,18.5,4.6,0.0,9.6,,,,1.8,,,,,
2016-04-07,13.9,20.0,9.0,21.0,0.0,,,,2.8,,,,,
2016-04-08,12.8,17.6,7.5,1.0,3.7,,,,1.6,,,,,
2016-04-09,15.6,22.7,7.3,0.0,11.4,,,,2.3,,,,,
2016-04-10,14.6,21.8,10.0,0.0,2.4,,,,2.3,,,,,
2016-04-11,5.2,10.2,1.7,15.5,1.1,,,,1.8,,,,,
2016-04-12,7.7,14.1,0.7,0.0,10.4,,,,1.8,,,,,
2016-04-13,16.9,21.0,12.8,14.5,7.8,,,,3.7,,,,,
2016-04-14,15.1,20.4,11.9,4.5,4.8,,,,1.7,,,,,
2016-04-15,10.9,15.6,5.5,0.0,5.1,,,,1.9,,,,,
2016-04-16,14.6,22.4,3.4,0.0,10.9,,,,2.6,,,,,
2016-04-17,18.9,28.3,10.6,0.0,7.1,,,,5.8,,,,,
2016-04-18,12.0,16.1,8.0,0.0,1.1,,,,1.9,,,,,
2016-04-19,11.2,17.5,4.6,0.0,8.6,,,,2.7,,,,,
2016-04-20,12.9,20.0,3.5,0.0,11.1,,,,2.2,,,,,
2016-04-21,16.2,21.2,12.5,11.5,0.1,,,,2.2,,,,,
2016-04-22,14.7,18.0,11.5,4.5,1.3,,,,1.4,,,,,
2016-04-23,16.8,24.4,10.1,0.0,7.9,,,,2.3,,,,,
2016-04-24,13.1,17.3,8.6,0.5,2.1,,,,1.6,,,,,
2016-04-25,13.0,19.7,7.1,0.0,8.3,,,,1.6,,,,,
2016-04-26,15.4,24.8,8.7,0.0,11.8,,,,1.8,,,,,
2016-04-27,13.7,18.9,9.9,4.0,8.0,,,,1.5,,,,,
2016-04-28,12.3,13.9,11.0,54.5,0.0,,,,1.3,,,,,
