calendar_date,avg_temperature,high_temperature,low_temperature,precipitation,hours_sunlight,solar_radiation,deepest_snowfall,total_snowfall,avg_wind_speed,avg_vapor_pressure,avg_local_pressure,avg_humidity,avg_sea_pressure,cloud_cover
2016-01-01,7.0,11.2,3.2,0.0,9.4,,,,2.7,,,,,
2016-01-02,8.0,14.1,2.1,0.0,4.2,,,,1.3,,,,,
2016-01-03,10.2,16.4,6.9,2.5,2.8,,,,1.3,,,,,
2016-01-04,10.8,16.1,5.9,0.0,9.2,,,,2.0,,,,,
2016-01-05,10.6,13.1,9.1,0.0,1.0,,,,2.6,,,,,
2016-01-06,9.8,11.9,8.4,0.0,0.2,,,,2.0,,,,,
2016-01-07,9.3,12.0,7.5,0.0,7.6,,,,3.2,,,,,
2016-01-08,8.3,12.0,6.0,0.0,3.2,,,,2.5,,,,,
2016-01-09,7.0,10.7,4.2,0.0,7.0,,,,2.8,,,,,
2016-01-10,7.8,11.4,4.7,0.0,7.6,,,,2.6,,,,,
2016-01-11,8.3,11.1,5.7,0.0,4.0,,,,2.3,,,,,
2016-01-12,7.2,9.9,1.7,0.0,3.5,,,,2.6,,,,,
2016-01-13,5.4,10.9,-0.2,0.0,4.7,,,,2.3,,,,,
2016-01-14,6.2,9.7,1.8,0.0,5.4,,,,3.1,,,,,
2016-01-15,5.6,9.2,2.6,0.0,7.6,,,,2.6,,,,,
2016-01-16,5.0,10.3,0.2,0.0,9.6,,,,1.9,,,,,
2016-01-17,6.1,13.3,0.3,0.5,4.0,,,,1.5,,,,,
2016-01-18,8.2,11.8,5.5,15.0,2.2,,,,4.6,,,,,
2016-01-19,2.9,6.2,0.6,0.0,6.7,,,,5.8,,,,,
2016-01-20,4.2,7.4,0.3,1.0,0.5,,,,5.3,,,,,
2016-01-21,5.3,7.9,3.4,0.0,3.3,,,,2.1,,,,,
2016-01-22,5.8,9.7,2.1,0.0,5.7,,,,2.5,,,,,
2016-01-23,5.0,8.0,2.6,0.0,0.0,,,,2.3,,,,,
2016-01-24,-0.9,2.7,-3.4,0.0,6.4,,,,4.8,,,,,
2016-01-25,1.3,5.3,-1.8,1.0,3.8,,,,3.9,,,,,
2016-01-26,4.6,9.0,-0.7,0.0,7.3,,,,1.8,,,,,
2016-01-27,7.3,11.0,4.7,0.0,8.2,,,,2.4,,,,,
2016-01-28,8.5,14.3,3.3,0.0,5.2,,,,1.4,,,,,
2016-01-29,13.0,16.4,7.9,82.5,0.0,,,,2.8,,,,,
2016-01-30,8.5,9.9,7.4,4.0,0.0,,,,3.5,,,,,
2016-01-31,8.0,11.8,5.1,0.0,8.3,,,,2.7,,,,,
2016-02-01,7.4,9.1,5.7,0.0,0.2,,,,2.4,,,,,
2016-02-02,6.4,9.5,2.7,0.0,5.1,,,,2.7,,,,,
2016-02-03,5.5,9.6,3.0,0.0,10.2,,,,3.0,,,,,
2016-02-04,5.6,11.6,0.3,0.0,7.5,,,,1.7,,,,,
2016-02-05,7.0,12.2,1.7,0.0,6.8,,,,2.1,,,,,
2016-02-06,6.4,8.2,4.8,0.0,3.3,,,,3.1,,,,,
2016-02-07,4.3,8.4,-0.8,1.0,10.2,,,,3.2,,,,,
2016-02-08,4.7,12.8,-1.8,0.0,9.1,,,,1.5,,,,,
